mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__fit_intercept	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.0013916492462158203	0.0003084914569454951	0.0004852294921875	5.473509036552449e-05	True	1	{'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	0.21153388290837516	0.0876702389921874	0.23231245787806865	0.11003972967362419	0.07006857167430314	0.1423249762253117	0.06654034124354094	16
0.0012713909149169923	1.2573138891647603e-05	0.0004460334777832031	2.8869487392127086e-05	True	2	{'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	0.21146388225621293	0.08081827199819236	0.22100340748957392	0.019595390054571338	-0.012400960343259992	0.1040959982910581	0.09638355828398533	20
0.0012848377227783203	5.730483668582329e-05	0.0004491329193115234	2.6121973412285624e-05	True	3	{'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	0.268320051815619	-0.03653239373824868	0.25022246014344107	0.07665951373511026	0.06398421787761899	0.12453076996670813	0.1169381403989538	18
0.001314687728881836	6.33770938204166e-05	0.00045528411865234373	2.906384087989978e-05	True	4	{'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	0.2951397452242629	0.04779612976532832	0.3380334207403022	0.14009188436729803	0.05867273609673618	0.17594678323878551	0.11995032816566518	14
0.0013100147247314454	4.62884866702805e-05	0.00047383308410644533	3.0170116671217454e-05	True	5	{'estimator__fit_intercept': True, 'preprocessing_1__k': 5}	0.27168790913718466	0.08346550284945609	0.4078880153898943	0.16829993432639323	0.07912457290345254	0.20209318692127617	0.12452367499185608	2
0.0012585639953613282	1.2421035936476903e-05	0.0004485130310058594	2.7256739388456465e-05	True	6	{'estimator__fit_intercept': True, 'preprocessing_1__k': 6}	0.27454556396222296	0.005263084386861183	0.40073197103138547	0.17401436532221248	0.0892405177173734	0.18875910048401107	0.13862464327715307	9
0.0013378620147705077	0.00010052159334485271	0.00046606063842773436	2.8146482105697098e-05	True	7	{'estimator__fit_intercept': True, 'preprocessing_1__k': 7}	0.27151603320635875	0.005312120981096458	0.4109554646099247	0.16829146036043263	0.09003345736036594	0.18922170730363566	0.14144775382464536	8
0.0013342857360839843	5.560043948670059e-05	0.00045146942138671873	2.6770743920370417e-05	True	8	{'estimator__fit_intercept': True, 'preprocessing_1__k': 8}	0.24167755659122347	0.018615752017321907	0.41056091740677003	0.1700214900699928	0.08744471292028677	0.185664085801119	0.13528708408896153	11
0.0013700008392333984	3.889611878595595e-05	0.0004703521728515625	2.493698778755592e-05	True	9	{'estimator__fit_intercept': True, 'preprocessing_1__k': 9}	0.23876943858846122	0.023207530516250574	0.40836438629118144	0.17000361018773313	0.08812523610881162	0.18569404033848758	0.13309155337392536	10
0.0014007091522216797	5.514555249141177e-05	0.0004912376403808594	4.666883976226705e-05	True	10	{'estimator__fit_intercept': True, 'preprocessing_1__k': 10}	0.23710891654577038	0.020815896224192332	0.4060504050405802	0.16717178470340177	0.08721859733408943	0.18367311996960684	0.1329701361958717	12
