mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__fit_intercept	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.0019556999206542967	0.00026181918216821204	0.0006083011627197266	5.2801744061823844e-05	True	1	{'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	0.8101383359508099	0.643937367375276	0.7396553695736947	0.7182463564785136	0.21321978176609757	0.6279895602493704	0.2106784497162411	10
0.0015001296997070312	4.0521901139363996e-05	0.000559854507446289	5.496722631688608e-05	True	2	{'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	0.8242535070601066	0.9014659643402607	0.9143746552737647	0.9285265257927772	0.6006404051957415	0.8351349660887943	0.12077835227446092	4
0.0015246868133544922	7.716471732861287e-05	0.0006063461303710937	7.287678741079066e-05	True	3	{'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	0.8010418371319165	0.9163772612433978	0.9151637917995651	0.9109700135703627	0.6354646581398937	0.8369625156459513	0.10841116977762631	2
0.001708078384399414	0.000276521292795338	0.000627899169921875	0.00013600693115156648	True	4	{'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	0.7956623495826727	0.9149897562590993	0.9152068744973039	0.9017013119154776	0.6227217994132277	0.8313128046792824	0.11199379053363441	7
0.0014987468719482421	2.6821570921216742e-05	0.0005688190460205079	3.250385943075061e-05	True	5	{'estimator__fit_intercept': True, 'preprocessing_1__k': 5}	0.7945878949143281	0.9091105258979515	0.9130009748538785	0.903010449126069	0.606751183622803	0.8265961202998313	0.11683189957082407	8
0.00034160614013671874	1.8447744441608657e-05	0.0	0.0	True	6	{'estimator__fit_intercept': True, 'preprocessing_1__k': 6}								18
0.00034198760986328127	2.085289091081051e-05	0.0	0.0	True	7	{'estimator__fit_intercept': True, 'preprocessing_1__k': 7}								17
0.0003393650054931641	1.8000586932851168e-05	0.0	0.0	True	8	{'estimator__fit_intercept': True, 'preprocessing_1__k': 8}								16
0.0003367424011230469	1.3618355705151288e-05	0.0	0.0	True	9	{'estimator__fit_intercept': True, 'preprocessing_1__k': 9}								15
0.00033164024353027344	1.2568978864568021e-05	0.0	0.0	True	10	{'estimator__fit_intercept': True, 'preprocessing_1__k': 10}								14
0.0014026165008544922	3.065844152782031e-05	0.0005295276641845703	1.8738547622133986e-05	False	1	{'estimator__fit_intercept': False, 'preprocessing_1__k': 1}	0.8239750712533747	0.644361005006393	0.7428120695849207	0.7486273029550352	0.17164563731328497	0.6293610273538691	0.23213264676567116	9
0.0014082908630371094	2.0510317693408393e-05	0.0005383491516113281	1.9996483331687796e-05	False	2	{'estimator__fit_intercept': False, 'preprocessing_1__k': 2}	0.8345372347815685	0.896757147450157	0.9077730197139044	0.946086009023974	0.5895982088948853	0.8361930686953696	0.12634728746219262	3
0.0014064311981201172	1.9011396436994355e-05	0.0005278587341308594	1.739442870324602e-05	False	3	{'estimator__fit_intercept': False, 'preprocessing_1__k': 3}	0.8028916463603827	0.9150137781515221	0.9137237502053228	0.9168400254253604	0.6341467557441002	0.8376533726697933	0.10916130273701372	1
0.001408863067626953	1.5969702856476287e-05	0.0005387306213378906	2.0588434816221454e-05	False	4	{'estimator__fit_intercept': False, 'preprocessing_1__k': 4}	0.8059792119053077	0.9148802765767885	0.9147133522925035	0.9009092058062267	0.6259949678799039	0.833773982818981	0.11001294364433721	5
0.0014196395874023437	2.4742105585748764e-05	0.0005666732788085938	5.363313773199687e-05	False	5	{'estimator__fit_intercept': False, 'preprocessing_1__k': 5}	0.8005052270811956	0.9102766687109058	0.9128702562492127	0.9028254920281242	0.6248185004253133	0.8314895480225102	0.1100177677447011	6
0.00033197402954101565	1.3328942007688523e-05	0.0	0.0	False	6	{'estimator__fit_intercept': False, 'preprocessing_1__k': 6}								13
0.00034084320068359373	1.776280818073413e-05	0.0	0.0	False	7	{'estimator__fit_intercept': False, 'preprocessing_1__k': 7}								12
0.00033369064331054685	1.65460432627918e-05	0.0	0.0	False	8	{'estimator__fit_intercept': False, 'preprocessing_1__k': 8}								11
0.00033707618713378905	1.3926910644507442e-05	0.0	0.0	False	9	{'estimator__fit_intercept': False, 'preprocessing_1__k': 9}								19
0.000342559814453125	1.8887447004555818e-05	0.0	0.0	False	10	{'estimator__fit_intercept': False, 'preprocessing_1__k': 10}								20
