mean_fit_time	mean_score_time	mean_test_score	param_estimator__learning_rate	param_estimator__loss	param_estimator__n_estimators	param_estimator__random_state	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.021790266036987305	0.0012934207916259766	0.7042799670247816	0.001	linear	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	53	0.5895892246594527	0.6845893597817461	0.8476200732737034	0.00017473083740264053	7.652926909150084e-05	0.1056754136403059
0.10455687840779622	0.003735065460205078	0.7431648647466272	0.001	linear	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	31	0.7205166409226542	0.7174416270731626	0.794761090343894	0.01704666448305843	0.000919592379416186	0.035348294195456605
0.1935291290283203	0.005772193272908528	0.7457346790295528	0.001	linear	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	28	0.7259895196170374	0.7122930987128211	0.8024672014074168	0.047035341107640426	0.00022043860296967318	0.03925098081420403
0.3287190596262614	0.010642290115356445	0.7524036686943034	0.001	linear	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	19	0.7340482735389363	0.7176407459796553	0.809063207755653	0.024653997135870822	0.000303378125311904	0.03937832099639135
0.0162356694539388	0.0009388128916422526	0.7341781771147283	0.001	square	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	43	0.6769472601127191	0.6850573164676985	0.8476200732737034	0.00013534986314569074	5.437941676634471e-06	0.07774039532215167
0.07936819394429524	0.0030934015909830728	0.7399602706136554	0.001	square	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	37	0.7211455355433836	0.719513249861367	0.7818394768243863	0.00027540846827331595	4.8660109912653596e-05	0.02868063966583843
0.16132307052612305	0.005774736404418945	0.7464480956267203	0.001	square	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	24	0.7258094044211316	0.7149186913339698	0.8020940641582822	0.0038306530954810287	9.641391072827877e-05	0.03836222925294236
0.33427683512369794	0.010929346084594727	0.7547734574422131	0.001	square	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	13	0.737976518283018	0.7189509180046663	0.8109009012787383	0.02516569894222457	9.127477830746972e-05	0.039221306960194074
0.016794284184773762	0.0009487469991048177	0.7042799670247816	0.001	exponential	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	53	0.5895892246594527	0.6845893597817461	0.8476200732737034	0.001101363253685837	2.4104525796071235e-05	0.1056754136403059
0.07879575093587239	0.0030722618103027344	0.7395084793047547	0.001	exponential	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	38	0.7177065418699995	0.7175659568323851	0.7861692365390209	0.0001834289039223621	1.276968366504712e-05	0.03194648926167529
0.1907659371693929	0.006765524546305339	0.7451811584337796	0.001	exponential	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	30	0.7221143803160031	0.7107293736248816	0.8065342922222327	0.022457356844777968	0.0019341253453446854	0.0422674194363548
0.31398312250773114	0.010224501291910807	0.7530703037813337	0.001	exponential	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	16	0.7361722585955022	0.7180366710218627	0.8084640935896563	0.003253159306527371	6.472038609664386e-06	0.038656553468999356
0.01582225163777669	0.0008916060129801432	0.6845799413149796	0.01	linear	10	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	58	0.5914634464041308	0.6819804426349094	0.7866770011452929	0.0003063923541067589	1.703576335130216e-05	0.07925130627500329
0.09820866584777832	0.0037561257680257163	0.7429097707118556	0.01	linear	50	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	33	0.722032492506629	0.721614409719104	0.787893919189699	0.030142595350847127	0.0012693478643149038	0.03079902407105067
0.20260183016459146	0.005662600199381511	0.7466218893703516	0.01	linear	100	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	23	0.7304563634357332	0.7179903814577159	0.7944053921407563	0.040120395179526425	4.3550982092177345e-05	0.03311692587768679
0.3618625005086263	0.01315617561340332	0.7527771447843633	0.01	linear	200	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	17	0.7403027418657562	0.7147643669897648	0.8066301375451156	0.03522367854729102	0.0035547425054387265	0.0383465398313465
