mean_fit_time	mean_score_time	mean_test_score	param_estimator__learning_rate	param_estimator__loss	param_estimator__n_estimators	param_estimator__random_state	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.02859044075012207	0.0017560323079427083	0.43435333765422135	0.001	linear	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	55	0.4884939606435035	0.4958833447562544	0.3179858965382597	0.003323461077689068	5.767901229850492e-05	0.08209303453151269
0.15177273750305176	0.005897204081217448	0.4851872673557582	0.001	linear	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	38	0.49459783710629246	0.5285811613578092	0.4320647044239405	0.00034661617413980187	1.8284630868506936e-05	0.039942670179001306
0.3177102406819661	0.015018701553344727	0.485611813034132	0.001	linear	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	37	0.490275378150025	0.5317848889954307	0.4344689271311738	0.011492289077812618	0.005336131182533726	0.03984612731602133
0.5606714884440104	0.01805535952250163	0.4859154767640666	0.001	linear	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	36	0.49074963108043923	0.5269608147099216	0.43975960201833153	0.036563623983106947	0.003137094844695654	0.03574608746480211
0.02195398012797038	0.0011769930521647136	0.4402610227799816	0.001	square	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	52	0.49847504743484083	0.47635934324849205	0.34538053099924226	0.0004709531357172327	7.500385605320292e-05	0.06749726863523416
0.13732258478800455	0.004020293553670247	0.4808264409386799	0.001	square	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	46	0.49435966773706863	0.5202966804573479	0.42750367663176125	0.0019721383939901808	0.00030810527939315383	0.03905753898999951
0.256183385848999	0.00775599479675293	0.4812517980924516	0.001	square	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	45	0.4883815271864185	0.5287945416656322	0.4262499731803213	0.009769035776872622	0.0002680733239411367	0.042146046612208596
0.4531996250152588	0.01676774024963379	0.4836520207784543	0.001	square	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	41	0.48962971702302427	0.5275860937838395	0.43343957821976453	0.014703295973256932	0.004464700568640696	0.0386482932984119
0.020554383595784504	0.0010483264923095703	0.42530702568792067	0.001	exponential	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	58	0.45879174386856325	0.49846959715873485	0.3180172824843468	7.334780955511331e-05	1.2531536957058604e-05	0.07735627712731277
0.11989696820576985	0.004510243733723958	0.4788088502327221	0.001	exponential	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	48	0.49475334797767445	0.5257461883173604	0.41554820816319427	0.025503772836394763	0.0012160569380993964	0.04636146602495356
0.2193609078725179	0.006849050521850586	0.48016191822636095	0.001	exponential	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	47	0.486929800845154	0.5279713434159827	0.4252558314552449	0.012253445162360075	0.00012992930309430119	0.042185416571398474
0.47517697016398114	0.014179706573486328	0.4830339588784846	0.001	exponential	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	42	0.49192494529110165	0.5250822448503228	0.431787823407376	0.0515976325416674	7.565974853626851e-05	0.038585247369360705
0.021290063858032227	0.0011248588562011719	0.4289655607224348	0.01	linear	10	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	56	0.4432864865455569	0.49890425595240817	0.3441983515907062	2.3131107926999493e-05	4.0647862283529985e-06	0.06393601189711098
0.1220397154490153	0.004820585250854492	0.4824611457811752	0.01	linear	50	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	43	0.49078464032695024	0.5298259431813586	0.4264373821969881	0.012774928457905056	0.0007661783737673565	0.042596703476500505
0.2102346420288086	0.00724037488301595	0.4926073316926244	0.01	linear	100	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	33	0.4917806238465816	0.5388911762844206	0.44687635677370385	0.0039030621547760432	8.827571088512333e-05	0.037550500441668216
0.42299238840738934	0.013567288716634115	0.49604660516662397	0.01	linear	200	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	28	0.4933975674522879	0.5372217372015149	0.45728842594052355	0.0053117218692503125	1.4907464707455908e-05	0.032670074929999335
