mean_fit_time	mean_score_time	mean_test_score	param_estimator__learning_rate	param_estimator__loss	param_estimator__n_estimators	param_estimator__random_state	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.018278201421101887	0.0010327498118082683	0.30087713351842343	0.001	linear	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	45	-0.05597277025352865	0.6091650900625839	0.349439080746215	0.002660253218750476	7.269468969384722e-05	0.27370396458630286
0.08056100209554036	0.003147761027018229	0.3350788270827587	0.001	linear	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	30	0.056051231920799305	0.5693862358650854	0.37979901346239153	0.00019283355336943353	1.9530283470213117e-05	0.2119404442620487
0.1696444352467855	0.0059661070505778	0.29402437286628336	0.001	linear	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	50	-0.0254311062313477	0.547507797873688	0.3599964269565099	0.009606599754156436	0.00013747670011055816	0.23850783481181861
0.4089537461598714	0.012425661087036133	0.2787679295851806	0.001	linear	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	55	-0.0062280258134652655	0.5584458326193443	0.2840859819496626	0.035467633525193006	0.0013670269061644442	0.2305578059982105
0.022339344024658203	0.0011913776397705078	0.30382471308610126	0.001	square	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	44	-0.05601174633015438	0.6180468048422434	0.349439080746215	0.0011604149593117937	8.450943758707954e-05	0.27706706228508654
0.08107654253641765	0.0031317869822184243	0.3350695752164346	0.001	square	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	31	0.047083325565430934	0.5768900115738673	0.3812353885100056	0.00197060846824718	8.172955816482175e-05	0.21874222709634447
0.18675661087036133	0.008482535680135092	0.2985314916790987	0.001	square	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	48	-0.0225459807004047	0.5529955788215095	0.36514487691619135	0.014002008457307681	0.003815703305727818	0.23963865715390226
0.3571008046468099	0.010738531748453775	0.2812077063485549	0.001	square	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	54	-0.012076497361962257	0.5512893185884761	0.30441029781915085	0.051780052374125064	3.153040012644648e-05	0.23057758034060077
0.020532608032226562	0.0014598369598388672	0.3039195560058467	0.001	exponential	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	43	-0.051322525346203296	0.6091650900625839	0.3539161033011595	0.0029207686435609006	0.00042571723104044274	0.27195062490972616
0.08668605486551921	0.003466526667277018	0.32693229790510286	0.001	exponential	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	35	0.04555255055370899	0.5551165981430153	0.3801277450185844	0.008799702754313209	0.0006552056138167377	0.21140198098110247
0.16141827901204428	0.005591392517089844	0.3044441927134774	0.001	exponential	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	42	-0.011381378660731523	0.5522471897486334	0.37246676705253035	0.006368431893791378	5.5289811675471523e-05	0.23507388022574452
0.3426976998647054	0.011942307154337565	0.28513925544042773	0.001	exponential	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	53	9.191522846796474e-05	0.5543887340180089	0.3009371170748063	0.010555834873876426	0.0008852208473728274	0.22656628191946468
0.01816527048746745	0.0010701815287272136	0.26465581061485394	0.01	linear	10	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	59	-0.1101814306146025	0.550623628366359	0.35352523409280534	0.0007835853654120983	9.605839545548819e-05	0.2769947801140972
0.08477505048116048	0.003168900807698568	0.3406105381173576	0.01	linear	50	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	29	0.06861808845012252	0.5590156790231835	0.3941978468787667	0.0037068444889173722	0.000256118697987217	0.2037582701064897
0.17647210756937662	0.0063063303629557295	0.3217363302756016	0.01	linear	100	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	37	0.016664445428985597	0.5725519113755206	0.37599263402229854	0.006981276186109279	0.000833874841912899	0.23016013059216753
0.3633425235748291	0.011956055959065756	0.31811780402146944	0.01	linear	200	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	38	0.004705328739133652	0.5713804677305075	0.37826761559476707	0.023729088323746466	0.0013958819631500411	0.2352214249906538
