mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__C	param_estimator__intercept_scaling	param_estimator__loss	param_estimator__random_state	param_preprocessing_2__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.011045074462890625	0.0016790763170922488	0.0013660430908203126	0.00021815508961328065	0.01	0.1	epsilon_insensitive	3111696	1	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 1}	0.18613267893713892	0.07471066607615184	0.18553273989205754	0.2011345320861715	0.15572494536503323	0.1606471124713106	0.04542541193061065	786
0.007683420181274414	5.055297028792945e-05	0.0009408950805664063	1.7917025350522938e-05	0.01	0.1	epsilon_insensitive	3111696	2	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 2}	0.18848349604889225	0.05987657005180069	0.1828680410920288	0.1966831079407083	0.15613882934245293	0.1568100088951766	0.05033614388476346	820
0.00662379264831543	0.0012751738782151513	0.0007907390594482422	0.00019100924068810602	0.01	0.1	epsilon_insensitive	3111696	3	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 3}	0.20176107060097048	0.07793970228731473	0.18988668137809572	0.2021214130268113	0.16707715799794098	0.16775720505822664	0.04667873531139368	773
0.0045816898345947266	4.463588053428901e-05	0.0005676746368408203	1.0393518807558851e-05	0.01	0.1	epsilon_insensitive	3111696	4	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 4}	0.23233193476438285	0.11238283333566845	0.23728749428342588	0.24668179386395428	0.20192265493396433	0.20612134223627915	0.049209778411030504	583
0.004577016830444336	2.9326299330413436e-05	0.0005627632141113281	1.1418831285191837e-05	0.01	0.1	epsilon_insensitive	3111696	5	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 5}	0.23260116329850444	0.11677807226638326	0.2394695411870742	0.24496528330106915	0.2023693244454513	0.20723667689969646	0.04756514001567418	579
0.004557371139526367	3.691163147289666e-05	0.0005591392517089843	1.559221051457815e-05	0.01	0.1	epsilon_insensitive	3111696	6	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 6}	0.2383791985537853	0.10285207832022003	0.2363613489984937	0.25257901087065304	0.20749666870909123	0.20753366109044868	0.05435034764941843	577
0.007345438003540039	0.0014295474459862915	0.001069784164428711	0.00019991974347468571	0.01	0.1	epsilon_insensitive	3111696	7	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 7}	0.2339258051587335	0.10753653958750631	0.2366925112019883	0.25095724358916693	0.2016586923072624	0.2061541583689315	0.05187834953746234	582
0.007779073715209961	5.1629685056232414e-05	0.0009444236755371093	5.370295801277576e-06	0.01	0.1	epsilon_insensitive	3111696	8	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 8}	0.23082320414820834	0.10638015508012844	0.23830813007878515	0.2517343074676247	0.20084285056577333	0.20561772946810397	0.05234809003442817	585
0.006277942657470703	0.0014345508891461455	0.0007476329803466797	0.0002153012124802276	0.01	0.1	epsilon_insensitive	3111696	9	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 9}	0.22959081548516336	0.10970715355363359	0.23937024184616695	0.25285953206190004	0.20293509657841313	0.20689256790505542	0.05127111834861497	580
0.007311868667602539	0.0016070441671501524	0.000918436050415039	0.0001610827204435214	0.01	0.1	epsilon_insensitive	3111696	10	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 10}	0.22310968585068258	0.09954986305328128	0.23867663309006293	0.25266444262731813	0.2007473306830868	0.20294959106088634	0.054499121319850276	593
0.008567380905151366	0.0005655103627372245	0.0010128021240234375	6.681048446710083e-05	0.01	0.1	squared_epsilon_insensitive	3111696	1	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'squared_epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 1}	0.22577035260660339	0.06895293988828466	0.20557758606768628	0.23201958304683623	0.1736738797332631	0.18119886826853474	0.05969833840000413	713
0.005379390716552734	0.001172210051666186	0.0006377696990966797	0.00015444511907480613	0.01	0.1	squared_epsilon_insensitive	3111696	2	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'squared_epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 2}	0.22605095443456336	0.03987732330814897	0.20725961767212042	0.2358410895800337	0.1768839611144456	0.1771825892218624	0.07153515170824933	759
