mean_fit_time	mean_score_time	mean_test_score	param_estimator__fit_intercept	param_preprocessing_1__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.0022350947062174478	0.0005273024241129557	0.13359853160500534	True	1	{'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	10	0.13413350898300003	0.12259211073300436	0.144068368560339	0.0003604912218167693	7.234902911753207e-05	0.008771446112114056
0.0023386478424072266	0.0005939801534016927	0.22181242598671375	True	2	{'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	8	0.23570098500153147	0.18823319459192678	0.24146139098225416	0.00036010809326850136	0.00017005127041675897	0.023842614618264566
0.003106276194254557	0.0008300940195719401	0.22981279057511664	True	3	{'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	6	0.2505996173473054	0.19177227692715437	0.24700405454767038	4.6248424803071315e-05	1.5488442770771624e-05	0.02691860550456227
0.0031404495239257812	0.0006783008575439453	0.258747366254373	True	4	{'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	3	0.25332492074776136	0.2375053774553776	0.28542808418012	0.0001170906306135917	0.00015062407047020644	0.019928049206043484
0.0021230379740397134	0.0004558563232421875	0.2582470280360263	True	5	{'estimator__fit_intercept': True, 'preprocessing_1__k': 5}	4	0.2524419092574992	0.2381244862413069	0.28419212139839745	0.000402200027900929	0.00010216692818219126	0.019241909954968918
0.00029404958089192707	0.0	0.0	True	6	{'estimator__fit_intercept': True, 'preprocessing_1__k': 6}	11	0.0	0.0	0.0	8.57717994895429e-06	0.0	0.0
0.0005706151326497396	0.0	0.0	True	7	{'estimator__fit_intercept': True, 'preprocessing_1__k': 7}	11	0.0	0.0	0.0	9.547909186762649e-05	0.0	0.0
0.0006211598714192709	0.0	0.0	True	8	{'estimator__fit_intercept': True, 'preprocessing_1__k': 8}	11	0.0	0.0	0.0	2.3811108575380464e-05	0.0	0.0
0.0005324681599934896	0.0	0.0	True	9	{'estimator__fit_intercept': True, 'preprocessing_1__k': 9}	11	0.0	0.0	0.0	9.173392153410251e-05	0.0	0.0
0.00040149688720703125	0.0	0.0	True	10	{'estimator__fit_intercept': True, 'preprocessing_1__k': 10}	11	0.0	0.0	0.0	3.410858111997435e-06	0.0	0.0
0.0019774436950683594	0.000526269276936849	0.13395152706436664	False	1	{'estimator__fit_intercept': False, 'preprocessing_1__k': 1}	9	0.13452081803578797	0.12322817051223511	0.14410388306258004	0.00032420584677764235	9.721989995042461e-05	0.008527746629778687
0.0019478003184000652	0.0004698435465494792	0.22263699474352955	False	2	{'estimator__fit_intercept': False, 'preprocessing_1__k': 2}	7	0.2373539237166684	0.18869000332543162	0.24182286220658733	7.216730807461097e-06	3.821314264987725e-06	0.02405546656729677
0.001940329869588216	0.0005203088124593099	0.23098642924341783	False	3	{'estimator__fit_intercept': False, 'preprocessing_1__k': 3}	5	0.2531843807798142	0.1923037894919597	0.24740445694335522	0.00020772095465815214	0.00013240245209854057	0.02743396255229595
0.002139488855997721	0.0005226929982503256	0.26019473045114616	False	4	{'estimator__fit_intercept': False, 'preprocessing_1__k': 4}	1	0.2563143018582683	0.2383211708898828	0.28596037154400467	0.00033774774193795975	5.43902172438905e-05	0.01963217078720436
0.002050479253133138	0.0006047089894612631	0.2598937214142637	False	5	{'estimator__fit_intercept': False, 'preprocessing_1__k': 5}	2	0.2558454069590007	0.23894088956683945	0.28490702481741736	0.00014836869889276686	0.00016126278951645247	0.018974047632521977
0.0006138483683268229	0.0	0.0	False	6	{'estimator__fit_intercept': False, 'preprocessing_1__k': 6}	11	0.0	0.0	0.0	1.528649662288102e-05	0.0	0.0
0.0005013147989908854	0.0	0.0	False	7	{'estimator__fit_intercept': False, 'preprocessing_1__k': 7}	11	0.0	0.0	0.0	9.158839363572696e-05	0.0	0.0
0.0002894401550292969	0.0	0.0	False	8	{'estimator__fit_intercept': False, 'preprocessing_1__k': 8}	11	0.0	0.0	0.0	6.506104767448418e-06	0.0	0.0
0.0002761681874593099	0.0	0.0	False	9	{'estimator__fit_intercept': False, 'preprocessing_1__k': 9}	11	0.0	0.0	0.0	3.080021917832073e-06	0.0	0.0
0.0002799828847249349	0.0	0.0	False	10	{'estimator__fit_intercept': False, 'preprocessing_1__k': 10}	11	0.0	0.0	0.0	6.74443229334422e-06	0.0	0.0
