mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__fit_intercept	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.0022117042541503905	0.0008033792646987636	0.0007677793502807618	0.00026245083941428896	True	1	{'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	0.8101383359508099	0.643937367375276	0.7396553695736947	0.7182463564785136	0.21321978176609757	0.7411947759337525	0.7534473469096832	0.11906377155698811	0.7448664471950979	0.7160618477800531	0.7462058949849281	0.7261030816492107	0.809570537618939	0.6041015209118887	0.29902771456947197	0.4427974965979753	0.6031146550344559	0.7174150121674852	0.7837363786638643	0.8097088686122197	0.5548338365230303	0.6035059525008718	0.4547570741906898	0.7375241089277287	0.5465234627882292	0.39395800477991094	0.6216436042454319	0.654497612595626	0.8175065174273138	0.3826094779653161	0.7210531619003764	0.6574189553445609	0.3150648428275026	0.8128222962941205	0.546678814454731	0.6662147784399455	0.7828940003237522	0.2822981507893533	0.7250994363298278	0.5944531943229472	0.7082741086615332	0.434594266269711	0.6893357944405527	0.47557365530500817	0.45246587337009403	0.8260337815894883	0.7122907513916534	0.6988881414699272	0.3515386974277458	0.3435380938001067	0.6065238552150134	0.17851656615394262	10
0.0016260957717895508	0.0003576426458802586	0.0005671548843383789	0.00011039652172032037	True	2	{'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	0.8242535070601066	0.9014659643402607	0.9143746552737647	0.9285265257927772	0.6006404051957415	0.9374361381098625	0.8969899239637128	0.5672407281445145	0.8817468744732435	0.9328355816257311	0.8329672053453836	0.95525760199004	0.9386303754368786	0.8351956775934528	0.6798345045710057	0.904462309074178	0.8397825399341932	0.8229652863811926	0.9199824539688853	0.8372163412562071	0.8549617221929346	0.8209279928107229	0.7215527072145538	0.9596594673219991	0.8177491130440029	0.7233635806765117	0.8115840412279234	0.8443263736257808	0.9346959621796302	0.8077837241304577	0.826472078823915	0.833783715796045	0.750574813738943	0.9131794476418694	0.9240290352234177	0.8651068810498936	0.9359655766815583	0.5783118644318176	0.8327738373645653	0.8769529953196697	0.9557615236180225	0.7342868703605496	0.8604361277801769	0.7978595747242453	0.7646836805650647	0.90766097614741	0.9019603760896017	0.9387170666896532	0.6993683413462471	0.7439994200507045	0.8378682812586941	0.09649368093315765	4
0.00161928653717041	0.0002512920707609284	0.0005962705612182617	0.0001289195587627527	True	3	{'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	0.8010418371319165	0.9163772612433978	0.9151637917995651	0.9109700135703627	0.6354646581398937	0.9345579350919968	0.9066660676327576	0.6107157453785855	0.8982606929090995	0.9196665198731063	0.8564467974224261	0.9493512007346079	0.9402511755740829	0.8522364673161711	0.7152829425573208	0.9186325378199144	0.813913449632722	0.8432395756135068	0.938581888589493	0.8418177692353286	0.8742873070197955	0.8210308893235855	0.7521724968315787	0.9711766531112694	0.7681363957297233	0.7659050890979989	0.7678257526171691	0.8613688977597748	0.9023757191045294	0.8765589040462282	0.8256328567632526	0.8506801990861397	0.7193381573070314	0.9294406514650824	0.8799074455007776	0.8448283178837048	0.9398931601444674	0.5986672632724153	0.8480553403050904	0.8686833601387866	0.955406698329166	0.7605268983029319	0.8811065681046761	0.8707565766436605	0.6895446342826062	0.9301641677356093	0.8621448630284161	0.9284852156343087	0.7308832646375774	0.7501715616871695	0.8429310078228647	0.09085489067533625	2
0.0020192432403564452	0.000517594319831183	0.0007680034637451171	0.00022719690680840594	True	4	{'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	0.7956623495826727	0.9149897562590993	0.9152068744973039	0.9017013119154776	0.6227217994132277	0.9335032259446392	0.9065887982633177	0.606339746587889	0.8963258676434217	0.9142535991821201	0.8484649823006308	0.9493372221636647	0.9342021098810738	0.8370305682952808	0.7080236070921474	0.914389080879909	0.7934250714808824	0.8427090201229003	0.9382549632161062	0.8417735275026077	0.8742890628620533	0.8196191302200635	0.7521274675326549	0.971145946121611	0.7650093906434138	0.7509499066818934	0.7296988884493412	0.8407977238670638	0.90227732483419	0.8726738414228076	0.823013843595858	0.8503142650565169	0.7028515265804481	0.929462502049437	0.8725967626153227	0.8432788885913404	0.9398549366366461	0.5866649500073344	0.8445808705974579	0.8624717194171552	0.9553913607705163	0.7562865437932134	0.8782983040641936	0.870276890471709	0.6812833004093668	0.9299520212925332	0.8627750735929439	0.928732332657637	0.6918022635553465	0.7231124928254496	0.8366074701356055	0.0954811463243237	6
0.0019612932205200196	0.00042635882959623275	0.0007346725463867188	0.0002072121872177506	True	5	{'estimator__fit_intercept': True, 'preprocessing_1__k': 5}	0.7945878949143281	0.9091105258979515	0.9130009748538785	0.903010449126069	0.606751183622803	0.9344122320763648	0.9029696600794987	0.5741844840209585	0.8921358662246678	0.9146921116263107	0.8468720569378787	0.9461222805881616	0.9315755532580982	0.836951675336284	0.6688938085390512	0.9092782064837791	0.7881378087834533	0.834491893125079	0.9289472911594143	0.8219618566414184	0.8732356521910668	0.7870681257596652	0.7320295305517339	0.9713038013300254	0.7541567230091252	0.748082993491807	0.7161145493390364	0.8407673152788365	0.9024123760148273	0.8651006446376927	0.8221181536070804	0.8387547633528284	0.7040154588473545	0.9291706087249667	0.8726940452197124	0.8379859699943293	0.939416198685256	0.5720376055827858	0.828516159960448	0.8627184796488113	0.9546548796562276	0.7563924815742198	0.8756488820209055	0.8719936983347858	0.6667926456101215	0.9242020840006752	0.8618649349506995	0.925773242296145	0.6908261260206667	0.7214738860730536	0.8301930674096918	0.10043203781839535	8
0.00039764404296875	6.380901440748169e-05	0.0	0.0	True	6	{'estimator__fit_intercept': True, 'preprocessing_1__k': 6}																																																					18
0.00044516563415527346	0.00011165074967942972	0.0	0.0	True	7	{'estimator__fit_intercept': True, 'preprocessing_1__k': 7}																																																					17
0.0004716062545776367	0.00011650611583970919	0.0	0.0	True	8	{'estimator__fit_intercept': True, 'preprocessing_1__k': 8}																																																					16
0.0004747247695922852	0.00012706671568555458	0.0	0.0	True	9	{'estimator__fit_intercept': True, 'preprocessing_1__k': 9}																																																					15
0.0004949378967285156	9.875158063049921e-05	0.0	0.0	True	10	{'estimator__fit_intercept': True, 'preprocessing_1__k': 10}																																																					14
