mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__loss	param_estimator__max_features	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.03544406890869141	0.008988614041103099	0.0011920881271362304	0.0003068735480003913	ls		1	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 1}	0.28593809335465303	0.14606020532644015	0.23550055848653983	0.14665314627595305	-0.006336646623861464	0.1232041591162385	0.1855981312003374	0.11446228551108695	0.2028128006741038	0.3358513869199474	0.35063401309037423	0.07113912470278239	0.16943544152701873	0.27397589637439845	-0.005822220061944661	0.31495421987266103	0.35662426058596164	0.10559589535782998	0.1087941554334041	0.24074653697115855	0.20049241866645384	0.20431584833457594	0.3062824624380933	0.11152326775126675	0.03132924071462573	-0.09452696708095387	0.23497408249524743	0.17250878520529933	0.35695192093809147	0.16239097635263278	0.2715131332532408	0.10619095788754285	0.13718901731337474	0.23183705389146592	0.26796862934010657	0.019547207186782822	0.23709923440746694	0.2840991785131153	0.20225673355287144	0.24281643756891302	0.21775414876732813	0.08714346933146666	0.24496655348710172	0.19507265447439825	0.3070914208807929	0.08032682893073051	0.08640959894472866	0.2962866984912871	0.24963762437349957	0.2860150688103912	0.18986570258634042	0.10296231259708202	81
0.038326377868652346	0.01015065683970244	0.0011762475967407226	0.00032582898237426344	ls		2	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 2}	0.4015914064203857	0.3287176622259462	0.3255655818081449	0.42617820272942064	0.31236451229138307	0.2732709785293532	0.431441198533691	0.20287740875561333	0.3754731051079916	0.48561594332825986	0.5270153535112347	0.28247765561210636	0.34439646588516515	0.358309860193333	0.18823377732190782	0.48379607203629893	0.41118755867032186	0.3048259823178794	0.31175218417775963	0.44359374343971814	0.4403536166690447	0.3770149177065414	0.3481534345933438	0.3479270032901748	0.35239321358932474	0.14633103539827497	0.47381699913964626	0.36168217161840066	0.4993641150022248	0.2974700542961788	0.4709551475258973	0.1638665992402264	0.4067983363055766	0.41554607349129946	0.4423785605969158	0.25822752748465083	0.22206976003013368	0.33263332468186235	0.4432872870360416	0.40980895150496943	0.2842432272288483	0.36738070510698473	0.4097681398777211	0.4568101149988709	0.4638505102895637	0.28764221264191636	0.349791212208155	0.5520512695497928	0.3680260624549626	0.37971218849244004	0.36696076849891796	0.09142646510907107	72
0.031185431480407713	0.003204901114112728	0.0009225845336914062	0.00011876706113027763	ls		3	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 3}	0.41706907128227366	0.3935357476077742	0.33761042078192005	0.46926331265768195	0.3855712094325473	0.26628721596932514	0.4376542161098531	0.23578678266166808	0.4418746820099071	0.48366642050320896	0.5267079307531357	0.36006508143427096	0.3609116216952194	0.306550429004504	0.2078645878751746	0.5207129213683297	0.4456578191155691	0.3083098680354177	0.33028491805025484	0.46109194330047387	0.4221382025747509	0.39371818906240585	0.36419785422010076	0.34388390199053454	0.3845060342679415	0.17565647148425734	0.4823265962030613	0.4211965232877548	0.5088254879618792	0.3299227981439278	0.44808815714956995	0.18048024561256304	0.35889846068647435	0.4219806163862768	0.47018894681363943	0.2780315760862083	0.2564583714543184	0.4047266005350053	0.4963076171739852	0.43790136643344324	0.32445541078144124	0.36641262153649956	0.4369715784438807	0.45232327521330895	0.4641372416199143	0.283695519650097	0.323965184811031	0.5691481168345208	0.391846676650087	0.3706816327074709	0.3851909495084972	0.08932961598358322	63
0.03108400821685791	0.0014485511342379803	0.000846867561340332	0.00010129392267541048	ls		4	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 4}	0.42664685389526114	0.47632380322364554	0.41628229039349895	0.535616029907404	0.4588899271163943	0.4056343002532745	0.4782551764768652	0.38956816600072997	0.4737617633343878	0.5401323602106243	0.5817682058088631	0.4363139248308465	0.5517962083022748	0.36487908163693816	0.26678705069274955	0.5235449024146053	0.4108775565285826	0.45348743830067517	0.47382270900285794	0.4435051250491574	0.5788182324173392	0.4278834607148694	0.3832047696556078	0.4162812345340925	0.4818633260787678	0.3469259444556321	0.5105315041380473	0.3879811700476755	0.576649832135422	0.35199830481353456	0.48359227318896014	0.3269793029517538	0.4270285222480279	0.5272231355897601	0.49712416331139564	0.30592161656564676	0.2827552223704233	0.48053050682633136	0.5576024129480305	0.5768290590046053	0.368235542222099	0.43593842206336764	0.5393085798916817	0.5323673005470417	0.5241510560856419	0.43982788080669466	0.3695253380614245	0.6199529050027546	0.47488462162146927	0.4583430823938227	0.4559630319214311	0.08154391120226469	48
0.03417015552520752	0.0016951392152068996	0.0008462047576904296	7.217102581171584e-05	ls		5	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 5}	0.48040676299176976	0.5147831813996966	0.5540153056325006	0.607954145853445	0.5013178322342258	0.5154556782459754	0.6046737935144993	0.46750617904233405	0.5073801165528381	0.598242627802656	0.6289135477164611	0.580373033140586	0.6342487034161083	0.46585256900896266	0.384361727930566	0.6022571472631433	0.5514877203982418	0.4837602886351594	0.5612997908873	0.5485539183149788	0.5826665371707028	0.5286133522949052	0.525759224810653	0.4776877508253692	0.4952701059999617	0.4351798272723263	0.543690990747604	0.4780052126945593	0.6274460177648098	0.5100894705918908	0.563426677716389	0.4791896928006978	0.5357792252611561	0.5496531187693189	0.613231521258612	0.4212399613193424	0.37380639559364914	0.5365591277567421	0.5416071621268697	0.5843284423719282	0.44689556235031236	0.5334500952860564	0.5708464216302777	0.5825873816389211	0.5994396384817084	0.4848175547506667	0.5004156183851812	0.6350968310257022	0.580252651355613	0.5399424924904465	0.5333963626504765	0.062254800406366495	32
0.04214296340942383	0.0043929616466560975	0.0010341787338256836	0.00013203112558695583	ls		6	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 6}	0.5539654108589107	0.5501398560922539	0.6051785006259736	0.6793209643796347	0.5544957791508152	0.5672434788519821	0.6384543046582011	0.4591801738710697	0.5232101177677645	0.652622322398644	0.6199472602998448	0.6007096228470105	0.6231144321997493	0.49769231113718715	0.46837403604667516	0.5945951842289807	0.5819101071228381	0.4789259760174106	0.601486163872959	0.6095244009401863	0.6159258658381436	0.6032745535603301	0.573065694043218	0.5042025613472203	0.5869287900682821	0.49706243413662843	0.6391051471298157	0.4789733270743771	0.693515131487843	0.5754262733058209	0.5812593234322723	0.511656033916186	0.5655607236417947	0.6158136092113082	0.6602620772286336	0.578197377486871	0.3421698459747914	0.5764224411628228	0.6161601177209242	0.6760462827144685	0.47126464753584074	0.6262732792691716	0.621821586778147	0.6298325244260065	0.588812470880753	0.48292576452086533	0.5700960912126688	0.6950615679336982	0.6120897483278904	0.5565476381519752	0.5761168666577371	0.06885000663712829	9
0.04602676868438721	0.00614868508135341	0.0010402631759643555	0.00019836647400397464	ls		7	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 7}	0.5744390538190782	0.5389170565820431	0.623974499617159	0.6639681052170328	0.5361798059812442	0.5878400769933445	0.6409569538244597	0.49810306321498377	0.5380950967676221	0.699099279664824	0.6327511915863012	0.63277587432228	0.6585355830749703	0.5232117196828192	0.46375428388036144	0.6177879327111775	0.5899948000862469	0.514874195335089	0.6174628068219747	0.6543476523432687	0.6357894630852176	0.646557086041849	0.603741316845804	0.5409085971634544	0.6091807943244092	0.5129648649905985	0.6734923913071362	0.49324128265296185	0.6576309251990495	0.6071627755750095	0.5746052695069356	0.5158283512241192	0.5952871590864499	0.6739541111483567	0.6666764659408271	0.5956809275088502	0.44040197829062655	0.5973778252818045	0.614040489708679	0.6970998270933357	0.49327251378929093	0.6142867222530591	0.63244463398764	0.6316947139131337	0.618429383788824	0.5395228636357874	0.5792000508546802	0.693953046716957	0.627170550244133	0.5742868986356879	0.5952590462264189	0.06240168275464536	1
0.00037360668182373046	3.275602272738301e-05	0.0	0.0	ls		8	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 8}																																																					139
0.00038898468017578125	7.931112546994281e-05	0.0	0.0	ls		9	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 9}																																																					138
0.00045457839965820315	0.00010385170406359043	0.0	0.0	ls		10	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 10}																																																					137
