mean_fit_time	mean_score_time	mean_test_score	param_estimator__criterion	param_estimator__max_features	param_estimator__min_weight_fraction_leaf	param_estimator__random_state	param_estimator__splitter	param_preprocessing_2__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.001329183578491211	0.0004475911458333333	0.2797832632195956	mse		0.25	3111696	best	7	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'estimator__splitter': 'best', 'preprocessing_2__k': 7}	108	0.2810927011490538	0.3103474196501361	0.2479057366135623	1.5243880618234425e-05	6.368746919520433e-06	0.025495830204267846
0.0013362566630045574	0.00044345855712890625	0.2797832632195956	mse		0.25	3111696	best	8	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'estimator__splitter': 'best', 'preprocessing_2__k': 8}	108	0.2810927011490538	0.3103474196501361	0.2479057366135623	4.423433955534536e-06	1.3276011979547123e-05	0.025495830204267846
0.0013732115427652996	0.0004324913024902344	0.2797832632195956	mse		0.25	3111696	best	9	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'estimator__splitter': 'best', 'preprocessing_2__k': 9}	108	0.2810927011490538	0.3103474196501361	0.2479057366135623	2.2489274716667808e-05	6.912768436426365e-06	0.025495830204267846
0.001404126485188802	0.0004535516103108724	0.2797832632195956	mse		0.25	3111696	best	10	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'estimator__splitter': 'best', 'preprocessing_2__k': 10}	108	0.2810927011490538	0.3103474196501361	0.2479057366135623	6.10377432023282e-05	5.841120028499908e-06	0.025495830204267846
0.0012132326761881511	0.0004325707753499349	0.2504602742713338	mse		0.25	3111696	random	1	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'estimator__splitter': 'random', 'preprocessing_2__k': 1}	196	0.22819662504742821	0.2711093787181784	0.252141676853872	2.2034772977439685e-05	9.70675665346071e-06	0.017563644585628247
0.0012145042419433594	0.0004343986511230469	0.062498179164221096	mse		0.25	3111696	random	2	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'estimator__splitter': 'random', 'preprocessing_2__k': 2}	385	0.06808493827710604	0.06172585905272732	0.057666963108436886	1.4354039346613973e-05	1.0416099980270714e-05	0.004289036058973563
0.0012420813242594402	0.0004437764485677083	0.0769475382829058	mse		0.25	3111696	random	3	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'estimator__splitter': 'random', 'preprocessing_2__k': 3}	374	0.07719678959708198	0.09597811364075359	0.057666963108436886	4.2378786001628224e-05	1.5927519029665518e-05	0.015633636009169623
0.0012316703796386719	0.00044337908426920575	0.23982297352823187	mse		0.25	3111696	random	4	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'estimator__splitter': 'random', 'preprocessing_2__k': 4}	215	0.16145111524676736	0.3103474196501361	0.2479057366135623	2.807541168952893e-06	1.8006873494666053e-05	0.06106941951082118
0.0012609163920084636	0.0004591941833496094	0.2006798442706539	mse		0.25	3111696	random	5	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'estimator__splitter': 'random', 'preprocessing_2__k': 5}	240	0.0791534214525782	0.2711093787181784	0.252141676853872	1.432673269000817e-05	4.209331611436618e-05	0.08640840947042619
0.0012637774149576824	0.0004402001698811849	0.2504602742713338	mse		0.25	3111696	random	6	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'estimator__splitter': 'random', 'preprocessing_2__k': 6}	196	0.22819662504742821	0.2711093787181784	0.252141676853872	2.359929139310079e-05	1.6694219560647715e-05	0.017563644585628247
