mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__criterion	param_estimator__max_features	param_estimator__min_weight_fraction_leaf	param_preprocessing_2__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.11282505989074706	0.017653006461315564	0.003478546142578125	0.0006163425988412068	mse		0.0	1	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'preprocessing_2__k': 1}	-0.214862129417146	-0.23624262842097865	-0.20980988015395008	-0.2776812831897355	-0.21949258592174603	-0.18432199308555974	-0.30204039488284895	-0.23788854563624384	-0.2351554851302078	-0.31797870987689647	-0.18269630967390582	-0.19593032916363917	-0.22184950819574856	-0.3322857649727293	-0.2263390718415006	-0.3566147746040824	-0.11237211715665518	-0.33657399068390603	-0.32824332869972506	-0.08536204754100041	-0.18051237310485146	-0.25957947509535084	-0.2168254971257335	-0.21795789412486877	-0.2123799174677492	-0.2800227355658278	-0.3558808080588882	-0.17112083990151472	-0.22215212688894326	-0.18082718278213217	-0.2250381592106112	-0.15758070875495345	-0.29327613792745755	-0.27315632208593477	-0.21604269645655338	-0.2268852886470658	-0.3904940571145521	-0.22898154887334	-0.2848667736366022	-0.06370237460945827	-0.18353779178291507	-0.39143825293368506	-0.2359695906798911	-0.17049568379500202	-0.21395957780454622	-0.2539941478976149	-0.27672498709275084	-0.34814148386572574	-0.17678991273179423	-0.1862404583552617	-0.23816832970977742	0.07072400449163276	373
0.13034207820892335	0.015338853660076654	0.0033864784240722656	0.000683975821158107	mse		0.0	2	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'preprocessing_2__k': 2}	-0.11665130973913129	-0.1555435019982765	-0.07011621251439615	0.05053606872144589	-0.12486308329382245	0.05271449528727479	-0.057158908953952814	-0.042539728491139295	-0.0762701939983288	-0.17754134963197532	-0.054126913399359156	-0.04441542799597897	-0.05286694667049119	-0.060998609250505265	-0.0513684810113586	-0.03445476848001916	-0.10350395945256952	-0.12540817223396084	-0.11178413638488394	0.012360254982694885	0.0005177080749808605	-0.11390191332656352	-0.10927343180725635	-0.09243637897511725	-0.09209899125998544	-0.07605266162788626	-0.19441371620773884	-0.014605494699397648	-0.061351307130758315	-0.0864495945333632	-0.12583171530305437	-0.015289008120054959	-0.09699123102379925	-0.23160725881201571	-0.045122216700438145	-0.005388137172297025	-0.1166870289458255	-0.08755486215920039	-0.20816950265922252	0.0047493413419033015	-0.08699294437715066	-0.20661521340287559	-0.0028404542824831402	-0.11097368620302328	-0.006386873615441324	-0.052431450819985015	-0.025967535503530037	-0.23309158263835128	-0.026340487383683442	-0.02785478964696142	-0.07782987240143958	0.066657624470198	350
0.1399200439453125	0.01638811769834741	0.0030812120437622072	0.0004949919076626546	mse		0.0	3	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'preprocessing_2__k': 3}	0.17009099144551265	0.19162079842069812	0.21340845761765648	0.3035951262802966	0.23404735034516289	0.29599114891292355	0.1881250909674269	0.23016354082013046	0.13775547325550463	0.24243640102323927	0.26477534504750333	0.24976416468657547	0.21620457834984297	0.20236456801573044	0.23299937612765032	0.2368810830221263	0.32660654101339626	0.21602265227674244	0.23233751042986261	0.20260476488379997	0.21636226630441258	0.23844364897255765	0.23309728887297876	0.22543519017396185	0.19767462827700222	0.1925215896295157	0.16364034689230356	0.18592561300584132	0.26331098903332595	0.2278283669611243	0.11119526351508602	0.2675744627370791	0.14581734477845765	0.1893604971438907	0.2794109522807845	0.29727204565560317	0.16912634031379115	0.21971062719433387	0.2126562117319064	0.30887978489031154	0.233705327478255	0.18371768156146895	0.19898007577079535	0.24887447081530067	0.21070185502911976	0.22936486977710568	0.12478665275681944	0.2212012795422772	0.21346397335122302	0.1638046250731683	0.21923231036790086	0.045618889220007335	186
0.16785723209381104	0.018766371975342307	0.0031926679611206056	0.0005057113639428717	mse		0.0	4	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'preprocessing_2__k': 4}	0.2093909488481671	0.19437591963766931	0.28216890466830025	0.3376504552768441	0.18422376481372493	0.35615488594208233	0.1850420525052039	0.30752022425137115	0.2292883536575926	0.2078291025300577	0.24523470309569118	0.24601140266156318	0.254768050009891	0.20281858896013727	0.26660591079052187	0.29970263048334955	0.3534247161159917	0.26479360844083855	0.23109349065086493	0.22616922298232645	0.22407465004694938	0.2693479207970806	0.2641372548360622	0.2658228776059548	0.2581761212614412	0.16671416887973955	0.21457823155712108	0.3074043280992499	0.34510597851794633	0.2733911158309761	0.1967316657784839	0.2405096003896936	0.15136274744803957	0.23665097295412962	0.27626067964495193	0.2555492426304846	0.2522140225849162	0.23336349811724866	0.25459186299984726	0.33477674862247864	0.27701397395159577	0.1817361115963554	0.27603210772816333	0.28814144194844116	0.19777306962999908	0.268699269101885	0.2286815492685279	0.28062171029650773	0.22865869856596677	0.21213397866732386	0.2508907648146851	0.04758055112487483	154
0.22664646148681641	0.023951093445937134	0.003460197448730469	0.00048189374740924463	mse		0.0	5	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'preprocessing_2__k': 5}	0.27496462252434906	0.2409297539085885	0.307543310306862	0.30680185032460594	0.2168933742390755	0.34270489754222555	0.19969795489406716	0.31778988583788215	0.2199020431505443	0.2608421675506729	0.24795694235474108	0.2663631508690033	0.2892025574400101	0.2193349882797161	0.29729160457463266	0.28975830428989646	0.41372527694273653	0.25325063617917154	0.12020245892053316	0.37866399982768517	0.272389618899355	0.2707817244860944	0.27981950113633147	0.30473218640566324	0.2433889289343215	0.2413353472518025	0.23561977971646686	0.3337580184454595	0.2774653565210774	0.25796587037763463	0.26569718296154254	0.3065205377563962	0.23787086741042673	0.2623953945255184	0.32933690200832877	0.32680597137364475	0.2600908636110183	0.23392718823026115	0.27100062442204687	0.3470472915800724	0.2984860167096477	0.19537902479641478	0.28426997543865085	0.34803539184921906	0.25412661856018015	0.33043850988539747	0.31018145991809143	0.27476008100698246	0.28221013737378287	0.2667309578509147	0.2773273954082651	0.0493594588516496	105
0.2487646770477295	0.02669919813703699	0.003551793098449707	0.0005711853670563134	mse		0.0	6	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'preprocessing_2__k': 6}	0.29134675603316174	0.2618338546624589	0.3193599413405095	0.32165303563978287	0.20412944998957983	0.36414428248261377	0.19537152212009978	0.32090747776785755	0.23549850234382852	0.2807131667526096	0.2619444187233637	0.2887874541702552	0.33036853886555895	0.2160653725029965	0.2792724927419701	0.31274736745772036	0.38076584074544606	0.20748388038120447	0.23878365472693552	0.32295369820913966	0.31339801179135574	0.3021294219076407	0.2877255725349853	0.28004672850037227	0.31734247330399534	0.2737334199357445	0.22542933740207705	0.34147856301701096	0.2940085688221301	0.2671547347262041	0.33567570492421883	0.28262605969204047	0.2720728909685479	0.23328081366744613	0.32500620289832305	0.3627762806284345	0.2403381903323364	0.2990204124781497	0.3090400157476675	0.3968415709307669	0.29376675498245264	0.21158204755842225	0.2641569606009915	0.3720355699485297	0.31994600529830675	0.3218756005530361	0.27954457532078125	0.32117886935918594	0.2836657436974297	0.2529775090408132	0.2902794274835596	0.046781735491057345	90
0.2635349941253662	0.021993097031490084	0.003197650909423828	0.00037518805083750964	mse		0.0	7	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'preprocessing_2__k': 7}	0.34769688536504495	0.26902161966518856	0.3527343205285145	0.3435183630283286	0.31787407980457405	0.4276452495828582	0.24767015124220748	0.315303394477947	0.32671771657551985	0.3353637615505298	0.3305720885268858	0.28691226192808006	0.38221713448682426	0.25464676021900445	0.3832350506291845	0.38200453301841697	0.35248063091679904	0.3158012667393172	0.30950515929899036	0.38481317713317253	0.34730731938202153	0.3482030393294875	0.3150195150370598	0.3811482397114504	0.30112736664498985	0.28740126971801794	0.31922842520168326	0.3942092794132479	0.3803804950988169	0.29804188670586873	0.35605522651699295	0.35648449364921453	0.3481297549245931	0.3283507926860991	0.3767345111586189	0.33371985462566345	0.3200912204038623	0.3243555023806054	0.3082179954489338	0.3097997629798567	0.38631664288750867	0.2218778243084557	0.2811081751625292	0.3702749095392417	0.3875844427011974	0.3517062192870377	0.33694088615079143	0.33946196394520967	0.30837878708602784	0.334394360363075	0.3343553004677568	0.04063414029472989	10
0.3032950305938721	0.030136480193476325	0.0036895418167114257	0.00045453307098319146	mse		0.0	8	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'preprocessing_2__k': 8}	0.4201638333553793	0.3889435020300156	0.3951307357276923	0.41384613415749005	0.37673333282746013	0.4816726069958872	0.2920458537247925	0.41699047216822105	0.34952225544038307	0.37435711704192765	0.38406645967808173	0.35374372197072734	0.38296179720580836	0.3676724460616241	0.3150327893897774	0.40167310325048755	0.3417861050386528	0.3028664457301061	0.3488091763535731	0.48194260456125526	0.36768127539086837	0.39265768484645036	0.31914699085101883	0.3753981038808001	0.3058794712663482	0.3662447532182196	0.353652518668916	0.40358405149670395	0.42439075322887776	0.35225096229461994	0.3522611172210278	0.3996129442034466	0.3575090785913937	0.3562504196890919	0.3784626780923951	0.42931609544522875	0.32036257477532715	0.36971235805773717	0.31143186883945073	0.3097873399650717	0.40526504121754037	0.24101290044332313	0.28819640464286755	0.40166119628365715	0.4085558069012263	0.3084068022074764	0.3778450137486088	0.3607069481782489	0.3420796330781912	0.3059865402568679	0.3655055985765726	0.04712873147960562	2
0.01563401222229004	0.0031868811718938047	0.0	0.0	mse		0.0	9	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'preprocessing_2__k': 9}																																																					499
0.015526275634765625	0.0026934196467732568	0.0	0.0	mse		0.0	10	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'preprocessing_2__k': 10}																																																					498
