mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__epsilon	param_estimator__fit_intercept	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.015086507797241211	0.002960489801811382	0.0005025863647460938	4.8692989359731606e-05	1.0	True	1	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	0.6789373166414496	0.5855544755638127	0.9389610014833607	0.876956670786504	0.7263326274035424	0.755854694023687	0.12971088331219047	4
0.026299476623535156	0.005933634053631098	0.000594472885131836	0.0002131305599227836	1.0	True	2	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	0.6842979606358869	0.6043644562909714	0.8337894120290876	0.8266882094765169	0.7055736544973151	0.7272571415594651	0.08810457434313212	32
0.03303070068359375	0.004493707492817228	0.0006631851196289062	6.490498191069361e-05	1.0	True	3	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	0.6615527935199788	0.5915107013141618	0.8303989118320055	0.8809416846602286	0.5873430268218747	0.7067827140035827	0.12136082816994435	39
0.03952174186706543	0.005020963678419649	0.0005962848663330078	2.3320700982017387e-05	1.0	True	4	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	0.6704830946789314	0.6588981656628038	0.8477961232553702	0.9216681877781854	0.667648374367	0.7495282291919649	0.10901463026953402	9
0.0438652515411377	0.009417718378987881	0.0006052017211914063	1.637059120184485e-05	1.0	True	5	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 5}	0.27325709924644837	-0.29092918897993214	0.8776447227712835	0.9156092445266253	0.4084628994297622	0.41784533836625964	0.44640699367488285	66
0.045923614501953126	0.008461385758431415	0.0006207466125488281	5.084001018281774e-05	1.0	True	6	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 6}	0.514577437857455	0.08052520253154971	0.9037453554106669	0.1588179516722935	0.7871955920660603	0.4808267339623667	0.3262132673343113	61
0.0357325553894043	0.004972870355639965	0.0005041122436523438	2.8247359952496736e-05	1.0	True	7	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 7}	0.5307351789787383	0.7273240814158104	0.7584339430748077	0.2186556433225052	0.6870058048406431	0.5863287473422786	0.1959244051059007	50
0.00027599334716796873	1.9073843952640955e-05	0.0	0.0	1.0	True	8	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 8}								110
0.00026049613952636717	4.070189920973454e-06	0.0	0.0	1.0	True	9	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 9}								111
0.00030155181884765624	4.055594639961284e-05	0.0	0.0	1.0	True	10	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 10}								112
0.008525609970092773	0.0014044422602878604	0.0005010604858398437	2.1668878194562836e-05	1.0	False	1	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 1}	-2.4465685627377893	-3.0256819441309855	-1.2313474649311011	-1.7013722065018695	-0.011540636391159875	-1.728103145512871	1.0390834885141653	92
0.013199234008789062	0.00266592616614499	0.00047626495361328123	1.9018929657465484e-05	1.0	False	2	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 2}	-0.013415110414072284	-1.0214774314364883	0.2091786037193789	0.7237210721470638	0.522590891760781	0.0585210572370087	0.616107575310837	80
0.018012332916259765	0.0030629933121135316	0.0004764080047607422	2.308226789649577e-05	1.0	False	3	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 3}	-0.11793721839727156	-0.49278744698458965	0.3411448506105158	0.7763006940924739	0.644320024662188	0.20741794618016995	0.47831665789975647	75
0.02430262565612793	0.007242957311772461	0.0004718780517578125	2.569236486052354e-05	1.0	False	4	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 4}	0.2315742591629506	-0.8784139130892585	0.4156289880132321	0.07095737130775259	0.5126195245613149	0.05371183863143867	0.5070111383466807	85
0.033363962173461915	0.008806323031995111	0.0005002021789550781	1.8661337607707927e-05	1.0	False	5	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 5}	0.3010798476861458	-0.32753448716106526	0.7205637940710152	0.6244963601198386	0.7234639160127805	0.39047170717198965	0.4049362233197619	69
0.033028030395507814	0.0037717234393576165	0.0005095005035400391	3.181365181019713e-05	1.0	False	6	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 6}	0.39438684292905135	0.16982950081454418	0.7034221792748541	0.525305169429862	0.7472652148345205	0.49842758530402304	0.21288294444367825	59
0.0322422981262207	0.0034467535140975266	0.0005345821380615234	4.44783006968111e-05	1.0	False	7	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 7}	0.43893814425961963	0.22854079021024654	0.7563253626120785	0.407253124936341	0.6789959933574676	0.4948502058053542	0.19185756186487823	60
0.00029554367065429685	7.652605036662929e-06	0.0	0.0	1.0	False	8	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 8}								113
0.00030961036682128904	1.3642543596075186e-05	0.0	0.0	1.0	False	9	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 9}								114
