mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__epsilon	param_estimator__fit_intercept	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.02490863800048828	0.004467171622631331	0.000872802734375	0.00018313765242978356	1.0	True	1	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	0.8332239075336197	0.7826731932550993	0.9234576966940065	0.8271612510286241	0.8538820907187072	0.8440796278460113	0.04598215836432989	127
0.018334484100341795	0.002176715006334279	0.000567770004272461	3.988725014627995e-05	1.0	True	2	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	0.8641114680349911	0.7297403258576249	0.9411231298320699	0.8639673977826449	0.875486741327418	0.8548858125669498	0.06883350043029572	19
0.03307099342346191	0.005682997636894484	0.0010794639587402345	0.0004065248785894607	1.0	True	3	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	0.8549452806260637	0.7311450879216149	0.9448704137904993	0.8656273245393326	0.8806221589659917	0.8554420531687004	0.06954881956863539	17
0.026959657669067383	0.0170614275320237	0.0005259037017822266	2.608887607810633e-05	1.0	True	4	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	0.8550422417784181	0.731440547404832	0.9380448000475483	0.8602945603731299	0.8805601178516882	0.8530764534911233	0.06756660530646857	56
0.02791318893432617	0.008890844752685895	0.0005239486694335937	2.5976729952659674e-05	1.0	True	5	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 5}	0.8541146929329663	0.724237213911101	0.9386816710100528	0.861886027253616	0.8807387537968139	0.85193167178091	0.07037775171944476	74
0.035063552856445315	0.01014765897796288	0.0005637645721435547	5.2942154064382314e-05	1.0	True	6	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 6}	0.8515006160644002	0.7245159497947101	0.9383431101099129	0.8608990434960262	0.8805448589576091	0.8511607156845318	0.07013992452484612	89
0.057077884674072266	0.04053226096757426	0.0006662368774414063	0.00022768715162949552	1.0	True	7	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 7}	0.8505214505356972	0.7219888452428211	0.9371606814705508	0.8538562246957743	0.880949209555257	0.8488952823000201	0.07064097123108466	113
0.033932971954345706	0.0033200900947748606	0.0005434989929199219	1.237628983981418e-05	1.0	True	8	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 8}	0.8615943871677499	0.7343954317791239	0.9351502316858226	0.8572649575077984	0.8751143402686508	0.8527038696818292	0.06541614953804337	62
0.03956279754638672	0.008515089240187762	0.0005777359008789062	4.046249182855661e-05	1.0	True	9	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 9}	0.8574040502502053	0.739880601946162	0.9388511466692976	0.8524825391759123	0.8805224966702482	0.853828166942365	0.064714974380507	38
0.035166597366333006	0.005054364512717882	0.00054779052734375	2.8592978680861704e-05	1.0	True	10	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 10}	0.8555621575981903	0.7036476810490999	0.9349998254829149	0.8667496775392356	0.8722957329398371	0.8466510149218556	0.07667657020407712	125
0.01256856918334961	0.0016093863694689743	0.0005062580108642578	2.103149194090248e-05	1.0	False	1	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 1}	0.8316290925319351	0.7830547782190387	0.9244694969267675	0.8298730622921948	0.8532983354549488	0.844464953084977	0.046103465920769665	126
0.016030406951904295	0.0028486477102596425	0.0005138874053955078	2.3264864913547127e-05	1.0	False	2	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 2}	0.8639921741039895	0.7336829580221846	0.9411213460170696	0.8638820065734296	0.8746677414766652	0.8554692452386677	0.06735009910794286	14
0.02197122573852539	0.005595184083601125	0.00042333602905273435	0.00021302758613296708	1.0	False	3	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 3}	0.854967677758628	0.7378856506672006	0.9454122381656067		0.8812760842569265			140
0.021506547927856445	0.0036736452153346174	0.0005208492279052734	2.2185281163080775e-05	1.0	False	4	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 4}	0.8553425824985139	0.7445430351101191	0.9391270147398207	0.8606832970792107	0.8795158731800278	0.8558423605215384	0.06309990984417525	10
0.02721095085144043	0.009089015971221425	0.0005436897277832031	5.901167601448794e-05	1.0	False	5	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 5}	0.855428945592507	0.7260232610088652	0.9388582071543445	0.8612625633550609	0.8806966851698614	0.8524539324561279	0.06976318388814397	65
0.03747005462646484	0.01772567119909479	0.0006159305572509766	0.0002073544132862433	1.0	False	6	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 6}	0.8511706023464687	0.7356775691953006	0.9384995408427724	0.8606913610561385	0.8819178301544288	0.8535913807190217	0.06628984874018837	42
0.04023246765136719	0.017691858920145607	0.0005934715270996093	0.00012769565553087951	1.0	False	7	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 7}	0.8505264245049338	0.7224626114950872	0.9371886927922951	0.8559079991853277	0.8810848721459508	0.8494341200247189	0.07052305065751695	107
