mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__epsilon	param_estimator__fit_intercept	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.025058603286743163	0.009086582824788164	0.0008900165557861328	0.0002393429479859839	1.0	True	1	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	0.280935268622275	0.2192601478356826	-0.07528318493764674	0.17342506880402997	0.07240871767448787	0.13414920359976573	0.12490510659844163	138
0.013512659072875976	0.0022894304986788867	0.0005870819091796875	1.3693282119017913e-05	1.0	True	2	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	0.2507391171251475	0.2242152402169868	-0.09227028269396254	0.1690007894946176	0.08095169144439662	0.1265273111174372	0.12387495693250708	140
0.019502019882202147	0.00624198201254049	0.0006002426147460937	1.6139088810733675e-05	1.0	True	3	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	0.3045295254460867	0.24480467879409562	-0.012537567820173345	0.11633868671178382	0.15351214448826112	0.1613294935240108	0.10935208673123957	112
0.019575214385986327	0.007625837053356576	0.0005957603454589844	1.0304979445831373e-05	1.0	True	4	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	0.33629392095752386	0.24946703391914282	-0.017472735526696592	0.18203758118047741	0.19024249111018943	0.1881136583281274	0.11664376786616429	95
0.02332906723022461	0.00571020896467577	0.0006070613861083984	2.1523480696556928e-05	1.0	True	5	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 5}	0.3598861966516542	0.2592482330811873	0.015794988270247723	0.23041333177125012	0.23043908208951147	0.21915636637277017	0.1122694187694703	35
0.018429946899414063	0.0038008520567209027	0.0005948543548583984	1.9131215470036677e-05	1.0	True	6	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 6}	0.3452518223266602	0.2744577253553181	0.05281305082695853	0.23815542425488656	0.18842480286392338	0.21982056512554937	0.0979097445002282	32
0.03751215934753418	0.01575868929743647	0.0006128787994384765	1.3107905690286025e-05	1.0	True	7	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 7}	0.320572090414337	0.2541502995766768	-0.03754883016988564	0.2624753690289927	0.17661453091743806	0.1952526919535118	0.1250893263850174	83
0.02508382797241211	0.005123396464078663	0.0006098270416259766	1.0080793148487779e-05	1.0	True	8	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 8}	0.30977554224714	0.2368861938262632	-0.02495698137809721	0.20851802528303964	0.13210087674116644	0.17246473134390242	0.11393752413986473	106
0.028090190887451173	0.010746044594767738	0.0006134033203125	1.1537488658780374e-05	1.0	True	9	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 9}	0.3485705551912365	0.22750670170917975	-0.05606066260404163	0.18756740019910423	0.13551937612165021	0.1686206741234258	0.13250351042382247	111
0.03574080467224121	0.010385396864573695	0.0006080150604248046	5.680969942924567e-06	1.0	True	10	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 10}	0.3407106843705797	0.229535369651931	-0.05730301201173482	0.18345041157582842	0.16066980649763996	0.17141265201684883	0.13008554525481897	108
0.009474945068359376	0.002753859295849245	0.0005701541900634766	2.3539823480130073e-05	1.0	False	1	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 1}	0.2811077705974345	0.2401608233197522	-0.07347975435786536	0.2080755439047861	0.06373415865557208	0.1439197084239359	0.13106573666296306	137
0.010488510131835938	0.0020952616376693437	0.0005699634552001953	1.8640978870029166e-05	1.0	False	2	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 2}	0.249243713372566	0.23358806707241597	-0.08627152666340132	0.18410861658647548	0.06632530886274823	0.12939883584616088	0.1254618075372929	139
0.012971019744873047	0.0026934669809835846	0.000583648681640625	1.0727246484621287e-05	1.0	False	3	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 3}	0.3223994996977989	0.24860195169162824	-0.012549628182546124	0.1510117052328278	0.1433406070497426	0.1705608270978903	0.11295835250474479	109
0.017501258850097658	0.004393347197368119	0.0005872249603271484	1.4724929096694018e-05	1.0	False	4	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 4}	0.3435057540671551	0.2537919699046014	-0.012440891729598391	0.2202797016185385	0.1823992450980373	0.19750715579174677	0.11773579868934521	80
0.01915087699890137	0.002291718992406095	0.0005967617034912109	1.5970841841062034e-05	1.0	False	5	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 5}	0.3702434192805292	0.27135289326771017	0.01837925078076086	0.23167487012961496	0.2221211062181161	0.22275430793534623	0.11485991626578472	24
0.018602943420410155	0.005593233562606593	0.0006007194519042969	1.2782971704342976e-05	1.0	False	6	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 6}	0.34324966313397376	0.28086020767884834	0.04226264847149208	0.22305865193987295	0.19194147162411934	0.21627452856966128	0.10120499113100796	37
