mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__booster	param_estimator__max_depth	param_estimator__n_estimators	param_estimator__random_state	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.0029954910278320312	0.0008084952952329327	0.0009364128112792969	9.942696228189958e-05	gbtree	1	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.12785027717735775	0.7437020584677194	0.6240547383389692	0.7788443552644664	0.8013776865963813	0.6098109080840105	0.2549255017098011	21
0.006292724609375	0.0014861978483169333	0.0007628917694091797	0.00015174232084183808	gbtree	1	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.5975961014714875	0.533434813157369	0.18642920044293843	0.9122872429421311	0.4889038417259841	0.5443805449439953	0.22877454351057244	35
0.006787347793579102	0.00018304687297559169	0.0005348682403564453	5.334284175395336e-05	gbtree	1	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.6444780917997235	0.46389968360026834	0.1574018600243069	0.9103821074849497	0.4387125405757769	0.5239066188164974	0.2454435009929741	37
0.012733268737792968	0.0003487586909902529	0.0005311965942382812	5.256835016656324e-05	gbtree	1	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.6507091412247236	0.4502863592676696	0.15400230848002727	0.9055322743939043	0.42645768004589457	0.5183856182813619	0.24720734292128682	39
0.001723909378051758	8.392044084050147e-05	0.0005031108856201171	2.2930562998092566e-05	gbtree	2	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.23546782368547747	0.8515448130528078	0.7000266197094733	0.9026671704193799	0.8896179895490169	0.7107198514947508	0.25440186934638387	7
0.004735088348388672	0.0001757985888189965	0.00046854019165039064	1.932891049872683e-05	gbtree	2	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.6263388476889371	0.5171752084398147	0.7791504711439412	0.9383176121932422	0.6542889488927127	0.6991348985789728	0.14407743534551995	9
0.0089324951171875	0.0002521327415023836	0.0005028724670410156	3.34858533622083e-05	gbtree	2	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.6493959117706658	0.3848803696689629	0.6728096669155821	0.9264413887409794	0.6237858181259925	0.6474529447660896	0.17246082305997362	17
0.0172393798828125	0.00034616812494587856	0.0005872726440429687	4.716625777874629e-05	gbtree	2	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.6519783115065048	0.37907363430319585	0.6706357689701629	0.9249024585953143	0.6178548355172802	0.644908015841965	0.17395013621156205	19
0.0018259525299072266	9.727286355617285e-05	0.0004668712615966797	1.9439171951657948e-05	gbtree	3	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.23907366554373832	0.9174351062236349	0.7709315671644179	0.9406077636488562	0.9045577539647617	0.7492594762217566	0.2686515436389819	1
0.005809402465820313	7.965387392624825e-05	0.0005001068115234375	1.929959740937839e-05	gbtree	3	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.6240606240820065	0.3864484443621444	0.6820917327037008	0.9218275453824774	0.7219642678910362	0.662441985909282	0.17332423135020614	13
0.01110219955444336	0.00029925431609089347	0.0005440711975097656	4.501807463631265e-05	gbtree	3	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.6471079639972196	0.17818122773699163	0.5030038256293523	0.9139043209598495	0.7007221057378151	0.5833319696198535	0.24551644504261816	23
0.022702121734619142	0.00014783017827641365	0.0005787372589111328	4.898294476448047e-05	gbtree	3	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.6489419039184714	0.16681351903925046	0.49832060277730394	0.9130783011069079	0.6976711907195295	0.5796789127053246	0.249346228485556	26
0.002003908157348633	0.0001300828023288766	0.0004700660705566406	1.5548547654098466e-05	gbtree	4	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.2392293244319028	0.9186419058937729	0.7584663187517959	0.9407286235611243	0.9046987115430217	0.7471763391744285	0.26863365643971804	3
0.006913518905639649	4.3096583510512385e-05	0.0005885601043701172	0.00010277833103771091	gbtree	4	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.6230776252868728	0.3548576844889121	0.721951385647055	0.91990901559452	0.7235893541322099	0.6633125545779133	0.1853822885674692	12
