mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__booster	param_estimator__max_depth	param_estimator__n_estimators	param_estimator__random_state	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.0015747547149658203	0.0004921640489458504	0.0006024837493896484	0.00012501111649954012	gbtree	1	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.16980143804380754	0.4025269292386492	0.017767528233102015	0.029163362065052323	-0.6475515709070243	-0.005658462665282649	0.34962539663359005	49
0.003433847427368164	0.00013565481641286453	0.0005841255187988281	3.853540546458216e-05	gbtree	1	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.686493106223247	0.6093963509278482	0.6154673072652787	0.8164612068625127	0.5437026450482264	0.6543041232654226	0.09283183038349954	13
0.006019735336303711	0.00018624240019170254	0.0006167411804199219	4.725679975461532e-05	gbtree	1	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.6599782845434543	0.547087717328858	0.5537531526254955	0.8520466734395448	0.5149215856841132	0.6255574827242932	0.12331732459371685	21
0.011143970489501952	0.0004931766634100812	0.0006164073944091797	3.5215836537316605e-05	gbtree	1	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.6132539813364999	0.5204314102480113	0.5090974874597396	0.8530258354735851	0.45953245977290724	0.5910682348581486	0.140088840679285	29
0.0014698028564453125	6.903268226857604e-05	0.000584554672241211	4.061309162508207e-05	gbtree	2	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.18798137150211347	0.35704064155186477	0.056847343848883236	0.07489242986522626	-0.5928693600649353	0.016778485340630506	0.32303003035555405	36
0.0038980960845947264	0.0002492938865975697	0.0006036758422851562	2.8787303362558084e-05	gbtree	2	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.6529673962413065	0.6318045659675179	0.5521371181046898	0.8016833666791742	0.6036587261936379	0.6484502346372654	0.08373812922995848	15
0.006842660903930664	0.00034068369508681676	0.0006217002868652344	3.0552054838424256e-05	gbtree	2	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.6785011615317678	0.5694284983731235	0.5150199126954298	0.8263811720692587	0.5168207743396431	0.6212303038018445	0.11851772353801432	23
0.012792110443115234	0.00025258483310714065	0.0006443500518798828	3.6220671064468576e-05	gbtree	2	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.7009291612201954	0.53810544258443	0.49485403894491786	0.8295432087260383	0.5035841261902478	0.6134031955331658	0.13127161314672764	25
0.0014996051788330079	8.219729389326095e-05	0.0005747795104980469	3.9838710123143624e-05	gbtree	3	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.16546872562221338	0.3648110557904498	0.010465285231914034	0.07496543408892986	-0.6368468831173726	-0.004227276476773105	0.33813634743794285	47
0.00426788330078125	0.00011356229063841638	0.0005777359008789062	1.0134780912517332e-05	gbtree	3	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.6668155926059094	0.5672928681201457	0.46873813058226843	0.8196006865487411	0.6294136644464988	0.6303721884607127	0.11596640400004397	17
0.007278585433959961	0.0008362704854383053	0.0005952358245849609	5.453036855855668e-05	gbtree	3	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.6704845305679391	0.5165008453449949	0.45487976595766133	0.8507072016083257	0.6417474461076786	0.62686395791732	0.13710481335522826	20
0.012710952758789062	0.00027740604019510626	0.0005524158477783203	2.2757674703813526e-05	gbtree	3	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.6694760617666047	0.47037477736444144	0.4459836482095868	0.8601115684867209	0.6135285174773089	0.6118949146609326	0.14998950762806385	27
0.0012886524200439453	5.4217873672805366e-05	0.0004769802093505859	1.4746993782274194e-05	gbtree	4	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.1651558765528467	0.3648110557904498	0.0136364553969055	0.07496543408892986	-0.6308790050166126	-0.002462036637496161	0.3359009824515387	45
0.0040966510772705075	0.00023074201819118866	0.0005211353302001954	3.120840005043678e-05	gbtree	4	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.7035557298994317	0.6768288838766567	0.5094873638572637	0.8291387333867462	0.6427696004513119	0.672356062294282	0.10293279652416068	9
0.007473993301391602	0.0003191503337672778	0.0005898952484130859	4.472173318288073e-05	gbtree	4	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.7116348455642024	0.694432682673254	0.4743720453051885	0.8597857502049568	0.6504382777512524	0.6781327202997708	0.12383157857886334	1
0.014632225036621094	0.00038514733826462683	0.000679922103881836	3.9697774522969357e-05	gbtree	4	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.7140982697338858	0.6970866540671512	0.4634827058815755	0.8641910649064437	0.6230126957586941	0.67237427806955	0.1305507774466915	7
0.0013622760772705079	7.673692252718625e-05	0.0004787921905517578	2.3911564967951578e-05	gbtree	5	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 5, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.16615425518580373	0.3648110557904498	0.0136364553969055	0.07496543408892986	-0.6308556057832475	-0.002257681064231724	0.33599208975701633	43
0.004216957092285156	7.607329767859223e-05	0.0005085945129394531	1.4573909742362918e-05	gbtree	5	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 5, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.7068069853244884	0.695348319930837	0.49092066906900267	0.8467571717931353	0.6235326774021859	0.6726731647039299	0.11613206194736439	6
0.008119630813598632	0.0003816530085383589	0.0005646705627441406	4.3942452211808635e-05	gbtree	5	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 5, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.7051573012060063	0.6820217668093406	0.4667965665113004	0.8761597032341112	0.6349827989113992	0.6730236273344314	0.13141880389447552	4
0.015560770034790039	0.0005142849485054575	0.0006111621856689453	1.7927174771613925e-05	gbtree	5	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 5, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.699941379065121	0.6905020671501823	0.46134109836786874	0.8784752556449827	0.6259055407575698	0.6712330681971449	0.13435327270618194	12
0.0010232925415039062	2.6346277847033702e-05	0.0005047321319580078	5.1845160252618686e-05	gblinear	1	10	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 1, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	-0.4817233926528399	-0.5221702813327354	-1.0482211534126975	-0.45788557991691725	-1.0439575159817016	-0.7107915846593784	0.27454323213494136	56
0.001895904541015625	4.857330213815241e-05	0.00048336982727050783	1.816467954179761e-05	gblinear	1	50	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 1, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	-0.12266858931316982	-0.5510232664782335	-0.3900610154797899	-0.20081620500027308	-0.3618215363096233	-0.3252781225162179	0.1503559152087737	51
0.0033370018005371093	0.00012180866572445192	0.0005249500274658204	5.472636611255374e-05	gblinear	1	100	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 1, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.16611504471341854	-0.26571914189647816	0.042733288921879664	0.029694362933954555	0.0674214302487508	0.008048996984305083	0.1450037772728672	38
0.005855989456176758	0.00019023139786391793	0.0005224227905273437	4.572428283360534e-05	gblinear	1	200	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 1, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.4516380094295668	0.12895973520322923	0.46488853503526784	0.35242795269095484	0.494453645935798	0.37847357565896333	0.1335720684343565	31
0.0009716033935546875	0.00012237256226763492	0.0004971504211425781	5.5177992181978934e-05	gblinear	2	10	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 2, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	-0.4817233926528399	-0.5221702813327354	-1.0482211534126975	-0.45788557991691725	-1.0439575159817016	-0.7107915846593784	0.27454323213494136	56
0.0018477439880371094	6.0474721021817586e-05	0.0005203723907470703	5.018959696178001e-05	gblinear	2	50	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	-0.12266858931316982	-0.5510232664782335	-0.3900610154797899	-0.20081620500027308	-0.3618215363096233	-0.3252781225162179	0.1503559152087737	51
0.00335545539855957	0.0002288859784228249	0.0005028247833251953	4.885661515908619e-05	gblinear	2	100	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.16611504471341854	-0.26571914189647816	0.042733288921879664	0.029694362933954555	0.0674214302487508	0.008048996984305083	0.1450037772728672	38
0.0058460235595703125	0.0003638685897329595	0.0004729747772216797	2.737867584052817e-05	gblinear	2	200	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.4516380094295668	0.12895973520322923	0.46488853503526784	0.35242795269095484	0.494453645935798	0.37847357565896333	0.1335720684343565	31
0.0009150505065917969	7.028586181886094e-05	0.0004778385162353516	2.9880763773329177e-05	gblinear	3	10	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 3, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	-0.4817233926528399	-0.5221702813327354	-1.0482211534126975	-0.45788557991691725	-1.0439575159817016	-0.7107915846593784	0.27454323213494136	56
