mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__criterion	param_estimator__max_features	param_estimator__min_weight_fraction_leaf	param_estimator__random_state	param_estimator__splitter	param_preprocessing_2__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.0017664909362792968	0.0003056081450864074	0.0007085323333740235	4.70849591694493e-05	mse		0.0	3111696	best	1	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'estimator__splitter': 'best', 'preprocessing_2__k': 1}	0.5231890891977644	0.699480729050507	0.809056590263762	0.8314611919826228	0.657176653978923	0.7043677955294063	0.11181250449982189	141
0.0016938209533691405	3.305743885978229e-05	0.0006901741027832032	1.8558953055289128e-05	mse		0.0	3111696	best	2	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'estimator__splitter': 'best', 'preprocessing_2__k': 2}	0.6875585772895128	0.8033475093511141	0.8160533116842428	0.8728197074516628	0.6615276921747093	0.7689326405173902	0.08024406813549888	64
0.001739358901977539	2.286611924009491e-05	0.0006972312927246094	1.4044938798995544e-05	mse		0.0	3111696	best	3	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'estimator__splitter': 'best', 'preprocessing_2__k': 3}	0.6936523575727404	0.8036512250042848	0.7986365275405467	0.870442208001927	0.7130799755007868	0.7762875057883544	0.06471964846760593	48
0.0016211509704589845	0.00017213369664739503	0.0006278514862060547	5.903209353392941e-05	mse		0.0	3111696	best	4	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'estimator__splitter': 'best', 'preprocessing_2__k': 4}	0.5536101328423724	0.7937609889670298	0.8523705717874963	0.7737718189272238	0.719995695224697	0.7388194902687895	0.10208379838876766	103
0.001493692398071289	3.9585239156181974e-05	0.0005777359008789062	6.78618185906274e-06	mse		0.0	3111696	best	5	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'estimator__splitter': 'best', 'preprocessing_2__k': 5}	0.7025293461268258	0.7815589686172338	0.7794987810145447	0.7662367289315193	0.8444571489287178	0.7744184528734227	0.0450048899150265	52
0.0017499923706054688	0.0001147279517372985	0.0006492137908935547	4.236718946801937e-05	mse		0.0	3111696	best	6	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'estimator__splitter': 'best', 'preprocessing_2__k': 6}	0.6960084297228777	0.8018883613764238	0.8420288822763655	0.7511208888500185	0.8122398848167706	0.7804586567329675	0.051583533792519835	42
0.0019279956817626954	0.0001782574322694222	0.0006733894348144531	1.4554551125453564e-05	mse		0.0	3111696	best	7	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'estimator__splitter': 'best', 'preprocessing_2__k': 7}	0.6102040830241857	0.8295985382430286	0.8472015002262423	0.7473934948538065	0.8054494776922739	0.7677336951671252	0.08600098995368365	68
0.001874685287475586	3.4391167251499396e-05	0.0006494522094726562	2.594931867747459e-05	mse		0.0	3111696	best	8	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'estimator__splitter': 'best', 'preprocessing_2__k': 8}	0.7328572367903258	0.8245698711770629	0.8725817213387821	0.771177895707976	0.7931454531076693	0.7989024166464808	0.04758347565310453	24
0.001851797103881836	5.019784142136523e-05	0.0006272792816162109	3.003619931721815e-05	mse		0.0	3111696	best	9	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'estimator__splitter': 'best', 'preprocessing_2__k': 9}	0.6238405793046973	0.8077819114587034	0.8415253130599181	0.7884544831556541	0.8049507512185692	0.7731116130258036	0.07689805160306773	56
0.0017970085144042968	3.708720358568116e-05	0.0006033897399902344	1.8681674159047807e-05	mse		0.0	3111696	best	10	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'estimator__splitter': 'best', 'preprocessing_2__k': 10}	0.637638653421712	0.7876023032492478	0.8761482602309609	0.8254071354167782	0.730502611949833	0.7717173851864352	0.08231054356562162	58
0.001349496841430664	6.95589871711511e-05	0.0005585193634033203	1.4241873504419622e-05	mse		0.0	3111696	random	1	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'estimator__splitter': 'random', 'preprocessing_2__k': 1}	0.7371104899743155	0.705390744411804	0.5951285905846191	0.8379497761735306	0.6904183558002102	0.7133428696001455	0.07852571542877738	125
0.0017744064331054687	0.0007896563942205717	0.0006724834442138672	0.0002066333318000578	mse		0.0	3111696	random	2	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'estimator__splitter': 'random', 'preprocessing_2__k': 2}	0.5886495370272343	0.8141268747438271	0.6473480665173514	0.7963866100216884	0.635468229585983	0.6967790562458409	0.09135639147103806	164
