mean_fit_time	mean_score_time	mean_test_score	param_estimator__alpha	param_estimator__fit_intercept	param_estimator__l1_ratio	param_estimator__random_state	param_preprocessing_1__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.02117474873860677	0.0006502469380696615	0.15338528001641766	0.1	True	0.0	3111696	1	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	391	0.15579924241959875	0.1494672319404473	0.15488936568920686	0.001010056820386473	2.550769303860438e-05	0.0027952691534493613
0.02995475133260091	0.000679175059000651	0.1927320901969318	0.1	True	0.0	3111696	2	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	331	0.1972207953602172	0.1887680687703619	0.19220740646021628	0.00023004467711785202	3.0499153071997268e-05	0.0034706979575096037
0.07181398073832194	0.0011014938354492188	0.20125054634205508	0.1	True	0.0	3111696	3	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	283	0.2069627972483017	0.19673552790205762	0.20005331387580594	0.017441208052921483	0.0002382399366591473	0.004260225639864369
0.04908625284830729	0.0007123152414957682	0.20174888034420765	0.1	True	0.0	3111696	4	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 4}	247	0.20697230272988965	0.1982216393301346	0.2000526989725987	0.00025663013287156763	4.544916591146061e-05	0.0037684038104568076
0.058159589767456055	0.0007279713948567709	0.2027891209255449	0.1	True	0.0	3111696	5	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 5}	221	0.2082578947853918	0.19843198878828106	0.20167747920296186	0.0005561965985710041	2.7886028793765373e-05	0.0040876984278486765
0.0672918160756429	0.0007447401682535807	0.20374149493342897	0.1	True	0.0	3111696	6	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 6}	180	0.20955936916307727	0.19895639202345428	0.20270872361375536	0.0008401825924331843	4.056262371926475e-05	0.004389817270676705
0.07814772923787434	0.0007998943328857422	0.20442881228203835	0.1	True	0.0	3111696	7	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 7}	152	0.2105797506405762	0.1994533425275108	0.20325334367802805	0.00018419923101610307	8.431617234468361e-06	0.004617758056595751
0.08983230590820312	0.0008203983306884766	0.27127758425678217	0.1	True	0.0	3111696	8	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 8}	142	0.3546404582433753	0.226987992534895	0.2322043019920762	0.0004008587566904956	2.138957060355249e-05	0.05898490790344439
0.09569851557413737	0.0008718172709147135	0.4197627571996994	0.1	True	0.0	3111696	9	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 9}	46	0.4195928742958728	0.4147669866304815	0.4249284106727439	0.0005208866818028544	8.053240197438118e-05	0.00415012287307468
0.10516715049743652	0.0008702278137207031	0.42347636115646814	0.1	True	0.0	3111696	10	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 10}	7	0.422497599152059	0.4183580050620741	0.42957347925527134	0.001049214388628862	3.0458537250185876e-05	0.0046307088471438575
0.008153359095255533	0.0006325244903564453	0.15338528001592283	0.1	True	0.0001	3111696	1	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0001, 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	392	0.15579924242388232	0.14946723193280087	0.15488936569108525	0.00019623160688570749	6.044118671999468e-06	0.0027952691585919494
0.008038043975830078	0.0006366570790608724	0.1927320901120103	0.1	True	0.0001	3111696	2	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0001, 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	332	0.19722079501369227	0.18876806870692253	0.19220740661541613	0.00023228928556591114	1.4458382718282705e-05	0.0034706978244524096
0.00838486353556315	0.0006740887959798177	0.20125054633946904	0.1	True	0.0001	3111696	3	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0001, 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	284	0.206962796842881	0.19673552796205163	0.2000533142134745	0.00014094905441780362	1.5448019428021507e-05	0.004260225405838698
0.009309530258178711	0.0006679693857828776	0.20174888020919746	0.1	True	0.0001	3111696	4	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0001, 'estimator__random_state': 3111696, 'preprocessing_1__k': 4}	248	0.20697230196792027	0.19822163921317193	0.20005269944650017	0.00030668618776427946	2.8366356368978416e-06	0.0037684034237895504
