mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__C	param_estimator__intercept_scaling	param_estimator__loss	param_preprocessing_2__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.013549532890319824	0.0038971351123537235	0.0009027910232543945	0.0002775903864943892	0.01	0.1	epsilon_insensitive	1	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 1}	-19.883006216762578	-20.006671524273525	-17.536316114060853	-17.340462467365807	-19.573773540722925	-18.35207533441973	-19.6391107283387	-21.3627672112443	-19.773056176909403	-19.44606605331237	-20.835171902008014	-17.86380279093069	-19.455348736471855	-19.367669406989616	-18.9241352575407	-24.491892556251116	-16.05089033290321	-21.76709030575004	-20.45678286460078	-17.068940845280675	-20.45321535456104	-19.23182396447011	-21.615222983593164	-21.563834675650696	-16.74323656013427	-20.874041954427458	-17.492895239869366	-18.263087001684212	-18.531743972132166	-21.117889846995226	-17.900340190687285	-17.758725171012248	-18.093330457571835	-20.35481416352306	-21.907942207343282	-20.531597541926928	-17.505955982797868	-15.297793376425115	-22.764446900945412	-21.430423099758077	-18.10100774109867	-18.0413006024519	-24.383877123395187	-18.99576900975494	-17.47287410811932	-17.666209122721746	-19.372636933937052	-17.335276891107338	-19.305946001440997	-22.411431508327915	-19.43419343041552	1.9776627734543524	885
0.07600944519042968	0.04193051032067916	0.0016460800170898437	0.0008144861785442265	0.01	0.1	epsilon_insensitive	2	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 2}	-19.7876025431469	-19.73566630957383	-17.26935567250207	-17.25550919821536	-19.314147956608046	-18.04889298575844	-19.53862579058977	-21.261496760463263	-19.6542404602224	-19.326888243765413	-20.519551006927507	-17.760937876120906	-19.364287750619386	-19.06203941747173	-18.833770541569073	-24.277167463756385	-15.802924286847517	-21.667871826481978	-20.332776240422763	-16.979184387767063	-20.149207214162466	-19.120907356649845	-21.487244978319097	-21.431436464725607	-16.66147711229657	-20.751909338980184	-17.230045825666586	-18.176221886994472	-18.26625118380164	-20.992235581265064	-17.61118789212036	-17.521943817277997	-18.014160812512326	-20.253720085761316	-21.743739473486336	-20.424589426633688	-17.417988778204688	-15.057892183497241	-22.65171793181848	-21.088265171855664	-18.0170228682629	-17.93733718119157	-24.271473746095	-18.69482692558821	-17.197622798020333	-17.430440478310103	-19.278217939790448	-17.0834135908903	-19.157502193630123	-22.304238669928704	-19.2642589824548	1.9916003550467407	884
0.07792228698730469	0.028312386144631232	0.0014277315139770508	0.00048401437097617014	0.01	0.1	epsilon_insensitive	3	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 3}	-17.470552018338445	-17.551873702671813	-15.446719225827131	-15.290981181367119	-17.147031694629455	-16.02066321287159	-17.418168351597963	-18.909300166183495	-17.25985575964493	-17.28492604049869	-19.973446806922787	-15.741160218421072	-17.336031299076186	-16.98109428678957	-16.509036473305596	-21.47526983022877	-13.939737297315832	-19.402585970445248	-18.29327878805804	-14.979252671526284	-18.03178144772956	-16.722680573858224	-19.151789049658078	-19.291347770062252	-14.706550719905062	-18.620862401711914	-15.5544818716652	-16.01349156713705	-16.13139122526992	-18.464423169903714	-15.635129542882108	-15.482099709686686	-15.977685710922657	-17.958256983274822	-19.50888922547476	-17.82118683193631	-15.452343298924802	-13.514433097427087	-20.13055827080412	-18.892210882075496	-15.996808347761593	-16.089219700154374	-21.49115366297253	-16.60078943060484	-15.223654854417692	-15.452357114841181	-17.1889567605693	-15.1440954671896	-16.735555486060683	-20.14088697053876	-17.15105500461704	1.8351651689366324	879
0.08243908405303955	0.036564565672195744	0.001343846321105957	0.0004024936221631952	0.01	0.1	epsilon_insensitive	4	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 4}	-17.466941829862055	-17.04837740815725	-15.491042510637172	-15.261775018470768	-17.16483609120458	-15.72900036814556	-17.034295591560873	-18.561706508474565	-17.302172524428578	-17.326309038085082	-18.37485244917066	-15.386420470553684	-17.425327734746514	-16.596352062512256	-16.524669792003767	-21.1993122718271	-13.901418017917013	-19.387679734415197	-18.276206402031058	-14.69545502774549	-17.949473207934602	-16.816817544692388	-18.72154086412397	-19.339190434242354	-14.421604225116187	-18.60924896693958	-15.554097454856837	-16.011307753224468	-15.759579952794198	-18.51269332552605	-15.296505623456827	-15.00307893853418	-16.03252148909201	-17.955399325207466	-19.532329263706394	-17.410085004062253	-15.488314435750599	-13.555292572753542	-20.115758850083964	-18.501917541307687	-15.98199716879768	-16.11919104615434	-20.973283714894112	-16.21828803952215	-15.186341660437066	-15.190260944162137	-17.222980524710543	-15.052313470482293	-16.810049236993283	-19.790680978239973	-16.98564127090375	1.778214176454802	878
0.09065518379211426	0.031101335405923723	0.0016656827926635742	0.001416232410578239	0.01	0.1	epsilon_insensitive	5	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 5}	-17.125682562507055	-17.098519921570325	-15.262572560694068	-15.292289998996225	-16.94678085581803	-15.800246311858928	-17.078025140619015	-18.623727492956736	-17.017504929873287	-17.363319351873685	-17.959711525183323	-15.413629345435666	-17.47293720417807	-16.607890504013895	-16.55968162030194	-21.311336964398638	-13.627138624484184	-19.11224634075007	-17.81400986395213	-14.747077545148688	-17.624354316045924	-16.528817646343946	-18.80830031522944	-19.375711311831505	-14.435405604402234	-18.251086953761373	-15.577524736705588	-15.756313206989734	-15.815566068285463	-18.192614760103982	-15.355213796433247	-15.046119560677617	-15.819241991643267	-17.989107073072336	-19.58228096030607	-17.432258561563167	-15.529012528371307	-13.288872446528005	-19.72642617035052	-18.565478257628232	-16.005704406256907	-15.887546648469726	-21.051165488831415	-16.300620078773424	-15.210758021017675	-15.242793510272978	-16.900528821773477	-14.75470291592397	-16.478469008177754	-19.88189712272348	-16.89287818814787	1.7801659477567555	877
0.08359998226165771	0.02537949735004033	0.0021660900115966796	0.002300164996778499	0.01	0.1	epsilon_insensitive	6	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 6}	-17.15292245139823	-17.110265589421	-15.277586491799468	-15.038496369071474	-16.96401305617594	-15.82797077311836	-17.107364555459466	-18.653390535095188	-17.02846052162754	-17.04838240753219	-17.984813115284663	-15.476395960661876	-17.332365649443222	-16.610131868573497	-16.245151252458548	-21.341453802735725	-13.646881129652261	-19.139747733797773	-17.853303685365	-14.767344496602266	-17.637770275971825	-16.56862233109353	-18.852737673735845	-19.092892289188104	-14.473892553917956	-18.290421525601413	-15.33211833265354	-15.773812619986494	-15.829028964708375	-18.22076784519463	-15.370503780620357	-15.054004170857358	-15.837375244075869	-17.664230828030274	-19.32596523904142	-17.460821980702917	-15.354509714530703	-13.310445966405755	-19.73994191955259	-18.600416384564564	-15.81124212605258	-15.917109128784531	-21.075521794386948	-16.320750521196977	-14.958928480761505	-15.255323038503668	-16.927361164626298	-14.770553880279373	-16.520643118760844	-19.905768165673305	-16.857118907930918	1.782215866136727	876
0.11083859443664551	0.039028649187743146	0.0024392509460449217	0.0028564868324531044	0.01	0.1	epsilon_insensitive	7	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 7}	-17.15212238301387	-16.28979584870706	-15.24850794693366	-14.388735119635742	-15.960413037965665	-15.836336703681237	-16.25526147115423	-17.958123237254963	-17.04400479466932	-17.11034393522269	-18.062826901051373	-15.471975907389332	-17.354376080584576	-15.534572322483022	-16.246158137220476	-20.49708916701003	-12.975574837281899	-19.185383074274323	-17.853258449855012	-14.750353142476701	-16.656252949229614	-16.547356688144685	-18.913836629123395	-19.132433471942296	-13.690048910843332	-17.4946896003082	-14.670824590064276	-15.846206150826532	-15.882731779624365	-18.218941828210887	-14.42764455220249	-14.464080132468796	-15.84558106749719	-17.720627772270408	-19.3325281881031	-17.40247611034514	-15.361362822949495	-13.300496774921871	-18.670365482481735	-17.600889400155825	-15.264871854507838	-15.289520487949524	-19.968059182878743	-15.456273306240721	-14.96469022609469	-15.258918882851344	-16.20156000411975	-14.721158916120576	-15.863440819061115	-19.108298155029363	-16.48892748691278	1.7417880536605983	874
0.11885890483856201	0.04179199762473934	0.0023475408554077147	0.0037806680506389245	0.01	0.1	epsilon_insensitive	8	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 8}	-16.40996137169503	-16.317943281083455	-14.610655493417108	-14.41095253813505	-15.95097729871761	-15.149139751474458	-16.24866660183555	-17.95917724989198	-16.044539435632036	-16.42366543546553	-16.984876695453927	-14.90464206114545	-16.67123031312079	-15.577800506101855	-15.697540462442763	-20.520778484827698	-12.957725773320051	-19.215156695659466	-17.088410842556055	-14.040574731525771	-16.66120896055008	-15.862943098505195	-17.96458194823538	-19.19849064074175	-13.635633570180072	-17.463806564318766	-14.645793549014051	-15.03557639134339	-15.083434990125948	-17.370058266941097	-14.39673919052651	-14.443597751949321	-15.040631236273864	-16.84612628284588	-18.69263424237094	-16.72524602230711	-12.138431290655396	-12.521258434404999	-18.69910246729708	-17.60452138786769	-15.344041814672057	-15.26056843311163	-19.983734106003524	-15.396517383429714	-14.97162087284447	-14.441343818857545	-16.207903531926494	-13.845818168162092	-15.780136023640186	-19.191703370666726	-16.0726502076043	1.8539900685673674	872
0.13387999534606934	0.03614280108038127	0.0022990798950195315	0.0027109396160278068	0.01	0.1	epsilon_insensitive	9	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 9}	-13.00573717765626	-13.529835058641964	-14.639256606018435	-14.450378972063683	-15.971901078617037	-12.36256387124028	-16.270246214875556	-13.903129516957753	-12.376737733275743	-16.453905152453665	-16.951850605966424	-11.565382615861912	-12.8084949904075	-12.822179804988656	-12.229286639428611	-15.87348204270064	-12.99608194968761	-18.33574119266288	-13.130166975080682	-11.031969241487422	-14.064542711251391	-15.90394073672098	-13.793736262211986	-18.649794195377527	-13.669979527382022	-17.51505221969178	-11.95424184505077	-15.046066604205663	-12.598175125966376	-17.368158261583172	-12.02421114643244	-14.466700582084199	-15.083575752661847	-13.054779300522469	-14.547282478964219	-13.164118069965559	-11.788113796765705	-12.541302498680716	-18.710414288102236	-17.628434309081605	-15.359328996022963	-15.302576841485152	-15.477078480605655	-13.086072292655453	-14.182064379604562	-11.80330379825446	-16.22498080394972	-13.854850828894012	-15.827075101699176	-14.956541572570028	-14.407022971901295	1.9694607074673014	861
0.13295100688934325	0.036589551823486416	0.0023555946350097656	0.0030647652198105384	0.01	0.1	epsilon_insensitive	10	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 10}	-12.965769609618654	-13.557043435240958	-11.988412819165058	-10.964917527993046	-13.432375390763635	-12.36821098934204	-12.81245368973293	-13.919493851879084	-12.371446541435121	-12.921676029725619	-14.342270963122047	-11.556624850247314	-12.82539051450805	-12.810605621644974	-12.23084358967731	-15.880922826507284	-10.825421394313627	-14.40494383709469	-13.141059902231397	-11.038446198908298	-14.05719278790521	-12.401091778505577	-13.796177982536703	-14.585188006581863	-10.325080667951413	-13.7397447886103	-11.96843850224645	-11.743768073232458	-12.600643136657697	-13.48319825776973	-12.051442826940185	-12.007002181845808	-11.776836730422032	-13.035380533013779	-14.553353557665837	-13.18675575177816	-11.81179274968521	-10.228961025050404	-14.835625737869798	-14.202386072816122	-11.922723065564949	-11.730408152628224	-15.503681040567496	-13.126730652714217	-11.667538831338684	-11.821597279939654	-12.688997116491567	-11.759822123641241	-12.098401552524797	-14.956410438094826	-12.80046577294171	1.283407993952774	848
