mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__C	param_estimator__intercept_scaling	param_estimator__loss	param_preprocessing_2__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.005760493278503418	0.0016084360835949187	0.000702061653137207	0.00022213830757449328	0.01	0.1	epsilon_insensitive	1	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 1}	-438.63137880543826	-300.6329321184042	-397.9874981209398	-294.1419813999365	-130.29794888545234	-227.47405081834287	-941.5162677286443	-118.56924350927055	-280.0646901437787	-271.099652937324	-186.8493809666123	-390.2799486336309	-225.2896131116679	-534.5952620203525	-201.72326340830676	-545.6387571464803	-171.01164109787484	-305.4039718980724	-180.36811130011662	-222.23616113239407	-212.7004754320694	-358.8249157207312	-187.06052032174046	-215.69196367769158	-476.5866418323257	-312.078726898273	-213.2881269878763	-263.9338021431806	-618.4400576873181	-139.08424899279424	-200.60322823104693	-158.8353147713356	-647.4895747141684	-228.81376080248793	-232.9545914745028	-312.02671416840417	-228.3573684797653	-358.6021031439007	-257.91578659387767	-364.7827025631771	-385.8807451633755	-108.55108317264316	-303.2110121832254	-312.7319316723806	-337.28964630502935	-300.151409886567	-293.6463789265398	-276.47673022668306	-185.6167581450775	-272.4394762064094	-302.55755103415277	150.33894123637725	900
0.007407798767089844	0.003005741763876802	0.0008723211288452149	0.00035627059646364817	0.01	0.1	epsilon_insensitive	2	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 2}	-438.61705765978405	-300.6274037170955	-397.98785654922943	-294.15445223196383	-130.25766901146756	-227.46860405742737	-941.5215305769826	-118.52758316176171	-280.0670507806604	-271.0894520646271	-186.848950329102	-390.30083799060964	-225.2804853614802	-534.5861447076355	-201.69926944331047	-545.6129270114641	-171.01009004542658	-305.3930651872685	-180.36207392594048	-222.23613822603517	-212.70281906264037	-358.83740444161117	-187.04541572678534	-215.68985687447773	-476.58786069906023	-312.03648514293377	-213.29179400717868	-263.9336698649938	-618.4254014274821	-139.05175127120745	-200.59840207767874	-158.83479587195959	-647.4841797344988	-228.8142946650293	-232.9594348795219	-312.0330335230686	-228.36000381907957	-358.60183107140926	-257.92054045455546	-364.7912505743524	-385.8807741744365	-108.55365532090586	-303.2106409323827	-312.73148568353764	-337.2884461213544	-300.1504630948955	-293.64580773365003	-276.4815148882106	-185.61490042861385	-272.4118539998507	-302.5523681921327	150.3410219610527	899
0.005671014785766601	0.0013915073094308943	0.000685420036315918	0.00020627207180685505	0.01	0.1	epsilon_insensitive	3	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 3}	-438.6114873927245	-300.62770802811997	-397.99083182143636	-294.1526150330703	-130.25690087525678	-227.46860405742737	-941.4655584059279	-118.52695499567677	-280.0601279851822	-271.0857303300633	-186.84926318557453	-390.30120820709203	-225.24619564118422	-534.5929222435853	-201.69837188730503	-545.6169370790815	-171.00957941928516	-305.35074409703526	-180.36241713443087	-222.22948438641754	-212.7004983554283	-358.73885080908826	-187.04484329615235	-215.60693629824493	-476.5855931389038	-312.0131285702705	-213.28999973781143	-263.9282954020934	-618.4177119456167	-139.04371668878522	-200.59173359971663	-158.83344500634436	-647.4180870874015	-228.77956922679013	-232.95665544558236	-312.0314355951225	-228.36014900958466	-358.6018167691955	-257.9159980444716	-364.7903270206715	-385.88091384190096	-108.55238567330714	-303.19671005737416	-312.7283916565602	-337.2906773111721	-300.1503063764515	-293.63339808323667	-276.4762945419814	-185.6136279443995	-272.4080671015887	-302.54166411682246	150.3346832532186	898
0.006019620895385742	0.0018634430059333586	0.0007411861419677735	0.00019490969834184415	0.01	0.1	epsilon_insensitive	4	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 4}	-438.5780657710358	-300.6327324561903	-397.9978955935038	-294.1492166410243	-130.25911264898969	-227.4644903267767	-941.4227226778017	-118.52892890618229	-280.0815957879904	-270.99619200515633	-186.82440844080816	-390.3005926541944	-225.24656611326301	-534.5909410329228	-201.70432239605543	-545.4023191020799	-171.0137626764291	-305.34281065991587	-180.35614348318865	-222.22486115259574	-212.6901058296309	-358.73712985082403	-187.04160057077044	-215.60609735739249	-476.5854967032416	-312.00953547368624	-213.28995879983864	-263.9324157585355	-618.4089191975277	-139.04465363628947	-200.5894091254739	-158.8350220535079	-647.3171531026713	-228.7772702561234	-232.96317940377602	-312.0353142461774	-228.35501115652403	-358.5324810358208	-257.9156200779909	-364.760614128823	-385.8066453748647	-108.53536292729437	-303.1926144050738	-312.72490641256695	-337.27938331849407	-300.01507004499416	-293.6292654458778	-276.4729415902767	-185.52539672587315	-272.4045003208475	-302.5226150971379	150.31953831904406	894
0.005006990432739258	0.0008535319458053511	0.0006175088882446289	0.00010940406413373124	0.01	0.1	epsilon_insensitive	5	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 5}	-438.57429472847747	-300.5992658343074	-397.98999375092893	-294.0094176733975	-130.2350451591304	-227.46048220845896	-941.4489435482924	-118.52973041741446	-280.08774887816196	-270.99651272442213	-186.81765019869013	-390.3003689393667	-225.25530699008792	-534.5388435751908	-201.70857352757196	-545.4213509014326	-170.98492431974535	-305.3399998221863	-180.33884153963731	-222.22790702518685	-212.69465476360693	-358.73587329284777	-187.04641894233723	-215.60576626172067	-476.5868189191812	-312.00421493871045	-213.22949217856106	-263.9326107166423	-618.2087161795656	-138.90892421185845	-200.5908582004204	-158.83573046947146	-647.3068219315919	-228.77636834070867	-232.97154039470473	-312.05863596509477	-228.241078079349	-358.4943323942649	-257.8221561718149	-364.7424022606296	-385.79027122834447	-108.51279292748869	-303.1897393555379	-312.6604675507691	-337.28124672274805	-300.01205339738084	-293.6210015630219	-276.3966507606742	-185.5254024084943	-272.38898812075894	-302.5007446082077	150.31853666551464	892
0.004797968864440918	0.00024361987478765685	0.0005853891372680664	3.4079456956367964e-05	0.01	0.1	epsilon_insensitive	6	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 6}	-438.5502466097547	-300.59415257255006	-397.98554056761316	-294.00671902871494	-130.2342728572685	-227.4464841857997	-941.1971695277126	-118.5284400275761	-280.00075912390406	-270.96020178638287	-186.81792241623373	-390.21355469297293	-225.1396323018509	-534.411535219237	-201.70673349895654	-545.2545917302905	-170.96134965390627	-305.3382364320801	-180.33553640157146	-222.22824387591274	-212.663854322967	-358.5675621101856	-187.01371632532246	-215.58213100489658	-476.5790873286367	-311.9997549968182	-213.20714486938058	-263.92035792388674	-617.9623556939656	-138.90853732521904	-200.59074295374649	-158.7846731369685	-647.1135971020607	-228.7404310950693	-232.907579818826	-312.01590462431744	-228.21533935133868	-358.48432602371537	-257.7662916339843	-364.67958728826034	-385.7976565450705	-108.50192297193277	-303.06615211985667	-312.59533997830334	-337.2800617359351	-300.00617365038505	-293.552059560588	-276.33622584784536	-185.51898636516327	-272.3727524679928	-302.45283257365855	150.2719869565329	885
0.005187764167785645	0.0012243688112520109	0.0006367158889770508	0.00015034652981255647	0.01	0.1	epsilon_insensitive	7	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 7}	-438.55163060902123	-300.5315143513192	-397.98378937770514	-293.8589220060173	-130.23112355895236	-227.35656935944797	-941.1881661116867	-118.51872156246638	-280.00233270873406	-270.91887723972957	-186.81736179492884	-390.23949920837185	-225.12686015415835	-534.4180504383601	-201.7062260800556	-545.257469753408	-170.9627986596388	-305.3309476798126	-180.31915458515755	-222.14323780520579	-212.65993101819322	-358.5135559453771	-187.0094482787799	-215.58056002804716	-476.6104491261638	-312.00005509393714	-213.14809705033534	-263.9256656802796	-617.9493522329465	-138.9082720804772	-200.55568217089765	-158.75906814138438	-647.0234713301481	-228.7364676202877	-232.9030692191436	-312.01987203619126	-228.2151473013615	-358.4459172072268	-257.7307675569084	-364.67983266015426	-385.7954029537813	-108.50190199728145	-303.0561097028478	-312.5957381741129	-337.2883394092156	-300.00657322734287	-293.5486202833363	-276.3365142904123	-185.508316587754	-272.3711734517121	-302.4369324980043	150.27229787419245	883
0.004916124343872071	0.0008496175913128266	0.0005929899215698242	9.40323926613629e-05	0.01	0.1	epsilon_insensitive	8	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 8}	-438.5651309645974	-300.526753120517	-397.9450613966716	-293.8636945878323	-130.2294464600029	-227.3542154868691	-941.1884991089602	-118.51623647013591	-280.02007425508464	-270.9171110373945	-186.8108452561785	-390.2443616669536	-225.10819792590755	-534.4337928397354	-201.65382670940403	-545.2608167716882	-170.9640578045483	-305.33863681496683	-180.31690080613305	-222.14539221959282	-212.7007117436621	-358.51361302395816	-187.01638485619713	-215.57077569131954	-476.6028476350469	-311.9656178191881	-213.14730230714656	-263.923717189173	-617.9439791136415	-138.9049392812016	-200.54626202686768	-158.75754928634908	-647.0178770746229	-228.74480737550184	-232.88982371440304	-312.0193320541968	-228.20737938535385	-358.4373557048658	-257.73484324172665	-364.67481442918313	-385.79789242587503	-108.49980590958104	-303.0494255461124	-312.59389027394826	-337.2632353737069	-300.00039096500774	-293.5476332397926	-276.3227225707187	-185.4862685509212	-272.38159590516335	-302.43331690835214	150.2731603761326	881
0.004670238494873047	0.0001638677032236708	0.0005716466903686523	1.7587316846015194e-05	0.01	0.1	epsilon_insensitive	9	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 9}	-438.56625902458643	-300.52123931236014	-397.94202684938284	-293.8003799601226	-130.22205156746847	-227.3552607958968	-941.1917068171614	-118.5104141894737	-280.01726224234596	-270.91455046028995	-186.80977314038242	-390.19877142216495	-225.1031551814507	-534.4231359116704	-201.65016216383162	-545.262739632448	-170.95995158814162	-305.3256603931665	-180.3151670787606	-221.96987838388216	-212.69798803761887	-358.519181281448	-187.01310386009305	-215.5685424363177	-476.5652339907441	-311.9242015616159	-213.1324324271158	-263.92930754514424	-617.8415468686601	-138.8968448289327	-200.54389596096178	-158.7542441893505	-647.0216213176147	-228.74787609697086	-232.8855433271146	-312.02718866124474	-228.20434976386608	-358.42520365021824	-257.7404680938083	-364.6732903831958	-385.80076306366175	-108.48489240581394	-303.0286528145483	-312.5877646007516	-337.2651783023956	-299.9753556710906	-293.5505832640148	-276.32418084364014	-185.4844143298217	-272.3782307461102	-302.42103252877746	150.27098681051146	879
0.0046441411972045895	0.00016551533887163236	0.0005705976486206055	1.959352894593997e-05	0.01	0.1	epsilon_insensitive	10	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'epsilon_insensitive', 'preprocessing_2__k': 10}	-438.5519281537921	-300.51624765365074	-397.94496649156525	-293.6602241258855	-130.22063978450768	-227.35817301836414	-941.2044352882561	-118.50953821970698	-280.01812915331124	-270.89477161965937	-186.81829554640427	-390.2119267558049	-225.05188097072278	-534.41873696984	-201.636571787699	-545.2560057590414	-170.96349268754273	-305.2979183976328	-180.292306506594	-221.95146702909327	-212.69436235195522	-358.4721385682742	-187.0088393145673	-215.55370379400483	-476.51473892925287	-311.9286499086559	-213.13580649938115	-263.92275061238723	-617.7483778599629	-138.89423293133092	-200.5336704514902	-158.6652930611238	-647.0164131311545	-228.75291425655664	-232.85641485082664	-311.68912795394596	-228.19403983594066	-358.25636206969637	-257.7440256990101	-364.6572249002018	-385.804123176835	-108.48230272012613	-303.02424453656744	-312.5765809435833	-337.2664402556153	-299.9729453816284	-293.54732996835565	-276.3201602949165	-185.47955659051934	-272.3869580784753	-302.39754769690836	150.2681344919231	873
