mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__criterion	param_estimator__max_features	param_estimator__min_weight_fraction_leaf	param_estimator__n_estimators	param_estimator__random_state	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.07206640243530274	0.012474676002342764	0.006911325454711914	0.001825782183395555	mse		0.0	50	3111696	1	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	-0.02196277791553025	-0.7311339417374103	-0.22263734392959833	0.33346897474847526	0.18224559614187563	-0.09587525175324077	0.3718443860855846	1091
0.05364861488342285	0.012267253722636795	0.005705118179321289	0.001579396991374976	mse		0.0	50	3111696	2	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	-0.1874852533680471	-0.7533462779626354	-0.036316176329233674	0.2838329652512178	0.1308105796145954	-0.11737042348543994	0.35881651989396246	1121
0.0696995735168457	0.012504199988315041	0.007088708877563477	0.0018857028471906746	mse		0.0	50	3111696	3	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	-0.10338830068600702	0.19214417103707682	-0.06110268417991915	0.39676984439867946	-0.14906041998227004	0.05492701753326743	0.20706479432247446	505
0.0793088436126709	0.014548004411012418	0.006810045242309571	0.0015597996629538665	mse		0.0	50	3111696	4	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696, 'preprocessing_1__k': 4}	-0.23045279878502334	0.26663244281951926	-0.05547829034319984	0.3832737149815304	-0.058191165054824134	0.060570835707187506	0.22788952024346873	459
0.08779363632202149	0.0164571234758854	0.006991100311279297	0.0019469423933374198	mse		0.0	50	3111696	5	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696, 'preprocessing_1__k': 5}	0.08671211257128686	0.17463184488353944	-0.08206571434750631	0.400363655486908	-0.028159745447488227	0.11057364897081823	0.16923001779525412	391
0.07277612686157227	0.01384126477270146	0.008211612701416016	0.0021668307205079547	mse		0.0	50	3111696	6	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696, 'preprocessing_1__k': 6}	0.16182034465658313	0.15478129236330762	-0.10305004109174254	0.387113667255075	-0.005084941761633877	0.11964919019214955	0.16607541237931242	355
0.0005959033966064453	0.000125561518886315	0.0	0.0	mse		0.0	50	3111696	7	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696, 'preprocessing_1__k': 7}								1857
0.0005311012268066406	5.914695491251051e-05	0.0	0.0	mse		0.0	50	3111696	8	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696, 'preprocessing_1__k': 8}								1856
0.0007592201232910156	0.00029103558195843373	0.0	0.0	mse		0.0	50	3111696	9	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696, 'preprocessing_1__k': 9}								1855
0.0008306026458740235	0.0003018916038636565	0.0	0.0	mse		0.0	50	3111696	10	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696, 'preprocessing_1__k': 10}								1854
