mean_fit_time	mean_score_time	mean_test_score	param_estimator__epsilon	param_estimator__fit_intercept	param_preprocessing_1__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.027858654657999676	0.0005497137705485026	0.4994025307659658	1.0	True	1	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	70	0.7745149894882755	0.723692602809622	0.0	0.008560002747690794	0.00039249589742250797	0.35373991815882394
0.0215609073638916	0.00046332677205403644	0.8168510751498514	1.0	True	2	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	54	0.8479992534390477	0.9248306241418303	0.6777233478686763	0.002922777085582334	2.541467002697325e-05	0.10325747190021611
0.021997690200805664	0.0004876454671223958	0.8297421224716491	1.0	True	3	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	32	0.84219767276339	0.9325553142438295	0.7144733804077279	0.0046622024023398375	3.885044382083178e-05	0.08946615008380178
0.033832947413126625	0.0005171298980712891	0.8254336068806588	1.0	True	4	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	39	0.8368170992148658	0.9308323518381458	0.708651369588965	0.0038989983570388354	2.7092436581882534e-05	0.09106146327836276
0.03087155024210612	0.00086212158203125	0.8183413602913953	1.0	True	5	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 5}	52	0.8320181782760478	0.9266399858778744	0.6963659167202634	0.017348189331780617	0.0005839292040652836	0.09450512594295278
0.0002636909484863281	0.0	0.0	1.0	True	6	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 6}	71	0.0	0.0	0.0	8.094536067016115e-06	0.0	0.0
0.00026496251424153644	0.0	0.0	1.0	True	7	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 7}	71	0.0	0.0	0.0	4.270880649103929e-06	0.0	0.0
0.000272830327351888	0.0	0.0	1.0	True	8	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 8}	71	0.0	0.0	0.0	8.264413211412853e-06	0.0	0.0
0.0002581278483072917	0.0	0.0	1.0	True	9	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 9}	71	0.0	0.0	0.0	1.7226005872641394e-05	0.0	0.0
0.00025161107381184894	0.0	0.0	1.0	True	10	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 10}	71	0.0	0.0	0.0	1.1098350000605585e-05	0.0	0.0
0.011419375737508139	0.00037407875061035156	0.5973501188269658	1.0	False	1	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 1}	65	0.7810670359287115	0.7405438037322423	0.2704395168199434	0.0026866734143869086	1.5678929771087942e-05	0.23175193543292155
0.019784847895304363	0.00046173731486002606	0.8154090878169834	1.0	False	2	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 2}	56	0.8471435181508886	0.9248265587317751	0.6742571865682867	0.003944883552184294	3.6379650979644707e-05	0.10472681324304137
0.021564006805419922	0.0006068547566731771	0.8242745349960523	1.0	False	3	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 3}	42	0.842629491492626	0.9352085041325936	0.6949856093629374	0.0022600364267744083	0.0001694179823992191	0.09892568966610463
0.03813846906026205	0.0007468859354654948	0.8210421084670597	1.0	False	4	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 4}	47	0.8405151485220688	0.9306502566747947	0.6919609202043155	0.011029270510478426	3.135443530447081e-05	0.09841256458710747
0.03112483024597168	0.00051116943359375	0.8238389444175982	1.0	False	5	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 5}	43	0.8355083416258379	0.9306677715641319	0.7053407200628252	0.014580195034809782	0.00014787808662895547	0.09235872511741336
0.00025002161661783856	0.0	0.0	1.0	False	6	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 6}	71	0.0	0.0	0.0	1.6937603698725186e-05	0.0	0.0
0.00026790301005045575	0.0	0.0	1.0	False	7	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 7}	71	0.0	0.0	0.0	1.6662409477234805e-05	0.0	0.0
0.00024811426798502606	0.0	0.0	1.0	False	8	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 8}	71	0.0	0.0	0.0	9.164568147739332e-06	0.0	0.0
0.0002452532450358073	0.0	0.0	1.0	False	9	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 9}	71	0.0	0.0	0.0	5.8573168985647456e-06	0.0	0.0
0.00025232632954915363	0.0	0.0	1.0	False	10	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 10}	71	0.0	0.0	0.0	1.4651053937832222e-05	0.0	0.0
0.003778855005900065	0.0003867944081624349	0.613764081837504	1.2	True	1	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	57	0.7735167214798612	0.7248987654489611	0.3428767585836897	0.00042202025139786314	1.3443839043801944e-05	0.19257186162896522
0.004544178644816081	0.00036835670471191406	0.8187247586191391	1.2	True	2	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	51	0.8520042994369204	0.9174979384336925	0.6866720379868045	0.00012567084289715857	8.094536067016115e-06	0.09712807680947508
0.005315224329630534	0.0003524621327718099	0.8307946844053985	1.2	True	3	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	30	0.8471103049694902	0.9330588661128822	0.7122148821338229	0.0002413482541122761	3.440357974674442e-06	0.09089431929711676
0.006520430246988933	0.0003662904103597005	0.8265492168821997	1.2	True	4	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	38	0.8408790692190055	0.9340114449855785	0.7047571364420151	0.0006409552994182489	4.599824310457796e-06	0.0941395878379294
0.007371425628662109	0.00036867459615071613	0.8270775213654895	1.2	True	5	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 5}	37	0.8419654089359836	0.932762978285252	0.706504176875233	0.000945288405494071	1.4337309178208431e-05	0.09296772988913359
0.00024509429931640625	0.0	0.0	1.2	True	6	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 6}	71	0.0	0.0	0.0	2.2450203723630166e-06	0.0	0.0
0.00023778279622395834	0.0	0.0	1.2	True	7	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 7}	71	0.0	0.0	0.0	7.552849051486156e-06	0.0	0.0
0.00023897488911946615	0.0	0.0	1.2	True	8	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 8}	71	0.0	0.0	0.0	5.374857082020733e-06	0.0	0.0
0.00024175643920898438	0.0	0.0	1.2	True	9	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 9}	71	0.0	0.0	0.0	7.97188448777222e-06	0.0	0.0
0.00023372968037923178	0.0	0.0	1.2	True	10	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 10}	71	0.0	0.0	0.0	5.077563236542793e-06	0.0	0.0
