mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__alpha	param_estimator__fit_intercept	param_estimator__l1_ratio	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.009924988746643066	0.004109165885224601	0.0007281923294067383	0.0001434421108945269	0.1	True	0.0	1	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 1}	0.32449029111454053	0.31926388523962945	0.3142819882328213	0.27792999482318326	0.3536768538017646	0.31117788108953504	0.32837834941951705	0.32486205002066704	0.3217488212947205	0.30272363697159255	0.3053653668827986	0.3482343812634835	0.3125980546895645	0.3380365833231638	0.2750028454192298	0.32377975854054675	0.3534337311401271	0.3000504618856449	0.29531542430527313	0.31621166920317256	0.28694905635243606	0.2827625010238951	0.3361249836444262	0.33850434754303027	0.34209308008621775	0.2955266605612238	0.321916567449388	0.34419559608987327	0.3325802815947376	0.29341559288654917	0.31890395733137944	0.2973762936053236	0.3603684331386443	0.3022659868385671	0.30410507585672863	0.2778422517712531	0.2937830374534036	0.3718477331525275	0.30689785705080463	0.3187516533378669	0.29048896715662387	0.29697300241734526	0.3600525953973648	0.3201959253943589	0.30914006809527117	0.33692352947900095	0.31290408230555133	0.35752558539886303	0.28547591265312977	0.2867553825274446	0.31658704140391714	0.024183912376603073	196
0.016246681213378907	0.007670633646255153	0.0007682371139526367	0.00027357229205926753	0.1	True	0.0	2	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 2}	0.482539421808574	0.4919074818613416	0.4640385138120833	0.45813850450592997	0.5199486958819897	0.4651235468605295	0.46252842461737576	0.4965491170538242	0.5146595175709942	0.4726186547204154	0.46416486568304693	0.5234652081113709	0.48124050018929254	0.4967634406013368	0.4411661692153924	0.4693483799814647	0.5300330837824335	0.47685538807608874	0.45879697138676845	0.47867746661497024	0.4687181521135996	0.47536803803951466	0.4877181944225554	0.4933985576561827	0.4897468238465459	0.4613639165102422	0.4805482215985465	0.528195172706524	0.49481672111923014	0.4471329888373561	0.4862874668326389	0.4647804069282805	0.5102688372511281	0.4512274152714547	0.5001584011531359	0.44101289026722124	0.47489086495577437	0.5250820935933753	0.4739514879712524	0.48648815294059344	0.465856490073275	0.4589479074793231	0.5116239273057477	0.49953588754502054	0.4735970618748434	0.5181913181197306	0.447738442921051	0.5129218466232481	0.46969883032476667	0.4597457630552043	0.48215314368180345	0.023668353552758866	127
0.022247247695922852	0.008793734450898136	0.0007924652099609375	0.00023362151942952754	0.1	True	0.0	3	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 3}	0.7860284836646314	0.7964594435688201	0.7781297780409046	0.7734866625957024	0.807809372973779	0.7855227772947244	0.7772186233747244	0.8010577316759426	0.799935083285172	0.7773761439452394	0.7663469932217196	0.8128725067367084	0.7953995544583219	0.789961375155835	0.7731874442558864	0.7928888171838382	0.8000734697388432	0.7827019840789857	0.7817973485938503	0.7853462289866748	0.7813304046168636	0.7851002897882533	0.7979182703830645	0.7910708370411945	0.7876814074656047	0.8013511246354319	0.7999773961509753	0.7692009787754631	0.7903791130227605	0.7825950533981066	0.7871361760648978	0.7863738550050468	0.7931555966772819	0.7919075846743096	0.78416093230514	0.7825316980827153	0.7803245926633482	0.7936975512353786	0.7909462140538461	0.7916158343618283	0.7772286839405933	0.7973824578885186	0.8111631515809723	0.7836437859983054	0.7694309492559264	0.7907464225929216	0.7845928749323282	0.8040481536668089	0.7767030714275829	0.7850881733214241	0.7882429669937245	0.01050857360171084	26
0.02825578212738037	0.011838120024473667	0.0007834005355834961	0.00018081731490574425	0.1	True	0.0	4	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 4}	0.7911852002371975	0.8002585264158758	0.7842123784732393	0.7777623206609097	0.8117172891485791	0.7896195104165497	0.7811743420344622	0.8055909670756554	0.8046177224718113	0.7833095387182261	0.7715024450821212	0.8161512868544974	0.8019581415097716	0.7938422676525893	0.7777831888078675	0.8006326809777028	0.806132794300409	0.7839909566267491	0.7861526231501682	0.78801390875671	0.7848636716286191	0.7923971644324503	0.8038381525431395	0.7933032433681276	0.7917352135573121	0.80466935609339	0.8060405346698336	0.776595965974791	0.7918506801510348	0.7868258485537749	0.7937387283928654	0.7901721335232528	0.7974129093280854	0.7956514606327914	0.7886121821917387	0.7885860725181801	0.7833152679671267	0.7932329292876238	0.7961821907696185	0.7998296483904546	0.7838330685801618	0.8006894384246082	0.8180908568101979	0.7873002878162696	0.7712869225246639	0.7940359427150039	0.7896894404572895	0.8059704018058658	0.7816076138916912	0.7932887237049604	0.7928065232584098	0.01054413713613094	6
0.0007204866409301758	0.00022414758813065356	0.0	0.0	0.1	True	0.0	5	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 5}																																																					457
0.0006195735931396484	0.00017916508489691142	0.0	0.0	0.1	True	0.0	6	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 6}																																																					456
0.0006624555587768555	0.0001632465379486681	0.0	0.0	0.1	True	0.0	7	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 7}																																																					455
0.000594477653503418	0.00010333421084321224	0.0	0.0	0.1	True	0.0	8	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 8}																																																					454
0.0005893993377685547	7.369088466134359e-05	0.0	0.0	0.1	True	0.0	9	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 9}																																																					453
0.0006103086471557618	9.736944353874615e-05	0.0	0.0	0.1	True	0.0	10	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 10}																																																					452
