mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__loss	param_estimator__max_features	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.022250404357910158	0.004059850890790484	0.00087432861328125	0.0002448683422598562	ls		1	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 1}	0.7466004848436374	0.811457447918655	0.06578944790093866	0.16338676180941147	0.4722163697668752	0.5133444685960027	0.6357809259090651	0.5464658676956003	-0.1784549430879383	0.6209206655013515	0.5963077539775419	0.2804133092089034	-0.7290135112702405	0.37869578927927605	0.5913867884540916	0.6582376377897092	0.6021224523224202	0.6593038260693209	0.30753170642547656	0.16255191406358294	0.6218820106989933	0.4532488153135449	0.7477972773673163	0.5032392298017296	0.5185852792588741	0.7325106183071871	0.4847039376804362	0.43122035453351815	0.5891977312588583	-0.04255705973256241	0.5303372107835027	0.3263057829655869	0.727314566142965	-1.4463543554564842	0.7733593162291992	0.5908604563915655	0.20418252255631875	0.6613311637582757	-0.005923597532078162	0.10137012422105618	0.33052651405709366	-0.1783098270722896	0.6592622305512339	-0.35984924335637847	0.8213757007432136	0.2240671471526673	0.6733946994163307	0.5652808803126348	0.6107071835236297	0.41130021942393935	0.3874847978722163	0.40707395497989957	13
0.021397533416748046	0.0038968573251518487	0.000736842155456543	0.00011064130797354462	ls		2	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 2}	0.4402991785253447	0.7273088718161667	-0.02410312378476598	0.43557497283066304	0.5344335995927038	0.6018583786655634	0.6414737939334609	-0.20083764237499135	-0.48320299269195255	0.17149247224234576	0.21534731217690317	0.6528622613650579	-1.0409203549133066	0.3666737511707382	0.679593835108812	0.6816287096523655	0.3437394937769771	0.4093845126357605	0.6487430788083322	0.03534215574656474	0.5059929430805447	0.49492369490719357	0.6655500586195635	0.13465795079637177	0.5549400896720301	0.6297234441206849	0.3825727645839463	0.04245047578981875	0.561485657778849	0.38637550516835706	0.6239767256543397	0.16941193490988504	0.13000329872985572	-1.7814062380953253	0.7349702003250863	0.5947927942863047	0.2641831987370512	0.5468565634784468	0.5335893573056691	0.43087244847617945	0.7469312069678024	-0.22354807931040943	0.7211479801853595	-1.1077219875257742	0.6589771831968818	-0.0869374926060289	0.47220156965033544	0.506250499662277	0.6140511531261152	0.5101650451347562	0.31042320156881265	0.4932537690639609	24
0.0004419755935668945	0.00010372754003707889	0.0	0.0	ls		3	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 3}																																																					109
0.00044916629791259767	6.2962287084421e-05	0.0	0.0	ls		4	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 4}																																																					110
0.0004339742660522461	6.269712899051427e-05	0.0	0.0	ls		5	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 5}																																																					111
0.0004137325286865234	5.8535144381823034e-05	0.0	0.0	ls		6	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 6}																																																					112
0.0004184055328369141	6.0813599286497247e-05	0.0	0.0	ls		7	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 7}																																																					113
0.0004395771026611328	6.753271869397887e-05	0.0	0.0	ls		8	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 8}																																																					114
0.00041490554809570313	9.277571921224907e-05	0.0	0.0	ls		9	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 9}																																																					116
0.0003968334197998047	9.903267411314497e-05	0.0	0.0	ls		10	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 10}																																																					123
0.01945972442626953	0.002650380044396747	0.0007013893127441407	0.00010196248502520378	ls	auto	1	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'preprocessing_1__k': 1}	0.7466004848436374	0.811457447918655	0.06578944790093866	0.16338676180941147	0.4722163697668752	0.5133444685960027	0.6357809259090651	0.5464658676956003	-0.1784549430879383	0.6209206655013515	0.5963077539775419	0.2804133092089034	-0.7290135112702405	0.37869578927927605	0.5913867884540916	0.6582376377897092	0.6021224523224202	0.6593038260693209	0.30753170642547656	0.16255191406358294	0.6218820106989933	0.4532488153135449	0.7477972773673163	0.5032392298017296	0.5185852792588741	0.7325106183071871	0.4847039376804362	0.43122035453351815	0.5891977312588583	-0.04255705973256241	0.5303372107835027	0.3263057829655869	0.727314566142965	-1.4463543554564842	0.7733593162291992	0.5908604563915655	0.20418252255631875	0.6613311637582757	-0.005923597532078162	0.10137012422105618	0.33052651405709366	-0.1783098270722896	0.6592622305512339	-0.35984924335637847	0.8213757007432136	0.2240671471526673	0.6733946994163307	0.5652808803126348	0.6107071835236297	0.41130021942393935	0.3874847978722163	0.40707395497989957	13
0.01865694046020508	0.0021776801939461265	0.0006646347045898437	0.00013390750100932076	ls	auto	2	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'preprocessing_1__k': 2}	0.4402991785253447	0.7255722653259736	-0.020615264352275897	0.4248678909421826	0.5344335995927038	0.6034547989163876	0.6230509663087235	-0.20466631297079663	-0.48320299269195255	0.17229236581663188	0.21534731217690317	0.6439165655380423	-0.946036067729902	0.3666737511707382	0.679593835108812	0.6834116693334837	0.3437394937769771	0.4072458218448257	0.6389109683952565	0.061631076624874326	0.4964650672030575	0.5122682708632911	0.6668017677921771	0.13159201679799815	0.5558693433625493	0.6297234441206849	0.38521930519422853	0.04308030426676768	0.5615081590504318	0.38456024029691294	0.625226160091368	0.14924396615347324	0.12161263942515521	-1.8110235355462225	0.7349702003250863	0.5954081086599716	0.26633385459274483	0.5470061044945863	0.5332141366048724	0.43087244847617945	0.7621716734848454	-0.2235191044199729	0.7279416398842984	-1.1077219875257742	0.6566332928415989	-0.0909636449161777	0.47220156965033544	0.4887193046367162	0.6166426066406856	0.51015840704621	0.31092295717805735	0.4907207789284579	23
0.0003642606735229492	6.820454573122114e-05	0.0	0.0	ls	auto	3	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'preprocessing_1__k': 3}																																																					117
0.00040104389190673826	6.21801550740678e-05	0.0	0.0	ls	auto	4	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'preprocessing_1__k': 4}																																																					118
0.0005481958389282227	0.00012779354381367325	0.0	0.0	ls	auto	5	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'preprocessing_1__k': 5}																																																					119
0.0006093549728393555	8.40433531918852e-05	0.0	0.0	ls	auto	6	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'preprocessing_1__k': 6}																																																					120
0.000541234016418457	8.805472102582448e-05	0.0	0.0	ls	auto	7	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'preprocessing_1__k': 7}																																																					121
0.0005350065231323242	9.224302967070675e-05	0.0	0.0	ls	auto	8	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'preprocessing_1__k': 8}																																																					122
0.0004847574234008789	8.379824334163165e-05	0.0	0.0	ls	auto	9	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'preprocessing_1__k': 9}																																																					108
0.00047992706298828126	5.131268476855081e-05	0.0	0.0	ls	auto	10	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'preprocessing_1__k': 10}																																																					115
0.021397428512573244	0.0012984856340037011	0.000747222900390625	5.173381761481895e-05	ls	log2	1	{'estimator__loss': 'ls', 'estimator__max_features': 'log2', 'preprocessing_1__k': 1}	0.7466004848436374	0.811457447918655	0.06578944790093866	0.16338676180941147	0.4722163697668752	0.5133444685960027	0.6357809259090651	0.5464658676956003	-0.1784549430879383	0.6209206655013515	0.5963077539775419	0.2804133092089034	-0.7290135112702405	0.37869578927927605	0.5913867884540916	0.6582376377897092	0.6021224523224202	0.6593038260693209	0.30753170642547656	0.16255191406358294	0.6218820106989933	0.4532488153135449	0.7477972773673163	0.5032392298017296	0.5185852792588741	0.7325106183071871	0.4847039376804362	0.43122035453351815	0.5891977312588583	-0.04255705973256241	0.5303372107835027	0.3263057829655869	0.727314566142965	-1.4463543554564842	0.7733593162291992	0.5908604563915655	0.20418252255631875	0.6613311637582757	-0.005923597532078162	0.10137012422105618	0.33052651405709366	-0.1783098270722896	0.6592622305512339	-0.35984924335637847	0.8213757007432136	0.2240671471526673	0.6733946994163307	0.5652808803126348	0.6107071835236297	0.41130021942393935	0.3874847978722163	0.40707395497989957	13
