mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__loss	param_estimator__max_features	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.02190434455871582	0.006808567168049954	0.0007848548889160156	0.00023083674929843696	ls		1	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 1}	0.13548087432825007	-0.5665787137373242	-0.23490440926783518	0.4033199370234377	0.2017155719221877	0.35330975270041187	0.05263294111040728	0.19413490064238026	0.32857019499486995	0.08364037773714172	0.05592713108886038	0.08233773171890613	0.44549524033180365	0.07120055615403231	-0.2881631176713657	-0.1269435934290628	0.1173798200823799	-0.023958782172176507	0.28810166890215694	0.29357892542721753	0.10830905028423032	0.6554665987974331	-0.09368621424015311	-0.39329046852345506	0.37900789088363385	-0.05271738187765029	0.20925468846736606	0.15292631693490644	0.5022937665854734	-0.024137708050338214	0.3236031272485921	-0.059580701690113314	0.42607479675914417	0.3543376440180408	-0.2162147790969009	0.06652328509694438	-0.36118176544950553	-0.228242284888865	0.36956587199171487	0.11400134798684036	0.24346744797708086	0.21314827965734706	-0.11586429056854786	-0.10777749955035598	-0.04939182991259483	-0.5267985438426666	0.3408749149886585	0.34579048240983334	0.2923169142899841	-0.2832105857038447	0.08867151763994488	0.27078126183184154	57
0.023055386543273926	0.006278121236210649	0.0007861566543579102	0.00020936736932667804	ls		2	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 2}	0.08966989052834651	-0.5841298539086237	-0.1434662922624106	0.3938543789678909	0.18951469665122622	0.3382374776135487	-0.19501308698250908	0.20894236427923552	0.31079487271853246	0.09380905824750074	0.05962826271020072	0.055646637425375234	0.4217100920132907	0.03179380196221204	-0.43098565191826865	-0.20378307907060744	0.08948344581551537	-0.03641215888576932	0.26985300154976843	0.2929335760495533	0.06417323404423592	0.6378169540875966	-0.11944490373331451	-0.39448885118023824	0.37698115489563844	-0.1565904824448543	0.2187033118793701	0.1316887654637915	0.5069773565986552	-0.032937834182663384	0.17958320768126612	-0.04905689253893808	0.3830613918818738	0.3303748404520451	-0.21474984558089005	0.04034363878771419	-0.3425670126634839	-0.2967598837149623	0.29100507788956265	0.11261354390002998	0.18013599053912543	0.1953649525630058	-0.13783776868344888	-0.13499586268235264	-0.04408031989249017	-0.517711754920841	0.31378417381943435	0.3448487271688351	0.23760460563040664	-0.3048579798308233	0.06047247966554177	0.2727303316711121	71
0.020216612815856932	0.003098730771252345	0.0006897878646850586	0.00011054749081789549	ls		3	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 3}	0.13148893463056743	0.08080478649457112	-0.11705779668618521	0.4035322202478697	-0.00444684788484806	0.35662001269404153	-0.22400681679453038	0.20375866692766686	0.3008256250290495	0.08917206007381251	0.06832954984177175	0.19823695111464623	0.4297319939525972	0.13357464826340248	-0.7142242748739316	-0.13805526675327862	0.2252102345250966	-0.07181258971480942	0.3146626216473367	0.20273902494440932	0.027703262894292147	0.4934421450951535	0.038751873637005496	-0.3623223046326549	0.37463500570228603	-0.06503434611966918	0.2171050485866871	0.29431586988602776	0.3745134098706251	-0.02065613756214435	0.1829579347330773	0.04999625961311982	0.4279953851908441	0.298081502386371	0.11725598426629025	0.021565918615071178	-0.27603515689237645	-0.4767694425565896	0.3630760773548598	0.15786543279826337	0.10678381167145545	0.25053107650370077	-0.016834041360032526	-0.04775691331696352	-0.14102557258786463	-0.5718415466296525	0.38654495353888474	0.3417478665235226	0.27877753484048007	-0.1583066029696818	0.09052424525400837	0.2623567816541917	55
0.02030607223510742	0.001318054736405674	0.0007079839706420898	0.00010615675252220756	ls		4	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 4}	0.0490745496854017	-0.03555935626073392	-0.25499266827557143	0.4270712883667601	0.1416776976458154	0.32895796459452276	-0.23691334219584292	0.1754423770586251	0.24919924604371535	0.15042809106728794	0.12959184334742424	0.16304334215864413	0.44699000073647754	0.17447295911614424	-0.10627785273201296	-0.042577237839998894	0.2363134915115468	-0.5533491875723757	0.13106646314531345	0.2204390704480077	0.01716406442268359	0.4564939972255322	-0.0003546094831594626	-0.5224005845149868	0.2709350517117858	-0.18907305174285804	0.06355111114038647	0.31113971330004797	0.2799284871103611	-0.034148925188905555	0.13361754686379657	-0.3077536554479312	0.32134129712923165	0.2214851396565347	0.07252962150639575	-0.12162674338804358	-0.2455825310170674	-0.3837373867360008	0.37523539255587846	0.10172993821396303	0.18260504487823126	0.2992375241562305	-0.015966044607962138	0.02310396580049645	0.00308106039688405	-0.4903719463458007	0.34165771463081573	0.3385659648997089	0.31084039318278633	-0.14633529696728398	0.06877591097871638	0.2510570998364583	65
0.020524892807006836	0.000832057659842787	0.0006558418273925782	3.26967069006346e-05	ls		5	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 5}	0.09433194465417427	0.06352232281166825	-0.3148741545578644	0.40627086934828616	0.14773841169576207	0.29453720609862233	-0.26482701294827016	0.40826401896586206	0.2853802943171444	-0.005272380750879435	0.17266147442028268	0.12057771334197798	0.4541646290568019	-0.08288899624318535	-0.17948736398329412	-0.07696423211008296	0.21842040033078047	-0.48821812636680906	0.24010674532308074	0.2571540460025913	0.10993400460405134	0.47262559224633616	0.0004107881097981103	-0.5724338834599247	0.17896130683489886	-0.0209479983561236	0.0677587729372311	0.2963641647494516	0.39976784323526726	-0.03745226501714782	0.1445593439862205	-0.2424828915888515	0.2518917812843635	0.1638630447045557	-0.20156873042534795	-0.23176919488430658	-0.25641868341570917	-0.24906681338236503	0.37375913123618354	0.22126939989579342	0.019917922374925068	0.1753245304030483	-0.1628514490379005	0.10697025066717525	0.16684470599634227	-0.5447938502303613	0.42289938264490656	0.20879209361284723	0.22593632046606127	-0.28033693940160354	0.05886415371633877	0.2609436406209897	72
0.02170172691345215	0.0016149420585289387	0.000679178237915039	7.256979744617043e-05	ls		6	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 6}	0.06630090309910741	0.1757304137579494	-0.10104639047482622	0.37708523774329794	0.05639581476922062	0.09295485265860148	-0.08298721664934394	0.31327733632539123	0.30685657233156893	-0.03040220697372642	0.1819127272671841	0.11353095307826067	0.4623091595335589	-0.07007079641046521	-0.11488068150187325	-0.024773937257916323	0.2900803226153186	-0.4430159035691388	0.2592907900692344	0.23659046755791702	0.10722574601769141	0.40404360986145615	0.10571760078489123	-0.3106796780199603	0.14019102194982036	-0.03700190253627267	0.3206861626531615	0.26366693131913543	0.33024141271540275	0.11131216277768918	0.1297551532027359	-0.16375378859928236	0.3522900904559242	0.19861793487696533	-0.2457553397908816	-0.19557596231420837	-0.30203504298991946	-0.2668656801221492	0.47814369814809876	0.24156543502374073	0.10897923316388025	0.12589826101358925	-0.057256745727855884	0.015910538811062858	0.23246592345744976	-0.18190771602730438	0.2509490929699367	0.2225250691306504	0.24768297371263703	-0.009183828932344262	0.09332431607393292	0.21352872398782302	53
0.0003694486618041992	8.268129574989578e-05	0.0	0.0	ls		7	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 7}																																																					135
0.00038816452026367186	0.00011739743269132076	0.0	0.0	ls		8	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 8}																																																					134
0.00042084217071533206	0.00010790102140518986	0.0	0.0	ls		9	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 9}																																																					133
0.0005332469940185547	0.00024172885726148337	0.0	0.0	ls		10	{'estimator__loss': 'ls', 'estimator__max_features': None, 'preprocessing_1__k': 10}																																																					132
