mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__epsilon	param_estimator__fit_intercept	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.022630267143249512	0.007373044537332168	0.0007000970840454102	0.00029196193313199244	1.0	True	1	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	0.8341604009502783	0.7705858276372463	-0.298541508939423	0.8186335755740628		0.7515689087197845	0.9549149120682786	0.8409801259450472	0.8603713710184691		0.810239173443065	0.7416641162351572	0.7461502944608349	0.6517027936882991	0.7368100004246645		0.9277719549710345	0.7271514961114864	0.07187361032895145	0.8476089240224286	0.9100257292934271	0.39358996184581074	0.7066627446927789	0.7946364087843474	0.2016133058390701	0.7700988992531501	0.47204538761817183	0.8856812411461424	0.8105709329250904	0.7851747876286264	0.7804343564159122	0.8431625352997842	0.8381486939910096		0.802002668007734	0.6470394092589415	0.8703738193212459	0.7455044188045092		0.8923385751002394	0.8479588517310197	0.8388674613705792		0.8000208145711728	0.8418624909078759	0.7762735714904355	0.7850359964755401	0.9237368823036403	0.6480490925185948	0.8149868338511164			60
0.026067366600036623	0.006021689415085565	0.0006306362152099609	0.00024489871266125446	1.0	True	2	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 2}		0.8501379701499823	-1.1540932123935965	0.8789939948368062	0.8944442169405552		0.9661117346805934	0.8406443657543247	0.9005171869145339	0.5623737243605591	0.8360835651836247		0.8167982710859318	0.4053404575919608	0.8574115629535002	0.8154143936310596	0.9403520403635446	0.7362667790219481	0.6644435062608749	0.8131494283318379	0.9337007963657594	0.5561188715157308	0.7847782890701284	0.8418182407522568	0.6143959692074558		0.7164402934335231	0.8638566073807556	0.8858095227385573	0.7929656017866722	0.749747047938846	0.8686459346490439	0.8907596884099397	0.6842818185299944	0.8222324193173224	0.7483955671264915	0.9072545674180151	0.7146552570419433	0.8679054109711344	0.9206718111658537	0.8528043614707213	0.8692643446106542	0.9108743399727828	0.8360465509057236	0.7649190685998634	0.8598399705000239		0.9339292305194208	0.7021408374143463	0.8525931736909068			110
0.026838150024414063	0.006896367477679256	0.000665283203125	0.00010456041887785774	1.0	True	3	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	0.9999920803048177	-1.1647411639911254	0.10847606688290024	0.999456550340328	0.9999948460488379	0.8754012023051563	0.999994738932932	0.9991366040814827	-0.357156850196227	0.9999776040238072	0.9999945491227141	0.9989221123515863	0.8585854253810573	0.9999735568099424	-0.766079012756298	0.9997218908476937	0.9999978551599946	0.99998500634336	-4.66522951191367	0.890128439706328	0.9999954948684363	-0.05617133595968471	0.999994488585224	0.9994388000721888	-2.9106338443160884	0.9999931495143897	0.9989616348224938	0.9995312064082361	0.852653704957957	-2.1994947198893833	-2.6929053587355156	0.9999952885773512	0.9998833599196112		0.9998712952730313	0.9989403189004009	-0.8301958495894921	0.9999894165570563	0.8475734649826738	0.9996286597867049	0.9999926979983406	0.999984652876515	-1.5462409649354014	0.9995929396900838	0.9131678800602249	0.9996960151747442	0.999992596672711	-0.33635401968235934	0.9991701849363844	0.9985818416718525			109
0.03708308696746826	0.008069660992494364	0.000699930191040039	0.00011031919081437057	1.0	True	4	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	0.999991969686247	-1.1642728889496015	0.10902729586649196	0.9994384426465408	0.9848814688781754	0.8752176987124571	0.9999214230562327	0.9982669286685597	-0.3375746748769737	0.9999782058078467	0.9999940814970064	0.9989096423500765	0.8584460428140934	0.9999742162923543	-0.7680533368291247	0.9999852214596372	0.999997808790124	0.9999820625143824	-4.664161846178123	0.8900357855841181		-0.05761042852708309	0.9997736358462087	0.9999896842611303	-2.909432464754608	0.9992381596067178	0.9992367277883795	0.9999938256857963	0.8496884783434344	-2.1994840771523396	-2.6964384799332515	0.9999953820723335	0.9999960025063614	0.7448985532061019	0.999989194295551	0.9987474628426293	-0.826112467540332	0.9996742791694451	0.8379600075880829	0.9997021378832225	0.9999863046092168	0.9999851311260733	-1.480083975887478	0.9999961365157282	0.9138234618240039	0.9999904601254319	0.9998755930713747	-0.36201633246267906	0.999983464665525	0.9985546803360273			108
0.0003719806671142578	4.3189234407513544e-05	0.0	0.0	1.0	True	5	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 5}																																																					107
0.00037557125091552734	5.5455296584294806e-05	0.0	0.0	1.0	True	6	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 6}																																																					106
0.0005243110656738281	0.00016512068448910523	0.0	0.0	1.0	True	7	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 7}																																																					105
0.0006306076049804688	0.0002596418170255426	0.0	0.0	1.0	True	8	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 8}																																																					104
0.0005959606170654297	0.00030458324904383404	0.0	0.0	1.0	True	9	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 9}																																																					103
0.0005224370956420899	0.00013717028595567162	0.0	0.0	1.0	True	10	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 10}																																																					102
0.019048829078674317	0.006894032372287044	0.0009432458877563477	0.0003746863197426371	1.0	False	1	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 1}	0.8324316097869275	0.6574429918711057	-0.6790528423702562	0.8185501801810497	0.9208459431462351	0.6936989874923503	0.9314692840592314	0.846867581360246	0.8905466348168556	0.5603397498780096	0.8485470352365199	0.7392712223453821	0.7343407123883816	0.577633706357737	0.7328367977382597	0.7623863682783295	0.9131442053009652	0.6942822786469389	0.0720287983803658	0.8520854026433304	0.9570209773618511	0.39665218182171114	0.70278161752406	0.7936197943907153	0.19737112219384534	0.743133684889222	0.4599562167478164	0.9361476241009116	0.8068435189756222	0.7863116388240228	0.7802331818185197	0.8807669190013355	0.8403348065656618	0.6466619551711008	0.7395126675219348	0.6444885700484455	0.8691062972646862	0.7294945243952309	0.8619375961083763	0.8913643655176833	0.8491755771976892	0.8517849042325961	0.8880091753964799	0.8238516212050235	0.7719981864645891	0.759128979913351	0.686469243885192	0.9276336432685197	0.6481708721820436	0.7085638518190398	0.7195644392669049	0.2636332057373798	22
0.016913366317749024	0.0036247913265866514	0.0006853485107421875	0.00015094646215332977	1.0	False	2	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 2}	0.8513600415830792	0.8248588090900972	-1.2366799981377823	0.821989517345443	0.9163348671045118	0.6710574161058391	0.9481581671480098	0.8554473298543093	0.9107428603875891	0.5664090788361047	0.8576500018479785	0.7756669597483207	0.7249060165290275	0.4017885487291951	0.8563887711611796	0.8186216439375006	0.9183864549463197	0.6904599822103648	0.5284629758215518		0.9520876820996877	0.6356745015719101	0.7174526156972324	0.8574014628391292	0.5670980524166488	0.7955906334041395	0.6887422496661475	0.9569958820276281	0.8196725083418868		0.7531493964772449	0.9062011578761299	0.8909225458353642	0.6386992489793166	0.7674749398108179	0.6618767174597968	0.8860933187451062	0.6455076167665448	0.8955250916853225	0.9343194530450311	0.8748190568399216	0.8509690234274262	0.8644136993857963	0.829368976675468	0.7215478203310667	0.8444792397611334	0.8287432753982851	0.9472386296446441	0.692562995955738	0.7359464314361545			101
0.018764243125915528	0.003882307516376776	0.0007281064987182617	0.00012029443135855487	1.0	False	3	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 3}	0.999995386225933	-1.1685009306275806	0.10942351479771739	0.9994639212219601	0.9999956027864783	0.8751302942227601	0.9999931088330185	0.9991577172898485	-0.3572387846055869	0.9999737254732143	0.9999941038481559	0.9992250428247896	0.8584657834639414	0.9999736825604721	-0.7783650414539052	0.9999841267118422	0.9999972916651162	0.9999807839187138	-4.678192644834928	0.8899642397234984	0.9999960299302391	-0.0571685677912368	0.9999886789576738	0.9999873651964781	-2.9185162701800156	0.9999944885053685	0.9992492077649706	0.999997244091084	0.8500990049313304	-2.2089445882151897	-2.7037619454646284	0.9999943110447425	0.9999949244819379	0.7271311198026892	0.9999939531232467	0.9990876996116728	-0.8308014369702597	0.9999892667251226	0.8379605358290281	0.9999954148918112	0.9999929468205913	0.9999866689441366	-1.5505538931455196	0.9999959784066923	0.913330957942687	0.9999886827198148	0.9999922583471984	-0.36173633949144435	0.9999866261809617	0.9986062495767906	0.3888455499322686	1.2364793320778376	47
0.02501558303833008	0.004584215349189406	0.0007263994216918945	9.681104714622248e-05	1.0	False	4	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 4}	0.9999928982498184	-1.1702687932956426	0.10879225672422965	0.9994356552338304	0.9999948301774898	0.8752844091002283	0.9999933197181523	0.9991236443086194	-0.3565701260002021	0.9999748361608021	0.9999935007841063	0.9991986027410872	0.8582702106010057	0.9999698532726952	-0.7773600721297402	0.9999827602480476	0.9999975297146544	0.9999820352342875	-4.678104693587069	0.8901967448075442	0.9999941241118109	-0.054740332319992646	0.9999892274957818	0.9999873718285406	-2.915113483160634	0.999987843023681	0.9992508856322738	0.9999948196530725	0.8501842862490987	-2.209317943475509	-2.6989113964063587	0.9999947821600733	0.999994777679777	0.7280224951922376	0.9990191699654136	0.9990632533176078	-0.8286926738652483	0.999987346175515	0.8380814701014632	0.9999955762060805	0.9999911687272747	0.9999861490695299	-1.5497728264166617	0.9999952057087569	0.9133469895897443	0.9999873618353597	0.999991014754906	-0.3619187013985734	0.9999842043309392	0.9985549596310166	0.38909593054921837	1.2359990211774172	45
0.0003738880157470703	5.827408552472536e-05	0.0	0.0	1.0	False	5	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 5}																																																					100
0.0004049110412597656	5.0343988426780856e-05	0.0	0.0	1.0	False	6	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 6}																																																					99
0.0003796863555908203	4.89356730357818e-05	0.0	0.0	1.0	False	7	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 7}																																																					98
0.0003805828094482422	3.5547243983995276e-05	0.0	0.0	1.0	False	8	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 8}																																																					97
0.0004659223556518555	0.00012404890296840532	0.0	0.0	1.0	False	9	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 9}																																																					96
0.0005494070053100586	0.00014734721786343913	0.0	0.0	1.0	False	10	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 10}																																																					95
0.012496418952941894	0.002651524955817944	0.0008681201934814453	0.00028460809563908394	1.2	True	1	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	0.8570695042323988	0.7715688416671278	-0.40203743552550897	0.8380842148369821	0.8807085594766102	0.7592884967649838	0.9565439263085784	0.8052916362333964	0.8727446309263507	0.6505022824706003	0.8127344911953219	0.8083012693223522	0.7431677935313621	0.646675094839607	0.8068019010520885	0.764663830244139	0.926958187872401	0.7291419170452423	0.3725843531063374	0.7959095330221851	0.9149333533545781	0.4631039627035919	0.7563869271511867	0.7869853144416956	0.43616746409775964	0.7676005403889776	0.6502499903934555	0.8726721171162504	0.878165586111757	0.7821800730912687	0.7668114119666624	0.8428023118993238	0.8361630950773641	0.6465389409299163	0.8177692621787273	0.7680063195138798	0.887323786140398	0.7474878751702421	0.8263546482954274	0.8640034081343283	0.8153169384650166	0.8422905105751775	0.8697552494683439	0.8035935088057315	0.8060272721180358	0.7784366688848697	0.8009669122325798	0.8751177068106294	0.657174696262623	0.8177496124473951	0.755496769856995	0.20090979798882713	9
0.017010111808776856	0.003186723275473716	0.0009594058990478516	0.00021674158182167992	1.2	True	2	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	0.8697524156224299	0.844881218001974	-1.0304815547169301	0.8584590294988032	0.8828789243387547	0.7348561209326165	0.9640979598828386	0.8266863065096555	0.8943456655837003	0.652469499381717	0.8413208730585703	0.8205766190518715	0.769742992262001	0.5246785319663952	0.8749744351130118	0.8184716658605469	0.9358836953962882	0.7379728565519851	0.6204884979049212	0.8149964037126521	0.9229526157989493	0.5890513927987604	0.7749960658795485	0.815264731110881	0.6123795454122867	0.789057132680722	0.7308070894802576	0.8862261980652956	0.8816305298153935	0.8097179414622969	0.7719324578261982	0.8589412414234059	0.8806566458106391	0.6817713394948184	0.8250755600128272	0.7319110283520643	0.898397909627063	0.6913472639921212	0.8633338947022096	0.887133320813058	0.8365522363029902	0.870948341259581	0.8800772238717275	0.81454775391296	0.7707306648496416	0.8395150955935269	0.8613284597731596	0.9048041918245651	0.6946481580547135	0.8389839994966818	0.7694354437082429	0.27363825711484635	6
0.025245585441589356	0.004256231996766445	0.000986194610595703	0.00022538224686203035	1.2	True	3	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	0.999992343058317	-1.1654608317453108	0.10904835648719036	0.9994604176138056	0.9999947828198459	0.8752483498383896	0.9999943092752676	0.9991495896350144	-0.3564110867623822	0.9999805820349021	0.9999935533633696	0.9992196557077893	0.8586395678307263	0.9999711651941172	-0.777488518019191	0.9999840611151004	0.9999980625175164	0.9999827866645565	-4.669874960898831	0.890191384284901	0.9999960107119973	-0.05635722391478071	0.9999903487576766	0.9999860598604698	-2.911592550653626	0.9999919172626354	0.9992445117235367	0.9999976424867576	0.8496293211928609	-2.2033142315268828	-2.6977105678640982	0.9999936144828858	0.9999952841980071	0.7277217653175383	0.9999884696773058	0.9990789077892852	-0.8285320146666968	0.9999875793036314	0.8379639444863511	0.99999491882273	0.9999910003427389	0.999984279462146	-1.5451603123681967	0.9999954862029767	0.9132123905462863	0.999988296506598	0.9999915865910326	-0.3618410831190344	0.9999838065992049	0.9985849410257349	0.3896479533850433	1.2345702902482367	36
0.02734001636505127	0.004249930562435606	0.0008651256561279297	0.00019992535040715576	1.2	True	4	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	0.9999919114184521	-1.165596180062329	0.10924968109307087	0.9994447747724452	0.9999939745883839	0.8752544030202868	0.9999943727576733	0.99912867304789	-0.3573346649337681	0.9999807101553713	0.9999932536314835	0.9992029727508128	0.8586095150580444	0.9999717742166991	-0.7760144452659579	0.9999823395879153	0.9999981762588142	0.9999828623425742	-4.666977457667534	0.8903032449663917	0.9999950131164249	-0.05611325895991892	0.9999908228746222	0.9999864576575188	-2.9106393391150616	0.9999898485135954	0.9992330558475384	0.9999950173163845	0.8496555015953176	-2.2035592986434236	-2.6970528241752008	0.9999941222593596	0.9999949538644392	0.7277575369026241	0.9999888575014765	0.9990549255868539	-0.828035436483225	0.9999874413519731	0.8381289723621683	0.9999949368346781	0.999989909035952	0.999985094804119	-1.5446222874588207	0.9999953818435208	0.9132240533395889	0.99998841065634	0.999991265214024	-0.3617790501753151	0.9999850173576896	0.9985625124009629	0.3897765500992586	1.234217133615774	34
0.0004154825210571289	0.00013029465722881936	0.0	0.0	1.2	True	5	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 5}																																																					94
0.0005589866638183594	0.00019047722200271231	0.0	0.0	1.2	True	6	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 6}																																																					93
0.0005690431594848632	0.00025003025758337324	0.0	0.0	1.2	True	7	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 7}																																																					92
0.0006247615814208985	0.00022759067996749207	0.0	0.0	1.2	True	8	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 8}																																																					91
0.0005964279174804687	0.00018887593269927689	0.0	0.0	1.2	True	9	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 9}																																																					90
0.0006151056289672852	0.00019272151349902328	0.0	0.0	1.2	True	10	{'estimator__epsilon': 1.2, 'estimator__fit_intercept': True, 'preprocessing_1__k': 10}																																																					89
