mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__epsilon	param_estimator__fit_intercept	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.024533605575561522	0.013546830908961667	0.0009191131591796875	0.0003606687264986707	1.0	True	1	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	0.6469944242457256		0.738108796818217	0.7918086879422794	0.7375355549671883	0.6258593544661055	0.7789056610763224	0.767735222632724	0.7514634873704997	0.7855288946755407	0.6958080715146211	0.8127809910542247	0.7675660523334351	0.6717572729667831	0.6688623929357793	0.7326092785779875	0.7318905242901786	0.7393680056508611		0.7479074238897886	0.8192831298550387	0.7731824838081786	0.6930594906781455	0.733277979607708		0.7832732549857926	0.5258550661632162	0.7213121811755803		-0.3687439173881577	0.7906600321345502	0.5710058108262797	0.7629964127618718	0.7523836693395373		0.6423635536722736	0.8279610272091598	0.6971984206246034	0.7612027599403014	0.80985252679724	0.529989590635277	0.715843263801777	0.7746529558052445	0.7306897188311181	0.752512641555956	0.842220854244271	0.8041011784885995	0.7193153629374218	0.8433410747283532	-0.567072407852246			43
0.02461350917816162	0.005843663906661076	0.0008839797973632812	0.00019192031256508733	1.0	True	2	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	0.6536586181563342	0.4360527775292251	0.7398568628135718	0.7494628439760335	0.7431371210330828	0.6290040697276394	0.7776922240723534	0.6796767349856693	0.7673057253076594	0.7615543709019863	0.6989851385410888	0.7860720594063166	0.7637449636122601	0.6706479391271462	0.6204411620375616	0.6917923359731255			0.6544922198396895	0.7425142145960517	0.8413302377861146	0.741187794101756	0.6566028253812155	0.7014704241575975	0.7095665604188195	0.7829624521571149	0.4441847927603986	0.6961983400075515	0.7341286291657183	-0.3567339755835057	0.8338656248133501	0.5476404640376418	0.7626136526750615	0.7392436791052486	0.5180191193665198	0.6488621419619296	0.7705775291795072	0.6644931825764688	0.7698489690319901	0.7994556491536813	0.4675566602755171	0.7168502487638877	0.7983357881298376	0.6700184465254946	0.7092157556500753	0.8177806139802282	0.77940768967982	0.7111595546751073	0.8393168071000144	-0.46103120858636015			105
0.0006699991226196289	6.992804634247314e-05	0.0	0.0	1.0	True	3	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 3}																																																					104
0.0007129240036010742	4.523014200294237e-05	0.0	0.0	1.0	True	4	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 4}																																																					103
0.0007269382476806641	5.74357829237329e-05	0.0	0.0	1.0	True	5	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 5}																																																					102
0.0008404397964477539	0.00023335972756705986	0.0	0.0	1.0	True	6	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 6}																																																					101
0.0008135080337524414	8.643638951538759e-05	0.0	0.0	1.0	True	7	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 7}																																																					100
0.0008919525146484375	0.00023343319760607946	0.0	0.0	1.0	True	8	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 8}																																																					99
0.0008125543594360351	0.0001369208922254732	0.0	0.0	1.0	True	9	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 9}																																																					98
0.0007374000549316407	0.0001256535457590126	0.0	0.0	1.0	True	10	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 10}																																																					97
0.013437423706054687	0.004561434271572345	0.000861048698425293	0.0002788210810560917	1.0	False	1	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 1}	-0.8648010421994174	-0.8060366854372445	-2.5212579589208843	-1.2247481530060376	-2.859066076166305	-0.8723277724886778	-1.8320580733472531	-2.9480221488185094		-0.9512790896987249		-1.0951810870528322	-1.2385106744773307	-1.944051841389725	-1.3396530162936462	-1.2250744633258894	-1.310279901044419	-2.0499470050888084	-0.7476014822480266	-2.1546872595319786	-1.4220562345261052	-1.3617527614827267		-2.2627750775723636	-0.7541174523279877	-1.5442337440977454	-3.2157432195277735	-0.7512036773951358	-2.4362794870034397	-0.9510900901504236	-0.8344079611086324	-1.2635248412705207	-0.9794389114550075	-1.4263037430794996	-3.8339679564475047	-0.9744666042332892	-1.5901084923094877	-1.7712633366310486	-1.2984137371800073	-1.1027063001389044		-1.991838399575259	-1.1091042664672388	-2.8265632749044785	-1.0916941294642282	-1.346411655159406	-1.1806494067421092	-2.174484402986148	-1.248014451947372	-1.195030719520207			96
