mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__fit_intercept	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.004147667884826661	0.010796456288482276	0.0009318876266479492	0.001186862002227401	True	1	{'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	0.7382675004271331	0.6572218389858651	0.5624665262656414	0.6663505041332974	0.6889825118791448	0.6081588034554305	0.5988878538215303	0.6954838712347573	0.7672834321095877	0.6572557612474724	0.6094831403889627	0.7309827671661313	0.5564204943126123	0.6495534333574431	0.7417938440740666	0.7144772241713425	0.6608673094416833	0.711063720008446	0.6666999104626663	0.6080835145311505	0.732978312117397	0.6416653075313956	0.647198333442403	0.6571407307511532	0.693691441055188	0.7061695516029687	0.7137795566172921	0.6170076895997245	0.6601180614737734	0.6561193764718001	0.6762536617381834	0.6900222304706365	0.5477221981339886	0.7015929260579638	0.6983010157117007	0.6584998690445563	0.6605288349163054	0.6736636772791282	0.7170001693589066	0.6289285325428446	0.7058925255337134	0.6729692617482608	0.7488271942654816	0.6427198903752964	0.577977407233035	0.5969335061543952	0.7288485160031218	0.6854327101919852	0.6245597392297253	0.6917042202432087	0.6668686728684324	0.05118291740133933	8
0.0030854320526123046	0.0028441087191617845	0.0008171653747558594	0.0002557489022578994	True	2	{'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	0.7586949131923761	0.7541668601244162	0.6658079043215167	0.7284294515267142	0.7857603458312669	0.6969833235609343	0.7401502684544066	0.7369145842956926	0.7914995911650732	0.7431307700862073	0.6900528857239068	0.7471862730205427	0.6625489777347955	0.7424925170818533	0.8321824007547889	0.7581491106178171	0.7515063119049692	0.7745772255841664	0.7175579936591335	0.7023892802288573	0.788170210528991	0.6899471676577282	0.7351303560341023	0.7770197502290745	0.7737922043769199	0.7365419251684591	0.7104520414444258	0.6720113020334106	0.7301949393316867	0.7664888433636504	0.7406425750018183	0.7609261115779461	0.6384235189940064	0.7664991910030647	0.7755963726050713	0.7218671321974938	0.7260308796874676	0.7773254490271301	0.7618422583457627	0.7582278626129304	0.7445306254121575	0.7153229589513715	0.8037653815862257	0.7328362809966297	0.7253490067294558	0.7202009837654229	0.7746011157190751	0.7760814599405501	0.7165161624582808	0.7356209986180787	0.7405913744051726	0.037687305996311066	5
0.0029850244522094727	0.0015565753714827848	0.0008333635330200196	0.00018860390631517633	True	3	{'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	0.7672540065632272	0.8000339062828259	0.8062457724029848	0.8149707404446609	0.8537986284532693	0.7863930644648225	0.8146937019239054	0.8338847659704614	0.8103711191800241	0.8562862946866869	0.6782404086535074	0.7680257392687811	0.7704908456612111	0.8276428177531235	0.8926008820540009	0.8318521010870854	0.8632510178731403	0.8390000425119988	0.7081400837012233	0.7982168667096636	0.8439598125986021	0.7114009020846079	0.8023246731979099	0.8732669993896714	0.7942514072925285	0.774330206691913	0.7773544720818992	0.6755679756716577	0.8202601038778781	0.7605012151826699	0.8444957402615354	0.7623412398783039	0.773730654125078	0.8628031367999045	0.8280415268446697	0.8203498422079605	0.8121264049854324	0.8396175371076214	0.8288251441526844	0.8565441304324813	0.8390490363850835	0.7714372315388403	0.8319768409681253	0.7465307662737486	0.83048230794545	0.7676951012590505	0.8217730395893614	0.8292749376954335	0.8583315094216761	0.7367811158331008	0.8042806351046877	0.04792452028709531	2
0.0026556158065795896	0.0019042955802283505	0.000755143165588379	0.00019161348777511772	True	4	{'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	0.8692674146606598	0.8282226963643735	0.8446901448464468	0.8564187159537635	0.8857502287467858	0.8081004069610739	0.8454903738218422	0.8655200399338965	0.8368842068322164	0.8876317758591327	0.8283187322263652	0.8714648822715703	0.8241618350738908	0.8337147769409899	0.9005124967327621	0.8726474187274003	0.8915357259455696	0.862481649195904	0.8341118446330268	0.8281875614471678	0.8613283848748297	0.8179312155596921	0.812189296651213	0.8999241039097289	0.8927661963499547	0.8811510147574444	0.8226218483353411	0.8351404804436828	0.8627196943080045	0.8563116929982905	0.8538940678172899	0.8666406607242361	0.8023220874967671	0.8916850950270904	0.8594035845075073	0.8554848883669905	0.8447099054444838	0.8688511907407219	0.838823159646033	0.8781242931759704	0.862318268752845	0.8311683288460725	0.8382792228379623	0.8783547100270579	0.8651471031912943	0.8836862132042083	0.8515365259333698	0.8423509554655892	0.8771868224980826	0.8593661167204696	0.8552862543622186	0.024649205965130736	1
0.0009591341018676758	0.0030436711877153697	0.0	0.0	True	5	{'estimator__fit_intercept': True, 'preprocessing_1__k': 5}																																																					18
0.00046642303466796873	0.0001311877249420368	0.0	0.0	True	6	{'estimator__fit_intercept': True, 'preprocessing_1__k': 6}																																																					17
0.0006433010101318359	8.074176745157398e-05	0.0	0.0	True	7	{'estimator__fit_intercept': True, 'preprocessing_1__k': 7}																																																					16
0.0006615114212036133	0.00018419294293334007	0.0	0.0	True	8	{'estimator__fit_intercept': True, 'preprocessing_1__k': 8}																																																					15
0.0005660676956176758	0.00011720714392418478	0.0	0.0	True	9	{'estimator__fit_intercept': True, 'preprocessing_1__k': 9}																																																					14
0.0005628013610839844	0.00024831986754182147	0.0	0.0	True	10	{'estimator__fit_intercept': True, 'preprocessing_1__k': 10}																																																					13
