mean_fit_time	mean_score_time	mean_test_score	param_estimator__booster	param_estimator__max_depth	param_estimator__n_estimators	param_estimator__random_state	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.0676114559173584	0.003693739573160807	-0.639202207494847	gbtree	1	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	60	-0.6652842267958721	-0.6156009450893556	-0.6367195312513627	0.003247621566889868	0.00011704228988361365	0.02035906479322207
0.2319798469543457	0.011056741078694662	0.6764441813029471	gbtree	1	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	30	0.6760974229960477	0.677539158305411	0.6756959881249562	0.017274465108439288	0.0011611307965619828	0.0007914062902713163
0.4014893372853597	0.018537362416585285	0.805570683201477	gbtree	1	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	28	0.8052892501511685	0.8072063207273285	0.8042164994362915	0.032639862789750416	0.0005087721511226166	0.001236692043154789
0.7099604606628418	0.03347611427307129	0.8691435728387816	gbtree	1	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	23	0.869559273768554	0.8705582153460387	0.8673131988107651	0.048088766727976615	0.0012412551322745003	0.001356977889729227
0.08441297213236491	0.004501899083455403	-0.4768270951513956	gbtree	2	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	57	-0.4975332630040259	-0.4599384789921055	-0.4730080197132729	0.0012663564219659274	9.969476678377138e-05	0.01558385659881789
0.33400742212931317	0.01515976587931315	0.8323909171532775	gbtree	2	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	26	0.8311970711608677	0.8352162372884141	0.8307595308644024	0.01684760068947696	5.614047411651614e-05	0.0020057361225984823
0.6162700653076172	0.02965545654296875	0.9024078561285226	gbtree	2	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	20	0.9027552705537588	0.9030431466679382	0.9014251255980142	0.01505067243911265	0.0011674075260361728	0.0007047511334158184
1.2959532737731934	0.06082272529602051	0.9373261010176369	gbtree	2	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	14	0.9395363634238556	0.9384461295922162	0.9339956473859885	0.0957588212178805	0.0012580910083416117	0.0023966352887093956
0.13914616902669272	0.005668163299560547	-0.3660135964686455	gbtree	3	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	55	-0.38399150796060977	-0.3540019432427586	-0.36004601522725777	0.012712770988235233	0.00029913390142422914	0.012950013950609768
0.5685539245605469	0.024849414825439453	0.8941940816430067	gbtree	3	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	22	0.8957236058811742	0.8962557487781374	0.8906027777136533	0.03807809154091214	0.0031193456688207197	0.0025486646065759747
1.0920560359954834	0.04245615005493164	0.9381919604503299	gbtree	3	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	12	0.9379178557018903	0.939344876661807	0.9373131691583684	0.13601452911381234	0.002360167745635601	0.0008517776464541872
1.950810432434082	0.08789292971293132	0.9526197257349212	gbtree	3	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	5	0.9527064849648691	0.9524642081019851	0.9526884777533906	0.063391059348378	0.001204378106516523	0.00011021100708688737
0.15770840644836426	0.0063237349192301435	-0.3050009719158056	gbtree	4	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	53	-0.32025772522881324	-0.29501561076641014	-0.29972845702400797	0.0018800810653017885	7.926245493567701e-05	0.010958766107230917
0.6723233858744303	0.027281840642293293	0.9204306769549889	gbtree	4	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	17	0.9201196164695012	0.9210740400743724	0.9200983972117021	0.004722392308880941	0.00011027769245943293	0.0004550005283489122
1.3893965880076091	0.06095123291015625	0.9481574177839112	gbtree	4	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	9	0.9485229485426092	0.9476808317546961	0.9482684461554102	0.06407516306635282	0.002495848869987425	0.00035264474999526554
2.5856401125590005	0.11277445157368977	0.9538477679928486	gbtree	4	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	1	0.9541487973597549	0.953672746269117	0.9537217381972447	0.06485210399729524	0.00031704001848098225	0.00021380528328449733
