mean_fit_time	mean_score_time	mean_test_score	param_estimator__criterion	param_estimator__max_features	param_estimator__min_weight_fraction_leaf	param_estimator__random_state	param_preprocessing_2__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.021889766057332356	0.0006957848866780599	0.49326790086131145	mse		0.1	3111696	8	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__random_state': 3111696, 'preprocessing_2__k': 8}	1	0.4965757760012145	0.48085479912832085	0.5023764627022351	5.628777146700695e-05	1.1022974452600878e-05	0.009091991365151144
0.0027697086334228516	0.0	0.0	mse		0.1	3111696	9	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__random_state': 3111696, 'preprocessing_2__k': 9}	370	0.0	0.0	0.0	1.7305751245505367e-05	0.0	0.0
0.002783060073852539	0.0	0.0	mse		0.1	3111696	10	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__random_state': 3111696, 'preprocessing_2__k': 10}	370	0.0	0.0	0.0	2.7428155257262693e-05	0.0	0.0
0.005191326141357422	0.0006071726481119791	0.2844611185585111	mse		0.25	3111696	1	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'preprocessing_2__k': 1}	215	0.2877271958708404	0.27629882051306676	0.2893591327790741	4.9702125677409356e-05	1.3043237202281089e-05	0.005810464453353237
0.0063724517822265625	0.0006256898244222006	0.39061241237229494	mse		0.25	3111696	2	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'preprocessing_2__k': 2}	53	0.3826531789839842	0.37657012134386236	0.4126219959554914	8.493949790447345e-05	9.275541623729982e-06	0.015757227331804628
0.007317860921223958	0.0006440480550130209	0.39061241237229494	mse		0.25	3111696	3	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'preprocessing_2__k': 3}	53	0.3826531789839842	0.37657012134386236	0.4126219959554914	1.8441471175282772e-05	7.787529260879421e-06	0.015757227331804628
0.008552074432373047	0.0006501674652099609	0.39061241237229494	mse		0.25	3111696	4	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'preprocessing_2__k': 4}	53	0.3826531789839842	0.37657012134386236	0.4126219959554914	8.945898026575092e-05	7.92898614326281e-06	0.015757227331804628
0.009557088216145834	0.0006375312805175781	0.39061241237229494	mse		0.25	3111696	5	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'preprocessing_2__k': 5}	53	0.3826531789839842	0.37657012134386236	0.4126219959554914	4.1612675386489696e-05	9.538729778637547e-06	0.015757227331804628
0.01071310043334961	0.0006597042083740234	0.39061241237229494	mse		0.25	3111696	6	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'preprocessing_2__k': 6}	53	0.3826531789839842	0.37657012134386236	0.4126219959554914	1.9686503747313514e-05	3.936915739854443e-06	0.015757227331804628
0.011826435724894205	0.0006582736968994141	0.39061241237229494	mse		0.25	3111696	7	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__random_state': 3111696, 'preprocessing_2__k': 7}	53	0.3826531789839842	0.37657012134386236	0.4126219959554914	6.808769713011974e-05	1.7169448745144686e-05	0.015757227331804628
