mean_fit_time	mean_score_time	mean_test_score	param_estimator__booster	param_estimator__max_depth	param_estimator__n_estimators	param_estimator__random_state	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.050432682037353516	0.0014737447102864583	0.2606865917744294	gbtree	1	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	55	0.2561939115614249	0.25828597313374213	0.26758241564601626	0.0036416341973117077	0.0001510855774635057	0.0049494474482503666
0.18196781476338705	0.0026448567708333335	0.4155136115989138	gbtree	1	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	37	0.42304221023994504	0.40262908169984	0.4208715047365381	0.04376031747867895	7.666762880759387e-05	0.009154563570360097
0.20453397432963052	0.005465507507324219	0.4257412870093055	gbtree	1	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	35	0.43587185579146137	0.4120658926854801	0.4292874110218695	0.005137652659146887	0.0002907144799439599	0.010037465089066687
0.42061416308085126	0.009800990422566732	0.42656649601805574	gbtree	1	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	34	0.4377094908151442	0.4136544124210354	0.4283362328358632	0.06133840087409591	0.0004447196276846297	0.009900419998596297
0.042419115702311196	0.0015636285146077473	0.4329652502133168	gbtree	2	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	32	0.42532726364397877	0.43014513647679065	0.4434271813251538	0.0011350854294006826	3.9808208486095727e-05	0.007653436123715541
0.2372302214304606	0.004782438278198242	0.624358979022347	gbtree	2	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	24	0.6306252483716346	0.6108877744772161	0.6315665533885918	0.06536453655285922	0.0012441647339679928	0.009534199399086327
0.35192187627156574	0.007641394933064778	0.641754741124482	gbtree	2	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	22	0.6499267683314555	0.6255693231067646	0.6497710672432155	0.014238711180915362	8.872681211430414e-05	0.01144604314849574
0.7875662644704183	0.014239867528279623	0.6495205963540156	gbtree	2	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	20	0.6588371558868908	0.6307956272756864	0.6589324522033324	0.10755336012152701	0.00032266730736728094	0.013241821987645569
0.05780792236328125	0.0019063154856363933	0.4873219830869169	gbtree	3	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	30	0.47833410248319297	0.48375048971382995	0.49988595756701604	0.00037790575719414527	9.85676219492103e-05	0.00915357666189907
0.29746325810750324	0.005883057912190755	0.658710770726373	gbtree	3	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	18	0.6614156810234895	0.6467161073482118	0.668003926647374	0.028595556875940866	0.000724976090059964	0.008898475659984164
0.6066369215647379	0.016047875086466473	0.6620379352124288	gbtree	3	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	14	0.6668357381411774	0.6489385954651515	0.6703425128869349	0.06460248547369263	0.007234555885480612	0.009373447320407617
1.1935045719146729	0.02670907974243164	0.663028802902254	gbtree	3	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	12	0.6697921364115358	0.6511326253507318	0.6681635271071472	0.1397268358833957	0.007554814032650007	0.008438869106476463
0.07578404744466145	0.002143303553263346	0.5407378644449534	gbtree	4	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	28	0.5345544621414128	0.5400529593068712	0.547608687750108	0.00011213657114143547	3.709961294345117e-05	0.005351167196640723
0.3394431273142497	0.005876064300537109	0.6703719368783356	gbtree	4	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	4	0.6759674716435826	0.659345382565527	0.675804945810347	0.008155290147393083	0.0006155461983230362	0.0077979474407302496
0.9400741259256998	0.021294196446736652	0.6688983781490146	gbtree	4	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	6	0.6755100753488712	0.6579254303460637	0.6732612262798026	0.22319154447944226	0.0062547964573983665	0.007813875570098222
1.4222056070963542	0.025666316350301106	0.6632326087497118	gbtree	4	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	10	0.6708727594282935	0.6526283481649692	0.6661978044104171	0.14515857523283254	0.001178939579398432	0.007738073317331686
