mean_fit_time	mean_score_time	mean_test_score	param_estimator__booster	param_estimator__max_depth	param_estimator__n_estimators	param_estimator__random_state	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.0024678707122802734	0.0005301634470621744	0.18851080471470194	gbtree	1	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	55	0.17515616311624482	0.173984650076642	0.216552500247586	0.00026759452442632237	7.573067171761154e-05	0.019774813082480417
0.006137847900390625	0.000530242919921875	0.523716542007023	gbtree	1	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	36	0.5546378465693343	0.44197478246474897	0.5741644511488856	0.0005948149675059076	5.725753430764213e-05	0.058176673604733414
0.011547565460205078	0.0006233056386311849	0.6801746779202156	gbtree	1	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	28	0.7028830884600709	0.6089280392489085	0.7284393107439584	0.0006773089842659048	5.8546960471084486e-05	0.051302155103779695
0.017865737279256184	0.0006100336710611979	0.7959189038976158	gbtree	1	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	23	0.8102014886063948	0.7492862143863603	0.8280969293662512	0.001050727554150945	9.141403471560409e-05	0.03367896022577503
0.0020520687103271484	0.0003916422526041667	0.397419362029873	gbtree	2	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	38	0.4099425342080537	0.37849765236931643	0.4036670179197407	0.0003109195839108701	4.489295156006697e-05	0.013583820320879373
0.006014188130696614	0.0004334449768066406	0.7788431835409159	gbtree	2	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	25	0.8236472654359187	0.7063741001395802	0.8059683768316462	0.00031443282021784825	7.018852922382233e-07	0.051597994095179775
0.01037271817525228	0.0005243619283040365	0.8478175525588431	gbtree	2	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	11	0.8787831938825686	0.7995326903666771	0.864763693411335	0.00027931604579021157	8.689113425316246e-06	0.03451891809048317
0.025361061096191406	0.0008667310078938802	0.8743259691537175	gbtree	2	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	1	0.8890046803986748	0.8420712552756231	0.8917251198441445	0.0027348783587443806	9.548782325940783e-05	0.022766297491254004
0.003203789393107096	0.0004954338073730469	0.5264277970531673	gbtree	3	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	33	0.5711158792412137	0.4624374745596742	0.5451916267298427	0.00021376290643855474	7.301994720036294e-05	0.046339530257335206
0.009724934895833334	0.0005966822306315104	0.8280839383338608	gbtree	3	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	21	0.8671484601229922	0.7704247416706222	0.8462079563189426	0.00038113904236362385	9.62770973151972e-05	0.041539924142672366
0.016316890716552734	0.0007103284200032552	0.856514615189762	gbtree	3	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	5	0.8874636432487728	0.8115382436126491	0.8701690788517314	0.00172429126249381	7.265323466498576e-05	0.032485823477971805
0.02133019765218099	0.0007940133412679037	0.8640044284589317	gbtree	3	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	4	0.8913327902852342	0.8261265415413399	0.8742246961788196	8.54495498862738e-05	1.3303576308302976e-05	0.02760341471533188
0.0022960503896077475	0.00036152203877766925	0.5652197407331517	gbtree	4	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	32	0.6146806745822023	0.5015624547874131	0.5788201779641886	3.1529799183014827e-06	1.5080590271161932e-05	0.04720956156014518
0.007482369740804036	0.0004832744598388672	0.8322098094047102	gbtree	4	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	19	0.874351600389005	0.7575088253208242	0.8642612700828041	9.687353678721822e-05	3.040810659680206e-06	0.05282436626477243
0.01378027598063151	0.0006466706593831381	0.8483833948027889	gbtree	4	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	9	0.8848666078490233	0.7792951910265719	0.8805488287490817	0.00013998133024324355	6.938303815751759e-06	0.04873820163095833
0.026374340057373047	0.0009257793426513672	0.8535006952925094	gbtree	4	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	7	0.8893723069711279	0.7866056515333508	0.8840919392805361	0.00015911756603567394	1.6895787922407698e-05	0.047209443647567635
