mean_fit_time	mean_score_time	mean_test_score	param_estimator__alpha	param_estimator__fit_intercept	param_estimator__learning_rate	param_estimator__loss	param_estimator__penalty	param_estimator__random_state	param_preprocessing_2__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.030007600784301758	0.0014553070068359375	0.34044047337773053	1e-06	True	optimal	huber	l1	3111696	1	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 1}	1504	0.33815223808316297	0.33924670985003846	0.3439226405887822	0.003937762812351008	5.991505222821992e-05	0.0025024324896634384
0.028558810551961262	0.0012598037719726562	0.4496975046816164	1e-06	True	optimal	huber	l1	3111696	2	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 2}	1387	0.46163064103439944	0.3983652402071779	0.4890957546565097	0.0002100159901212298	7.776978697919888e-06	0.037989154143643476
0.02936577796936035	0.0013063748677571614	0.5314291770217947	1e-06	True	optimal	huber	l1	3111696	3	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 3}	1191	0.508084265959547	0.5668447783610338	0.5193602046718814	0.00010338756242912701	1.4822061191399597e-05	0.02546175027633746
0.03008731206258138	0.0012886524200439453	0.6030210939633891	1e-06	True	optimal	huber	l1	3111696	4	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 4}	1156	0.6915171857979847	0.5132843181903888	0.6042552655688898	4.7750955433668164e-05	3.3207865422210978e-06	0.07276894258501154
0.03174726168314616	0.0013039906819661458	0.6357756918502484	1e-06	True	optimal	huber	l1	3111696	5	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 5}	1110	0.6752550821818649	0.5578647738737434	0.6742043142489577	0.0001619668189356504	1.3148856088377502e-05	0.055091995080608525
0.03323936462402344	0.0013562838236490886	0.6037377551596023	1e-06	True	optimal	huber	l1	3111696	6	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 6}	1154	0.6971385136083534	0.4757242432966119	0.6383436353117584	0.00024336943604948678	2.3663435998653932e-05	0.09364600803673333
0.034586826960245766	0.0013831456502278645	0.5253354831989563	1e-06	True	optimal	huber	l1	3111696	7	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 7}	1195	0.6577260906568363	0.2724127418803063	0.6458578745762869	0.00017721374975334102	1.756583927534702e-05	0.17890571751255244
0.03614330291748047	0.0014577706654866536	0.6012124443235372	1e-06	True	optimal	huber	l1	3111696	8	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 8}	1157	0.6338531546274315	0.5563028775080743	0.6134788988400872	5.455810371374654e-05	4.210246792797656e-05	0.03282656531791653
0.03795091311136881	0.0015029112497965496	0.5852392997718161	1e-06	True	optimal	huber	l1	3111696	9	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 9}	1165	0.6450888879982609	0.501375403141151	0.6092492039087447	0.0002227580168386764	3.1491916628383995e-05	0.061078067349526796
0.03943363825480143	0.0014925797780354817	0.6222480138307057	1e-06	True	optimal	huber	l1	3111696	10	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l1', 'estimator__random_state': 3111696, 'preprocessing_2__k': 10}	1147	0.6191689056916181	0.5841508978751847	0.6634244645135945	0.00011544077801046542	5.006159384417096e-06	0.03243606283552154
0.027002970377604168	0.0012713273366292317	0.34475926456985	1e-06	True	optimal	huber	l2	3111696	1	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l2', 'estimator__random_state': 3111696, 'preprocessing_2__k': 1}	1464	0.3419833894615628	0.3431883785989732	0.34910622992269924	4.7263171821729416e-05	1.5225639362116557e-05	0.003112829747570208
0.027944405873616535	0.0012734731038411458	0.4679577038143462	1e-06	True	optimal	huber	l2	3111696	2	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l2', 'estimator__random_state': 3111696, 'preprocessing_2__k': 2}	1382	0.4345693107075026	0.4813145157212668	0.4879917420304666	1.6735029393215063e-05	3.361072511413556e-05	0.023766870316288564
