mean_fit_time	mean_score_time	mean_test_score	param_estimator__alpha	param_estimator__fit_intercept	param_estimator__learning_rate	param_estimator__loss	param_estimator__penalty	param_estimator__random_state	param_preprocessing_2__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.15266013145446777	0.005123535792032878	0.45096453855023827	1e-06	True	optimal	huber	l2	3111696	6	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l2', 'estimator__random_state': 3111696, 'preprocessing_2__k': 6}	1365	0.4276275035762258	0.4956352331706304	0.42963087890385876	0.0006957882861655814	2.98961645437275e-05	0.03159753784265568
0.15936748186747232	0.005319039026896159	0.45406225796395727	1e-06	True	optimal	huber	l2	3111696	7	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l2', 'estimator__random_state': 3111696, 'preprocessing_2__k': 7}	1328	0.4601916593642216	0.47936485510246984	0.4226302594251804	0.001162333150773907	4.400629756774438e-05	0.023563824785895138
0.17220099767049155	0.005526145299275716	0.46192113971960014	1e-06	True	optimal	huber	l2	3111696	8	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l2', 'estimator__random_state': 3111696, 'preprocessing_2__k': 8}	1237	0.43762268470507637	0.48596168177719745	0.4621790526765268	0.005223562057608479	1.6029500463885647e-05	0.019735155582608507
0.1753570238749186	0.00560458501180013	0.4402910309610672	1e-06	True	optimal	huber	l2	3111696	9	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l2', 'estimator__random_state': 3111696, 'preprocessing_2__k': 9}	1428	0.4331140380070171	0.49452574927405113	0.39323330560213343	0.0007147348767997848	4.452338852345026e-05	0.04166270680239918
0.19100642204284668	0.0063063303629557295	0.4513283925207218	1e-06	True	optimal	huber	l2	3111696	10	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'l2', 'estimator__random_state': 3111696, 'preprocessing_2__k': 10}	1363	0.45699078453873254	0.4923884299916572	0.40460596303177576	0.009115494462894795	0.0005801266507974749	0.036060018385231894
0.14631915092468262	0.005346377690633138	0.3796975372743489	1e-06	True	optimal	huber	elasticnet	3111696	1	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'elasticnet', 'estimator__random_state': 3111696, 'preprocessing_2__k': 1}	1610	0.36081799295532446	0.38047403114229394	0.3978005877254285	0.0007704252323235848	9.344494409412968e-05	0.015108061557275712
0.1596070925394694	0.005760590235392253	0.41562786693978127	1e-06	True	optimal	huber	elasticnet	3111696	2	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'elasticnet', 'estimator__random_state': 3111696, 'preprocessing_2__k': 2}	1464	0.42699781024782246	0.4510844061631386	0.3688013844083827	0.003474770611809652	0.00035404424913062393	0.03454061016054832
0.16331171989440918	0.005739053090413411	0.44992772476806747	1e-06	True	optimal	huber	elasticnet	3111696	3	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'elasticnet', 'estimator__random_state': 3111696, 'preprocessing_2__k': 3}	1386	0.46377395192815285	0.48699377128107124	0.3990154510949784	0.001001233952267404	1.290742982725838e-05	0.03722754097544973
0.17120965321858725	0.005756298700968425	0.4491626821962778	1e-06	True	optimal	huber	elasticnet	3111696	4	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'elasticnet', 'estimator__random_state': 3111696, 'preprocessing_2__k': 4}	1394	0.45037702323398854	0.48109975513771575	0.4160112682171292	0.001331614505646036	3.279293262091123e-05	0.026586133610333323
0.17697954177856445	0.005714019139607747	0.45562109874337303	1e-06	True	optimal	huber	elasticnet	3111696	5	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'elasticnet', 'estimator__random_state': 3111696, 'preprocessing_2__k': 5}	1300	0.433839539508841	0.4913239084315483	0.44169984828972964	0.0009609389969345567	7.596898744353594e-05	0.02544882549032177
0.18557659784952799	0.005803585052490234	0.45325608772054526	1e-06	True	optimal	huber	elasticnet	3111696	6	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'elasticnet', 'estimator__random_state': 3111696, 'preprocessing_2__k': 6}	1334	0.43664839386079246	0.4976776471063443	0.425442222194499	0.0022112616541705246	6.68332257403243e-05	0.03174219877443027
0.18745875358581543	0.005637327829996745	0.4445464450187618	1e-06	True	optimal	huber	elasticnet	3111696	7	{'estimator__alpha': 1e-06, 'estimator__fit_intercept': True, 'estimator__learning_rate': 'optimal', 'estimator__loss': 'huber', 'estimator__penalty': 'elasticnet', 'estimator__random_state': 3111696, 'preprocessing_2__k': 7}	1407	0.4632169057853833	0.4694719950185041	0.40095043425239807	0.0032632345086149664	0.0001441791004745687	0.030932621953575754
