mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__booster	param_estimator__max_depth	param_estimator__n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.021853504180908204	0.004916234325307717	0.0010329151153564452	0.00020511632850671736	gbtree	1	10	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 10}	0.2621968271462436	0.2535801544042582	0.24669345039134027	0.2639672152189452	0.273967453958346	0.24562054918292697	0.26502956138681655	0.2450499579383515	0.2739622638015582	0.26789082497173733	0.25001416055753034	0.2656684053967314	0.24345613949921074	0.2754119955848384	0.262504151479403	0.26990758451122143	0.24618011198017176	0.24486593496147935	0.27170188059537226	0.26468138693193144	0.26378864804264335	0.25373614321868254	0.26887318376908176	0.25616213375084995	0.2526710498230367	0.25755621099839854	0.2508408190231518	0.2652179845312793	0.27239878676874907	0.2530771613715451	0.25609352378365624	0.2675516221570059	0.2549627673781617	0.26008207785146364	0.26400471067363473	0.2711683914155224	0.2561819787147894	0.2565892121350932	0.25789913718460367	0.26114575938383633	0.26518680655354865	0.25477416846975753	0.26041245855705175	0.2639319188824094	0.2583361016275456	0.2652452496961404	0.26307493929739123	0.2520985796841543	0.25605454232781366	0.26282115110630677	0.25988556976860305	0.008315915587061176	54
0.06946175575256347	0.013474635116311409	0.0016475629806518555	0.0007736793392226926	gbtree	1	50	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 50}	0.427469243398905	0.41680771882136003	0.3822371978064384	0.42358705596837287	0.4288933279486017	0.41054979253628354	0.4242501430844777	0.3885452668589703	0.43693449091532544	0.42196496485134183	0.39019672950633066	0.42270591026496274	0.3901400111615162	0.441910848069885	0.43407891842411184	0.43478174376038237	0.3868102733272437	0.3946086947589609	0.44365983445547175	0.4224228928334087	0.4262622502364436	0.39388267055995685	0.4467080452795068	0.40440840961389557	0.4048946968407644	0.42570189909075284	0.3983097333017771	0.4156872554939587	0.4370450070931233	0.4061285583255384	0.4069816180773411	0.43327566036505416	0.39753013097391166	0.42730552547432177	0.420911932876729	0.41822961541447357	0.42613174693562794	0.4062888280671717	0.42035760733357186	0.41309932847690645	0.42303549136253205	0.3994209648183783	0.41541397226885124	0.410618147720872	0.4336608040651455	0.4203297300664144	0.4169266800258794	0.39121219370092153	0.425155631635742	0.42486896166601207	0.41624648387453567	0.01610646791293509	38
0.13636587142944337	0.026577899043106326	0.0025345659255981445	0.0005181330856216867	gbtree	1	100	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 100}	0.4411585259601596	0.4258355524318874	0.39124663825850436	0.4354854106904099	0.4377426044328535	0.4223856339600731	0.4330839071654089	0.40004898275924494	0.44858605211814473	0.4315229802261358	0.39927750740692813	0.4324537810539826	0.39827636410615785	0.45332520779208063	0.4483310286686195	0.44464102331553146	0.391786986657807	0.40672922750678	0.4591961675816998	0.4343556433971445	0.44051099144818884	0.3999963937294212	0.4617127710159966	0.4131865992491177	0.41536381980677284	0.43665123541790163	0.40697302983841244	0.42387945540178806	0.45382948057577255	0.41493812114522255	0.41574378704223414	0.4453867874032881	0.406822220183402	0.44155904454688255	0.43254601527234793	0.4248534607807338	0.4416605056854582	0.41694823581687546	0.4334392998849267	0.42094232323042347	0.4302938355752991	0.4074463096133123	0.42495281454761513	0.4235841085371346	0.446266934271104	0.43168036451485325	0.42624754803355014	0.3989377774093006	0.4360750788678316	0.43883960703804636	0.42693424768378446	0.01783260970636662	36
0.23685171127319335	0.02826208601483992	0.004490346908569336	0.0003212279960238463	gbtree	1	200	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 200}	0.4443914052556953	0.42487984718295657	0.3923165175671104	0.4365434116179864	0.43704201189877545	0.4231698492237541	0.43179186834743266	0.40348452668769175	0.45065473908358067	0.4356314194152957	0.3990810323496745	0.43077991593723386	0.39773153191435284	0.45364021489088757	0.4489557568831376	0.4390380689165977	0.3900672617017453	0.41080294281284446	0.46377890458484683	0.43532157175174624	0.4387696763500659	0.39849463821648334	0.46676259214873594	0.41397635726204884	0.4146145359194576	0.43715413249428636	0.40710122591179365	0.4241904353281497	0.459604439385893	0.41661634501615863	0.4174372386797812	0.4463680636914894	0.40774824198719584	0.44517204207930106	0.43301741931114224	0.4259921681093557	0.4469237700706449	0.41840880183878215	0.4350523444998702	0.4181852064811541	0.42978484571919473	0.40729390379313235	0.42397899505153336	0.4256878219699036	0.44941152854281663	0.433015931750078	0.4279030030825398	0.39972643424500054	0.4373468138745755	0.44035076125636397	0.42790313443177064	0.018572265778940767	33
0.03429973125457764	0.006882859129861843	0.0010679197311401368	0.00020649130019264613	gbtree	2	10	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 10}	0.4333549305928065	0.42077249338459255	0.4200742304427679	0.44051085826287706	0.44875799508439707	0.4226555076545764	0.4466075304910513	0.4192791664714378	0.44316058254393087	0.43912701320550596	0.4203158439727641	0.4428650355029671	0.41908661960735083	0.4429096939500493	0.44346012086763975	0.4449605573025708	0.41466219868648346	0.42731404626319336	0.4491284758062919	0.43623600972523024	0.4430630108444944	0.4266322809124846	0.4546571902984644	0.4291523867894973	0.41541519011602446	0.4353568443828436	0.42205570644780244	0.43071009838976115	0.4437810750179988	0.4379346723567352	0.434803590080339	0.44060174372085414	0.42482373842464005	0.43266709510667045	0.4430092844899157	0.4496546681331287	0.43594654689102463	0.4192576228241479	0.43268578976416205	0.43603780097772216	0.4431479024761865	0.4281405798615986	0.41999562682867597	0.4307978220979547	0.44619143466202227	0.44065822124072407	0.4342739893108648	0.4254369128681934	0.4392811819267526	0.43130196191497416	0.43405421080252904	0.010179902438107758	31
0.1269236183166504	0.017578202400468108	0.0019987010955810547	0.00022824412336658342	gbtree	2	50	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 50}	0.6412348442355114	0.6137193996697342	0.5965792723955331	0.6284476762556219	0.6323427378593132	0.6149221087687378	0.6358219609637288	0.5965278473501346	0.6376295900958608	0.6386433393386681	0.6104992114453833	0.6347326436935127	0.6072589299619758	0.6293881740467278	0.6318868314592117	0.6337841332613448	0.6076217280959	0.6185848113578909	0.6523083508657526	0.6153293728316079	0.6295818028953848	0.6046082282691891	0.6599565664915876	0.6152816466477931	0.607758329888457	0.6290583154741519	0.6101363551953206	0.6141808564249907	0.6342862656642294	0.6330612820359478	0.6274522158865187	0.6349673605962372	0.6007550601010043	0.6254293700172917	0.6372075827867274	0.6368334110402223	0.6399630868770299	0.6052910175822305	0.6275259708387326	0.6173659239148299	0.6364745147112032	0.6123018137609259	0.6056047183347897	0.6238487410623272	0.6418907198612134	0.6217018084944574	0.6252600708842665	0.6070740949180463	0.6388309789947764	0.6299396058089746	0.6242180127916194	0.014334030223502086	23
0.22477525234222412	0.021788151879549404	0.0037204837799072266	0.0003172771125684181	gbtree	2	100	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 100}	0.6625891981835224	0.6295342744164006	0.6197652371361926	0.6494407829483011	0.650169232004304	0.6306881580910713	0.6572674400776519	0.616691249555287	0.6570346710161323	0.6553337155699339	0.6279718226517128	0.653525142642913	0.6335480046505908	0.63934304941656	0.6428161440133939	0.6549395623583265	0.6330837438385178	0.6406677636502539	0.6679134810473384	0.630665601590252	0.6467449984075477	0.6217535286460356	0.6773172943009855	0.6277075699615252	0.6260042736158689	0.653100123405689	0.6354719276451783	0.6253028207150246	0.6541000987244395	0.6549126233965266	0.6500614753861437	0.6589603211055661	0.6204762397388517	0.6417966167363837	0.6530210500696584	0.6559086839130398	0.6563509206844174	0.6248255057598455	0.6438353292024597	0.6380964197810801	0.656591886787139	0.6300441472846315	0.6223772899959138	0.6440660836290752	0.6599598689974496	0.6350092036286181	0.6537113027747008	0.6242641880304047	0.6553644029197048	0.6499226924321759	0.6430014716808329	0.014398479323055307	21
0.4355460739135742	0.045403659355029595	0.007167396545410157	0.0008388563286551859	gbtree	2	200	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 200}	0.6693770918886657	0.6365637237323591	0.622947573195274	0.6541218912139404	0.6553874166099043	0.6384645474820443	0.6595890623507377	0.6212160625714009	0.6668974420288003	0.6679198446366774	0.6376865437382455	0.6636092437396415	0.6421312614817553	0.6446058930787868	0.6473599843778752	0.6567893858848084	0.6413416822143436	0.6485136066315187	0.6755696014889807	0.6347763193995988	0.649498513869367	0.6264034808037002	0.6780301079828011	0.6378821318110164	0.6355577530520544	0.6581180834557541	0.6372502583996127	0.6305995255078164	0.6608999981565014	0.6621669915241862	0.6569373827180789	0.6689249250344972	0.6225296684384173	0.6518606584663127	0.656013656317058	0.6627917619327957	0.666143297691484	0.6296528572873703	0.6492550681135694	0.642008536485248	0.6675431498505333	0.6394668464330108	0.6303711294052148	0.6489480735940321	0.6673781066627469	0.6361715723107169	0.6620120258285072	0.6334715188870355	0.6616724695412226	0.6556896094704319	0.6494029160183006	0.014816766777463656	19
0.042248597145080564	0.006709042355078535	0.0010281991958618164	0.00013439047794440356	gbtree	3	10	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 10}	0.49387778851190467	0.4805481439105991	0.46572021708477307	0.49687066118339485	0.5047774552368842	0.48268326348330204	0.4968052723793881	0.47177553131118544	0.49219147619117254	0.5009432393181568	0.47348482699154426	0.4946608551813976	0.473565942988875	0.4969258155523313	0.5012906353728166	0.49675581737534413	0.46738352071689304	0.4844079948530684	0.5026666724359546	0.4878586769933082	0.4966562551050173	0.472376468198628	0.5070848093069631	0.49042345924084363	0.4679201481648003	0.49130092926643865	0.47669163469560094	0.4875288624664321	0.500821582467667	0.49256969133252315	0.49700396477715625	0.49008187124395	0.47857129530086695	0.4819021703421712	0.5001113897717828	0.5039681165017538	0.4891771980281512	0.4655910240204042	0.4924905484110266	0.49074598585290086	0.5023260815191228	0.48056492736275813	0.4701734827204017	0.4911129902167396	0.4951388390533267	0.4855754431486604	0.49379873688005205	0.47005456674928825	0.4966203905380089	0.48927874967222995	0.4882571154557895	0.011475199581056172	29
0.1861819362640381	0.023156669554537865	0.0025722599029541016	0.0003540183522456505	gbtree	3	50	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 50}	0.6798628064041805	0.6438118703624837	0.6351563707686966	0.6678201103623158	0.6719999361409386	0.6539971931689759	0.6695489776021228	0.6292864917088481	0.6726820107711626	0.6793890892246828	0.6494796305646959	0.673517290056441	0.6508627848914009	0.6593340505012155	0.6609643268930734	0.6671161145803179	0.6452734326933653	0.6544620964374028	0.6873558980301769	0.6501532441980097	0.6591268106647769	0.6385891078593269	0.6939125532882782	0.6513198681615704	0.6486529166852049	0.6667896470490076	0.6515282740436179	0.6522489783207222	0.6661743895630512	0.6690600728433833	0.6762584586084037	0.6710858734983889	0.6263605239502655	0.6636796686906374	0.6738928369858843	0.6724889681456614	0.6716639962210149	0.641034777312717	0.6681190571365744	0.6456148165964426	0.676536468295519	0.6481543301576349	0.6412408925791288	0.6630168924176029	0.669940460081041	0.6518710604567809	0.6635449127603477	0.6367798005975643	0.6802802709424648	0.6659437690525382	0.6601400186684726	0.015037044508569235	17
