mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__bootstrap	param_estimator__criterion	param_estimator__max_features	param_estimator__min_weight_fraction_leaf	param_estimator__n_estimators	param_estimator__random_state	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.012761259078979492	0.0009106811345376981	0.0015691280364990234	9.98511810703112e-05	True	mse		0.0	10	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.7408813266965735	0.5312809766870172	0.149223082842041	0.6146335700602303	0.5911524384076263	0.5237684999000906	0.20193797755400897	39
0.055141639709472653	0.005639331246720421	0.004585170745849609	0.0008730114689522181	True	mse		0.0	50	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.6969254799307376	0.5572483114426305	0.3146066350116422	0.6401672291611082	0.6757216450629757	0.5751916971757925	0.14049731337931387	11
0.09640645980834961	0.004938620677047695	0.006986188888549805	0.000534659952851796	True	mse		0.0	100	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.7228929089719692	0.517032029019499	0.2971918218124774	0.6507046389980065	0.6714497541339629	0.5699354571252733	0.15429380229157347	13
0.1566920757293701	0.00113372914843998	0.011264705657958984	0.00029028832659779816	True	mse		0.0	200	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.7069576068442945	0.525617846040535	0.29470492787125047	0.6467050195286584	0.6775572305744136	0.5683338466260303	0.15196412908076057	19
0.00926065444946289	0.00042088287771201974	0.0011959552764892578	5.7008948417155914e-05	True	mse		0.1	10	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.6143699298295162	0.4725857480462441	0.0997595015416225	0.5976969160523009	0.6755171947411756	0.48887572476572955	0.2079411079314362	51
0.03782134056091309	0.0011546284788921848	0.003347015380859375	0.00012186745089286225	True	mse		0.1	50	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.6604832951215514	0.4369199983278571	0.11780605384632759	0.6264689275349173	0.6836912375100219	0.501847963112128	0.21340212557451194	47
0.07158584594726562	0.00046422401639450235	0.005921220779418946	0.0001078570025502406	True	mse		0.1	100	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.6807423559883843	0.4539869543664907	0.09632270631674489	0.6225194077655941	0.6719658792142	0.5020507901333018	0.22141224359865738	45
0.1502474308013916	0.017864213463915167	0.011150026321411132	0.0005395950171746354	True	mse		0.1	200	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.6675233318282981	0.4558188755101942	0.09915829234912654	0.6330377051391369	0.6622679677192953	0.5004624903818983	0.21789883451581607	49
0.009203624725341798	0.00019468399853775524	0.0011919021606445312	4.5741435471660645e-05	True	mse		0.25	10	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.5975210579564625	0.4785151965598068	-0.04456970368721436	0.5215084159634218	0.5969782237133043	0.4272110105369152	0.24338365526435382	89
0.035393476486206055	0.0008998323627463685	0.0031566619873046875	0.00014422775216928535	True	mse		0.25	50	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.6338135829984324	0.4970931729479071	0.06141195685824086	0.5237977339397648	0.5962771724630543	0.4603806866509438	0.20807013986433345	67
0.06791563034057617	0.0012949568939493717	0.005843210220336914	0.00021452783451561267	True	mse		0.25	100	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.6408550665163336	0.48754600511322865	0.07986492654740196	0.5173219443799434	0.5919917849581025	0.46155592573599075	0.2009103618181023	65
0.13474822044372559	0.0018830508452892367	0.010667943954467773	0.00017464714074081345	True	mse		0.25	200	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.6418017598614804	0.47688520204740814	0.09281074512873955	0.5242378876254425	0.5909060920753789	0.46334460288526574	0.19611347127330145	63
