mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__bootstrap	param_estimator__criterion	param_estimator__max_features	param_estimator__min_weight_fraction_leaf	param_estimator__n_estimators	param_estimator__random_state	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.02071552276611328	0.000633763644506803	0.0017359256744384766	5.600736102555882e-05	True	mse		0.0	10	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.26923834591433216	0.3228703465324865	0.4159968743140673	0.38232998057200784	0.25781694388487564	0.3296504982435539	0.06178427414315035	83
0.09437022209167481	0.009818670888723463	0.006508684158325196	0.002697948722627262	True	mse		0.0	50	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.3006408220878515	0.3213923378479471	0.431884384169549	0.3844606792092956	0.24297856727210798	0.33627135811735026	0.06581569202520306	55
0.1656975269317627	0.019782655998226623	0.008733129501342774	0.0006879796636768391	True	mse		0.0	100	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.3038635497454726	0.3266436009235474	0.42877168512548736	0.3827665780515346	0.24714622703246614	0.33783832817570164	0.06291595622808345	49
0.30333938598632815	0.028921124706291462	0.015922689437866212	0.001542422942230347	True	mse		0.0	200	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.30732302846297876	0.32398964343645653	0.426397352001877	0.38478328009887497	0.2499551219715691	0.33848968519435124	0.06146679656622397	47
0.01259164810180664	0.00031262381605342724	0.0013370990753173828	8.524314797914423e-05	True	mse		0.1	10	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.40512615011638853	0.29778836348011506	0.40332117654550126	0.37803056478649355	0.34155471407648896	0.36516419380099746	0.04078079653794005	7
0.05031023025512695	0.0024545261550628947	0.003640604019165039	0.00012910381688736376	True	mse		0.1	50	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.40576395811659904	0.30675153028210633	0.40485192407395965	0.37741480588293896	0.34866725598678483	0.36868989486847786	0.037404731437653826	1
0.10917248725891113	0.0031445803163759577	0.007301521301269531	0.0004870799120241774	True	mse		0.1	100	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.40610896840289423	0.30587561214180725	0.40348392006955436	0.3788070092073451	0.3459727182632286	0.3680496456169659	0.03787564359393199	5
0.19473848342895508	0.008873469340010159	0.012491941452026367	0.00044600465965686224	True	mse		0.1	200	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.40604411548268504	0.3056653588576079	0.4041569627543856	0.38008421206375054	0.344610787243243	0.36811228728033446	0.038297019667981	3
0.0115875244140625	0.00020838310837355162	0.0012564659118652344	4.995947405090441e-05	True	mse		0.25	10	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.287033429656918	0.2612451913958368	0.3557717678709771	0.28631101581383633	0.251545999316353	0.2883814808107843	0.03644389045480901	103
0.04409680366516113	0.0006729939780796086	0.0033367156982421877	6.682008098063202e-05	True	mse		0.25	50	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.29286133200483455	0.26328208582019974	0.3565023769153153	0.29434094742044503	0.2527663831092919	0.2919506250540173	0.036140729530854836	97
0.08580942153930664	0.0009151999986082342	0.006266117095947266	0.0003933923894670593	True	mse		0.25	100	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.29234496258623244	0.26350507854378846	0.3568621623691831	0.2900717104882736	0.2533906356280339	0.29123490992310236	0.036085049975598714	101
0.16856555938720702	0.0027842000498126576	0.011600160598754882	0.00016709537498254756	True	mse		0.25	200	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.2928441793657498	0.2638187892041798	0.3568363132371629	0.2893562733032906	0.25650146418995445	0.29187140386006744	0.035399698997521066	99
