mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__bootstrap	param_estimator__criterion	param_estimator__max_features	param_estimator__min_weight_fraction_leaf	param_estimator__n_estimators	param_estimator__random_state	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.03346538543701172	0.009236544357833228	0.0022063255310058594	0.0006703578688418396	True	mse		0.0	10	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.984914844181808	0.9711411527539173	0.9914574874599242	0.9201237239679502	0.9679112348694385	0.9671963418991572	0.02496442948728685	13
0.09949693679809571	0.006331134143020019	0.006963777542114258	0.003014575044987069	True	mse		0.0	50	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.9868707507447955	0.9895963683064348	0.9932099654958639	0.9142413470291332	0.9646006552077919	0.969850878802588	0.029408127748985886	9
0.23439607620239258	0.04922791676546367	0.012736654281616211	0.0029511261748471217	True	mse		0.0	100	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.9873595241897098	0.9897395880084747	0.9941789802486907	0.9147523916696347	0.9668061494301687	0.9707100428156038	0.029376475060083163	5
0.6232207775115967	0.02905868129663556	0.02735309600830078	0.0025164152220405298	True	mse		0.0	200	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.9866993775023685	0.9921731542825937	0.9940068873624478	0.9149425076996951	0.9678745913218794	0.9712845176199769	0.029512533904709023	1
0.027097368240356447	0.003763738033842068	0.002463960647583008	0.00032334533381908403	True	mse		0.1	10	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.9662984548558617	0.9808428747471083	0.9663627957179934	0.9111351443445262	0.9148274376498379	0.9480971297435292	0.028998969682209694	47
0.09768109321594239	0.005306838367881467	0.006194925308227539	0.00037300047149730324	True	mse		0.1	50	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.9680234384737015	0.9819923690335626	0.9638380068295405	0.914230371644333	0.9207586245044423	0.9499688743324851	0.027099658211148656	39
0.18535361289978028	0.010524480077140883	0.011244726181030274	0.0011580250440445653	True	mse		0.1	100	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.96765713954797	0.9814959950593762	0.9638698341605185	0.9137698919074277	0.9218717785532804	0.9499300995874446	0.026822509557047507	41
0.3946042060852051	0.028361673533128188	0.024616193771362305	0.0030355539982427114	True	mse		0.1	200	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.9682240437613766	0.9821286381575818	0.9627569441684598	0.9137666794862047	0.9214811850908808	0.9498739175204133	0.02702324208362052	43
0.02627882957458496	0.0008044995333216336	0.002515268325805664	0.00023412546168955625	True	mse		0.25	10	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.8638384547123071	0.8839800965963012	0.8534923371467642	0.8043636975188316	0.7841598596418133	0.8382521461591645	0.03755230363696347	97
0.09402332305908204	0.0034515780131769403	0.007159137725830078	0.0004848450023578071	True	mse		0.25	50	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.8499427577740166	0.8634755658542552	0.8458629487495467	0.7985392093793675	0.793194138769196	0.8304132910712198	0.028674136171627295	111
0.16538515090942382	0.02354689278194424	0.010690879821777344	0.002143187038681865	True	mse		0.25	100	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.8593701680472876	0.8690695028072547	0.8463081210162544	0.7954545136130728	0.7937237079124564	0.8330346838915511	0.03201473303479186	105
0.3357831954956055	0.03757484899532733	0.025958681106567384	0.00863915180751226	True	mse		0.25	200	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.8590364874245191	0.863674738022113	0.8456829456597579	0.8007017482699291	0.7890861791092194	0.8318722863084269	0.03078749254848622	107
