mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__bootstrap	param_estimator__criterion	param_estimator__max_features	param_estimator__min_weight_fraction_leaf	param_estimator__n_estimators	param_estimator__random_state	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.012248754501342773	0.0002660800478765255	0.00143585205078125	6.449645181935912e-05	True	mse		0.0	10	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.4307164610426103	0.4868056840429422	0.6143828554275155	0.4233038696828687	0.5928454243095603	0.5096108589010994	0.08012298363958645	41
0.051560401916503906	0.0002671872248087426	0.004056596755981445	4.968556240441267e-05	True	mse		0.0	50	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.42231326554317694	0.4876256295761533	0.6091360439686313	0.4254564483184211	0.5980597631008813	0.5085182301014528	0.08112790748376693	43
0.10194225311279297	0.0009854929963166894	0.007370519638061524	0.00014334564095590697	True	mse		0.0	100	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.42568748967371384	0.4887004554983847	0.6109270212113416	0.4277647711811523	0.5982744300805003	0.5102708335290186	0.08037807501429	17
0.19672756195068358	0.006392736279655915	0.013912105560302734	0.0006258896423799221	True	mse		0.0	200	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.4274293158512561	0.48772117776819757	0.6110384248111842	0.427652732884088	0.5976507812710334	0.5102984865171518	0.07998289001659105	15
0.009851455688476562	0.0003892904225073827	0.0013063907623291015	0.0001513205438848495	True	mse		0.1	10	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.3463596629861375	0.4570480572697049	0.5617693358426687	0.37678311056489455	0.49294708609529325	0.4469814505517398	0.07802946353923797	77
0.04105486869812012	0.0014197625888270372	0.003397083282470703	6.725561188172741e-05	True	mse		0.1	50	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.3493750085325248	0.46411394275303774	0.5632783633482358	0.37477893415249286	0.5032331728063998	0.4509558843185382	0.07955374378473876	71
0.07862868309020996	0.0004590612290324921	0.006091403961181641	4.542544082702376e-05	True	mse		0.1	100	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.34720810078228004	0.4693843373165819	0.5629051248322612	0.37372472752580443	0.5074440117583663	0.45213326044305874	0.08097465278554261	67
0.16127309799194336	0.007116092458112103	0.011912107467651367	0.0004525356219126656	True	mse		0.1	200	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.3445248080335327	0.4690669340369903	0.5624693906744366	0.37628886211387547	0.5054901601023436	0.45156803099223575	0.08079371763113892	69
0.009115076065063477	0.0001574546766304001	0.001176595687866211	2.8766760189073137e-05	True	mse		0.25	10	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.2677355226082495	0.3823578453413573	0.46736142844063144	0.25924678705793014	0.3881323781663728	0.3529667923229083	0.07903719873805509	127
0.037698793411254886	0.00019717204383375885	0.0032282352447509767	6.822428356221761e-05	True	mse		0.25	50	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.25923426519257253	0.3867165744752008	0.46502700245417083	0.2669651267061931	0.40209755475219855	0.3560081047160672	0.08030715476543518	125
0.07429594993591308	0.0006707058035625585	0.005836105346679688	0.0001533728466313729	True	mse		0.25	100	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.26406511131712584	0.3860851796026116	0.46720771020446195	0.27100080885922595	0.40574522095679566	0.35882080618804424	0.07922620950499547	121
0.18092865943908693	0.01792840132390718	0.014316511154174805	0.002544065793400569	True	mse		0.25	200	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.26381222865869614	0.3832665215654807	0.4665728815579784	0.2682961038511541	0.4046533302409616	0.3573202131748542	0.0793962412816632	123
0.01099700927734375	2.5824331259918762e-05	0.0014490604400634766	9.799438661816024e-06	True	mse		0.5	10	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.5, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	-0.005967061330625523	-0.0086122809973046	-6.09442292187623e-07	-0.006013766461342218	-0.002318569352602662	-0.004582457516833438	0.0030438058971582497	221
0.04576730728149414	0.00010678288808217442	0.003954458236694336	5.961482914701147e-05	True	mse		0.5	50	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.5, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	-0.004501754831363947	-0.007877062668463441	-0.00017890246214657957	-0.007325087616822268	-0.002215316366254383	-0.004419624789010123	0.0029409195077092706	217
0.06878571510314942	0.0006979442924650176	0.005481290817260742	9.122374652102153e-05	True	mse		0.5	100	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.5, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	-0.0039276682130111595	-0.0052146029615902645	-0.00010378954603296187	-0.007030433736459063	-0.001981239334471363	-0.003651546758312962	0.0024212712814081247	197
0.1446807861328125	0.008054200649548168	0.010985851287841797	0.0005128003992653338	True	mse		0.5	200	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.5, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	-0.003516620507139523	-0.00591495058456859	-0.00019581723672090767	-0.006503866465656705	-0.0019915957297891307	-0.0036245701047749714	0.0023651974518498643	193
0.006487226486206055	9.539634743057794e-05	0.0	0.0	True	mse		1.0	10	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 1.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}								291
0.024067783355712892	0.0007098244223955629	0.0	0.0	True	mse		1.0	50	3111696	{'estimator__bootstrap': True, 'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 1.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}								290
