mean_fit_time	mean_score_time	mean_test_score	param_estimator__epsilon	param_estimator__fit_intercept	param_preprocessing_1__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.01939868927001953	0.0003643035888671875	0.08360105102440452	1.0	True	1	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	41	-0.17033464735416093	0.4211378004273745	0.0	0.0031038044702834293	0.00026939632566756684	0.24859842573979843
0.0232696533203125	0.0004183451334635417	0.21615433523977406	1.0	True	2	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	32	-0.06408396376975989	0.33846654769625373	0.3740804217928284	0.0019483581552454385	4.591454627190993e-05	0.19869107542591402
0.04097302754720052	0.0004010200500488281	0.14781386642953812	1.0	True	3	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	34	0.08698864886028945	0.6385849055518986	-0.2821319551235737	0.0174345128846836	2.851935365103871e-05	0.3783337721309797
0.03957263628641764	0.00041556358337402344	0.4458911505727806	1.0	True	4	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	13	0.17821847744628716	0.5201516720226349	0.6393033022494197	0.01344270523301458	3.538086728943645e-05	0.1954239369515022
0.03618725140889486	0.0004723072052001953	-0.4097621618734807	1.0	True	5	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 5}	113	-2.325449220740658	0.6223829674763541	0.4737797676438621	0.010679345278446878	2.9406461591343923e-05	1.3559531477607665
0.03626203536987305	0.00044083595275878906	-0.12835911192494537	1.0	True	6	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 6}	59	-0.9518741833915634	0.6203969311270943	-0.053600083510366936	0.005878034762286113	1.763115736256336e-05	0.6440501008640834
0.045510450998942055	0.0004691282908121745	-0.02030341444491608	1.0	True	7	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 7}	49	-0.9144327671318218	0.6842069430538252	0.16931558074324826	0.00776176238734643	7.0359293552689115e-06	0.6662725934869497
0.044911702473958336	0.0004062652587890625	-0.35986759482967456	1.0	True	8	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 8}	98	-0.7873887827003541	0.18826936019849372	-0.4804833619871631	0.012161232399135281	2.9600413144422405e-05	0.40733960067446534
0.04545283317565918	0.000459591547648112	-0.3833007589053784	1.0	True	9	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 9}	105	-0.7574283970854285	-0.18672223703077284	-0.20575164259993373	0.008150831012362497	6.000869284281274e-05	0.2646622335565539
0.04258147875467936	0.00044655799865722656	-0.34304450113453194	1.0	True	10	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': True, 'preprocessing_1__k': 10}	95	-1.0434989913358623	-0.11352014471724559	0.12788563264951225	0.007471326662288391	4.8897319805111066e-05	0.50500597816192
0.011498451232910156	0.0004020531972249349	-71.44011624278589	1.0	False	1	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 1}	136	-132.45689130400723	-70.43929754966199	-11.424159874688462	0.0014600698630637613	2.948261008590929e-05	49.41647328474437
0.020495017369588215	0.00044790903727213543	-6.788579660707031	1.0	False	2	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 2}	133	-11.428532681125194	-0.06497151961590508	-8.872234781379994	0.00817914982963487	3.387800398906562e-05	4.867500697775713
0.025090853373209637	0.0004451274871826172	-0.6267840571805234	1.0	False	3	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 3}	123	-1.4514525529702729	-0.1042147342597668	-0.3246848843115304	0.009155738013564561	5.113101227101666e-05	0.5900341050747591
0.029279232025146484	0.000471035639444987	-0.21886710832799086	1.0	False	4	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 4}	73	-1.021572329334759	0.497680082446213	-0.13270907809542654	0.01058191799260888	6.693672081389607e-06	0.6232171249817309
0.037799676259358726	0.000467379887898763	-0.4411747296546923	1.0	False	5	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 5}	116	-2.34450205441591	0.5990627164937157	0.4219151489581172	0.008489769033105126	9.409398644091076e-06	1.3477973374010315
0.04790703455607096	0.0005127588907877604	-0.008282193954038864	1.0	False	6	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 6}	43	-0.9638178283782193	0.4794830954741779	0.45948815104192475	0.015753174319939008	5.601207460226008e-05	0.6757150340893355
0.04841121037801107	0.0005544026692708334	-0.009080463493175506	1.0	False	7	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 7}	44	-0.6819171139154696	0.5084169866449835	0.14625873679095958	0.006488524905400318	8.065747475375493e-05	0.49821114539784683
0.045444329579671226	0.0005058447519938151	-0.3127925610760529	1.0	False	8	{'estimator__epsilon': 1.0, 'estimator__fit_intercept': False, 'preprocessing_1__k': 8}	86	-0.796813887529422	0.16035630158858316	-0.30192009728731994	0.006060912725268491	6.0003640613731625e-05	0.3908387140374551
