mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__criterion	param_estimator__min_weight_fraction_leaf	param_estimator__n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.013598470687866212	0.0028044009399768614	0.0014842891693115235	0.00030943920436899677	mse	0.0	10	{'estimator__criterion': 'mse', 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 10}	0.4705971567898173	-0.2763669227293266	-0.1259655478178121	0.3345314798470139	0.15059485881553847	0.12138788306985782	0.12402831760133248	0.3799225136239781	0.2933747574868173	0.39902838260255147	0.23089489993996115	0.0880661016460551	0.4687636733655557	-0.4180703972779103	-0.2182329846900104	0.08644703168366807	0.21401891863166356	-0.2766274896312837	0.43625770220707305	0.34309003605672383	0.22033945011100275	0.5371889036267546	0.125148490532333	-0.046673556003885563	0.4402060666521185	-0.002850572717805644	0.30354814537279873	0.36335213596141813	0.4270065249133055	0.3196086869495597	0.08572635013417029	0.24246168831904302	0.30754367414490635	0.3334831662224007	-0.16088782339997398	-0.20868853577030633	0.06750736058191886	-0.2679565449543493	0.6008817627719156	0.19839636757990886	0.24327669992925272	0.18971150603067855	0.11266988274397538	0.0754221294388856	0.08993829528427777	-0.010866843938545756	0.0820215287379027	0.4087382427540842	0.22165127159308995	0.1324248503140949	0.16478535350067997	0.23113194433802625	24
0.053845672607421874	0.0052557469138165	0.00431422233581543	0.0005781051808453072	mse	0.0	50	{'estimator__criterion': 'mse', 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 50}	0.3697390641788577	0.18758249462542276	-0.07975616820700604	0.4479410132064987	0.24909047331447798	0.09406171435720811	0.08051491876721406	0.3683312886215453	0.2715508691437557	0.5099847414710107	0.23069821795399892	0.1685206081178472	0.49572206426010723	-0.009186054273189637	0.12478014946187677	0.13370137812541283	0.29800595572493604	-0.15674073822979784	0.35101807249854244	0.27671779026669885	0.29425775852700564	0.5122775301954076	0.19067991916756	-0.0035941361802287464	0.35526765300855956	0.07711492922982022	0.36138791994504815	0.2848391894525395	0.44357348835706034	0.1812150473619636	0.0657337691347668	0.27897246542604415	0.38575958014929246	0.4200887332099055	-0.0078970164069605	-0.17396876491850222	-0.030216971192702724	-0.037572846210015554	0.5557033719896559	0.3208913143987825	0.05032513750057066	0.2193418211745929	0.1288615140825201	0.06206907886992352	0.20606857616860264	0.1991862740108682	0.39133097965633057	0.33844960223631004	0.25853013225241583	0.13501480749411043	0.21715078900228807	0.17589656944945573	14
0.10207758903503418	0.0031114025040895692	0.007616367340087891	0.0006751855932553115	mse	0.0	100	{'estimator__criterion': 'mse', 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 100}	0.393101311058765	0.21145537788641044	-0.005377889067914143	0.4677550251893563	0.2511680279615135	0.12948487223645078	0.10034207400560291	0.3692692922559577	0.31234765710501455	0.4902648313396549	0.2898280658110476	0.15794358069402847	0.45009003742656895	-0.055127260233380326	0.05716991124753712	0.11290745713633465	0.35455282242146335	-0.0986787547759369	0.39376848643981355	0.2696819043338571	0.2906249473611697	0.48528544603048673	0.14366084957797431	0.02538528098146886	0.3377402977817269	0.031803206593004396	0.3866132885678156	0.32692458408153025	0.4407061961327088	0.18002636516620707	0.10474071183783085	0.2439933060743692	0.3684993539631948	0.4418003694656334	-0.08932335206913478	-0.14150337584396055	0.04738598269180827	-0.08170624765733892	0.587209670609113	0.28025217719939144	0.03808324124432305	0.24698924520106635	0.13156679825750917	0.13276475967617118	0.23806128494250833	0.20142583702296313	0.3348514066511953	0.4152247659885817	0.34095549560105665	0.10963647176825653	0.22470546902750657	0.17589605774067085	13
0.20457065105438232	0.009308238868899222	0.014629292488098144	0.0014054693955064263	mse	0.0	200	{'estimator__criterion': 'mse', 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 200}	0.37794930579231734	0.16045997487584862	-0.010878946118850541	0.4470627689036504	0.24249460579715232	0.10313318186250697	0.14331544081150194	0.39413475917329277	0.28452891346580367	0.45737216656994273	0.27919148984861086	0.14878655782572148	0.4937206012218299	-0.0852564993912861	0.038688640291041465	0.08177815249692622	0.32099656781896724	-0.15528418057656102	0.3901991894053852	0.31509881001480533	0.3070333399071229	0.4968607304776371	0.1602436440748929	0.008406821581017132	0.3661846333031544	0.043163136569565164	0.3757918011681186	0.3224729279900034	0.43010201897541933	0.17723788520399653	0.08081966981808453	0.2891469775396709	0.3664661117304667	0.450755184877933	-0.0626789880943377	-0.16732215440223674	0.041834302284937785	-0.012787072223924056	0.5965662214997601	0.31642537586377484	0.12762710913251973	0.28843910916621596	0.13580060243744796	0.1522800691659748	0.23003815661413818	0.20157080282695383	0.3573952760324085	0.39279826692581155	0.3125227518005641	0.11731321890451674	0.2262775199168841	0.17771342890247377	12
0.013421583175659179	0.0030024818090893675	0.001499156951904297	0.000329809675841472	mse	0.1	10	{'estimator__criterion': 'mse', 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 10}	0.5945300344396245	0.33262412464749447	-0.0515826701077815	0.5705758596755661	0.21127953943047817	0.20206164408632477	0.21236675242797554	0.5273058592332707	0.24578777046369782	0.5736631142985129	0.4391119727539644	0.1682071392179466	0.48936835873403917	-0.04295227628227338	0.34035348158535894	0.26799790131406664	0.7045844953947411	0.10688769795089492	0.43724735273940585	0.22320795506608637	0.3948984920746462	0.30853729371592165	0.4254029748365854	0.07950119863297334	0.3497520876215565	0.34716173957716046	0.2817523624477556	0.2849411371084769	0.4325585114721435	0.4390086281278097	0.11903356673269594	0.5041445267670621	0.40711060394634013	0.40641488976404294	0.288931027719305	0.061521277599631	0.5141337530498635	0.08085529810065062	0.35345915641666803	0.3378813877627438	0.23128473382883097	0.36955024643976575	0.20440766706317415	0.3184004027027687	0.28944858555465236	0.5761968210949971	0.2625055379536171	0.4360722444050984	0.4451854798518359	0.1592276218774965	0.3255016733970873	0.16435013433779283	5
0.05141357421875	0.006858952761534735	0.00419736385345459	0.0006164413580047805	mse	0.1	50	{'estimator__criterion': 'mse', 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 50}	0.5944089736426716	0.35529680628803106	-0.0240797654257634	0.5511939713483252	0.19003519552117853	0.17992521454150512	0.21009615604994636	0.5178857740603265	0.2028716163081914	0.5363206584795291	0.47634767254960464	0.1762343439805628	0.4870016025537435	0.02288655487653568	0.32917949412836667	0.26247771607744574	0.7028739813775734	0.07527679378908125	0.4329027284876318	0.21921870851175995	0.3592728401293518	0.3407668622663391	0.3932820655033553	0.06835916564129108	0.34565501584204295	0.26955254348466917	0.3613214373623236	0.27148919584268716	0.5427762568174177	0.3783324642503584	0.11557885068283247	0.4749657326829346	0.3973558886589559	0.4758060657790786	0.28697000502605174	0.030653226219869323	0.577916353653338	0.011756504639995446	0.44724356742545357	0.352200697510479	0.35328488681942327	0.2717780213084082	0.20924710646325484	0.2982057402469226	0.27493628332357967	0.48893718756476134	0.20846621475789406	0.41938402525757645	0.4192916718778589	0.12310502092399145	0.3215858930473422	0.16728557706304822	8
0.09526531219482422	0.007107666207111291	0.007499885559082031	0.0007394157509367326	mse	0.1	100	{'estimator__criterion': 'mse', 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 100}	0.6025317798864056	0.36192154455938574	-0.010159581470121415	0.5514725887906777	0.2132954594205767	0.2069690064565748	0.2638597813337705	0.5208163904058629	0.21134660557552065	0.5464590917566945	0.4794257696797779	0.16476003318368904	0.49095264035578345	-0.040324213182690194	0.33507193474310204	0.2525897676600517	0.6836568304846116	0.05438383099141164	0.4249583788333382	0.2482436834975189	0.3672484857765962	0.3242630231679928	0.37815576903503334	0.051374016199173145	0.3251708252745811	0.29613055252940024	0.37626649419438707	0.2773562711070222	0.5375460458101753	0.401514020372316	0.09904393993576577	0.46681943513125	0.41750010118408476	0.4810851867658654	0.2455205903209945	0.05187392723884665	0.5297622279676366	0.07898614648292546	0.4268322480243043	0.3549579600927617	0.3484209927920069	0.3229292406139931	0.21257979539596983	0.27252535010989765	0.280793019132095	0.46921780356864984	0.2560460695569817	0.41479251445844645	0.4362033639879088	0.12149129617253929	0.323998802538233	0.16400811550751968	7
0.18609500408172608	0.015015302215461008	0.01362363338470459	0.0006345106181512487	mse	0.1	200	{'estimator__criterion': 'mse', 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__n_estimators': 200}	0.5900383393174442	0.3510270158251596	0.0003196302562824549	0.5529650156396271	0.18844947094784237	0.20669435801118796	0.2442995504776423	0.5353798984172808	0.19430541606525586	0.5318085704235507	0.47956803051570485	0.16286751235725794	0.48641569345942814	0.03374430722713495	0.3114646360196459	0.24638352504826433	0.6997028024694163	0.08408321336858227	0.43839598354263754	0.23575327416152791	0.3715832954205329	0.3654706297582303	0.4001996138101722	0.04491622080485791	0.31893654401835436	0.2812916984599487	0.37383947886119084	0.28140015146502106	0.5338715840235497	0.38904110184792373	0.11957935213620396	0.4586588546655552	0.4268731575171887	0.4624430694555227	0.2373520470693109	0.030154339612967762	0.5505093469572069	0.043329998542600334	0.43276761532571806	0.332555830123616	0.34792387447703677	0.3354949321610762	0.20450641095755817	0.2760114272430537	0.287681513126546	0.4967923244189777	0.232361856855559	0.42542031088808474	0.44142465631499017	0.13277240076984942	0.32449000520839844	0.1639154219544873	6
0.01122471809387207	0.0001066721986743015	0.0012949085235595703	2.2498658726940223e-05	mse	0.25	10	{'estimator__criterion': 'mse', 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 10}	0.3322716938825646	0.31421369197103255	-0.08630650765219405	0.4293467281166088	0.057631297453102026	0.1725748265925623	0.0516927252220567	0.37657514741253817	0.19568087648339794	0.27670413949244355	0.3737531132813142	0.013857560335772456	0.42473992318732245	-0.36447936369635525	0.03284722070884882	0.06522442405974949	0.5071550474000537	0.1710609691573528	0.2374038736020706	0.1710021198680901	0.12311770886005058	0.20768309923967132	0.46422778696329914	0.018946363288395718	0.18293353997114237	0.09138058862989817	0.3142304764013857	0.17545678911077933	0.29920704713854285	0.26665279766080696	0.06823050279512	0.28701981085973416	0.4271410305736886	0.3319144652170283	0.27547704195756684	-0.1504024599554572	0.3008902362659732	-0.2964999635546861	0.3048806839032554	0.2532101015251479	0.4015405395048023	0.13900809551122983	0.20935667437230132	0.20890169492957322	0.17199141575279975	0.39764558262667415	0.08958965724310086	0.2618551176995082	0.3154990434942314	0.27269648850760186	0.2033577478629257	0.17768779334404716	21
0.046747288703918456	0.0018817616373271384	0.0039221858978271485	0.00017066309228790636	mse	0.25	50	{'estimator__criterion': 'mse', 'estimator__min_weight_fraction_leaf': 0.25, 'estimator__n_estimators': 50}	0.36520527124710267	0.320154800725478	-0.11096270769171546	0.43417511873808956	-0.012079875889564162	0.13931531449860857	0.06364387691466755	0.3719653704375261	0.2517713998613368	0.25420086850186085	0.33379877506014377	0.05674627538864774	0.41671943719758064	-0.3587699330106071	0.0623069530747149	0.08394595518027959	0.499561474084115	0.22850864313991526	0.2664654567484074	0.16880679157970357	0.17520868612587837	0.17433346147022655	0.4699467844372497	0.02728578552474681	0.218316047727648	0.07499005971495842	0.3083428800143704	0.2027433979743527	0.37936413516218637	0.26495414166962905	0.08434468430203801	0.30478219144919916	0.4112586782398998	0.34526024210946027	0.24300882096602883	-0.14125857848933476	0.2549921387021161	-0.21507745698804892	0.3024982678626108	0.2781595114589216	0.3489923362883932	0.20079602511898964	0.20995106695060217	0.17003437781945996	0.16450267063642088	0.4095884085900162	0.08483547052291918	0.23030783807246402	0.33681883269405655	0.17948113471447402	0.20669069210824986	0.172326453023658	18
