mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__fit_intercept	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.0020938873291015624	0.0006260594531072957	0.0005373477935791016	5.170933480578525e-05	True	1	{'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	0.13643729572942653	0.18189052040567788	0.22534515259065435	0.21265264552081842	0.17457015537101006	0.18617915392351744	0.031184082126591576	10
0.0020473480224609377	0.00018726211769983734	0.0005342006683349609	3.433909613354912e-05	True	2	{'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	0.15578766724397053	0.23556640753576397	0.2761556233205026	0.249323287070627	0.18854557606922584	0.22107571224801797	0.04327225650990551	8
0.0019492149353027345	6.03148303709338e-05	0.0005312442779541015	1.0966632659524215e-05	True	3	{'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	0.18613258540892597	0.24838494971121883	0.29722853570304164	0.2643706816399225	0.18347867307513477	0.23591908510764875	0.04461486797974307	6
0.0020006656646728515	2.6999090883286872e-05	0.0005367279052734375	1.605277799406796e-05	True	4	{'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	0.2181282491948603	0.26071412439193375	0.3044324235349912	0.2691390973022769	0.19763325521768382	0.2500094299283492	0.037952787125026644	4
0.0020475387573242188	4.5392543266863924e-05	0.0005576610565185547	3.516427532543403e-05	True	5	{'estimator__fit_intercept': True, 'preprocessing_1__k': 5}	0.22119439866902746	0.24706222095009645	0.3071522940205821	0.2527816669447831	0.2658537516663534	0.25880886645016854	0.028198852451139293	2
0.00038065910339355467	3.73986274103005e-05	0.0	0.0	True	6	{'estimator__fit_intercept': True, 'preprocessing_1__k': 6}								18
0.0003493309020996094	2.0748937612110004e-05	0.0	0.0	True	7	{'estimator__fit_intercept': True, 'preprocessing_1__k': 7}								17
0.0003333091735839844	1.2031046579045463e-05	0.0	0.0	True	8	{'estimator__fit_intercept': True, 'preprocessing_1__k': 8}								16
0.00033092498779296875	1.5503441950452184e-05	0.0	0.0	True	9	{'estimator__fit_intercept': True, 'preprocessing_1__k': 9}								15
0.00033445358276367186	1.2768555918341553e-05	0.0	0.0	True	10	{'estimator__fit_intercept': True, 'preprocessing_1__k': 10}								14
0.0019230365753173829	0.00023989034339657624	0.0006029605865478516	8.242154762754748e-05	False	1	{'estimator__fit_intercept': False, 'preprocessing_1__k': 1}	0.13644199754705033	0.18364951897772874	0.22542041790214806	0.21287961972067992	0.17573672050730738	0.18682565493098288	0.03111247353615854	9
0.0016027450561523437	5.035851920719598e-05	0.0005007743835449219	2.5962721414982446e-05	False	2	{'estimator__fit_intercept': False, 'preprocessing_1__k': 2}	0.15579500231624965	0.23623020046065546	0.27640784804086227	0.24933032762419993	0.18996923106246133	0.22154652190088572	0.043168745654090075	7
0.0016408443450927734	2.083041717765963e-05	0.0005089282989501953	1.872980909924992e-05	False	3	{'estimator__fit_intercept': False, 'preprocessing_1__k': 3}	0.1861746591346055	0.24850655481238182	0.2973883742629556	0.2643784073941665	0.18488810196276728	0.23626721951337534	0.04432812672814561	5
0.0017694950103759766	7.175241104409369e-05	0.0005007266998291015	1.157487211670911e-05	False	4	{'estimator__fit_intercept': False, 'preprocessing_1__k': 4}	0.21830914510188648	0.26080189324909164	0.30452238737649295	0.269138928595263	0.19898017367176357	0.25035050559889954	0.03758294534129569	3
0.001760387420654297	3.9791653724173887e-05	0.0004931449890136719	1.3139091932741333e-05	False	5	{'estimator__fit_intercept': False, 'preprocessing_1__k': 5}	0.22136336109797294	0.24714813826663506	0.30727174799742196	0.252781846251271	0.26698083214590274	0.2591091851518407	0.028246926841382174	1
0.0003345489501953125	2.009425957329877e-05	0.0	0.0	False	6	{'estimator__fit_intercept': False, 'preprocessing_1__k': 6}								13
0.0003227710723876953	1.1589595550809135e-05	0.0	0.0	False	7	{'estimator__fit_intercept': False, 'preprocessing_1__k': 7}								12
0.00044522285461425783	0.00023905191225798738	0.0	0.0	False	8	{'estimator__fit_intercept': False, 'preprocessing_1__k': 8}								11
0.00046443939208984375	1.100037590589013e-05	0.0	0.0	False	9	{'estimator__fit_intercept': False, 'preprocessing_1__k': 9}								19
0.0005276679992675781	0.00010797907695768182	0.0	0.0	False	10	{'estimator__fit_intercept': False, 'preprocessing_1__k': 10}								20
