mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__fit_intercept	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.0028466224670410157	0.001167373839768451	0.0007810115814208985	0.00025031904409418266	True	1	{'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	0.24299579966795615	0.17355254493707617	0.2049040455594464	0.19599654499987373	0.30327118773653605	0.2241440245801777	0.045471865114713086	10
0.0016527175903320312	3.8731389867964564e-05	0.0005448341369628906	3.0657106556092625e-05	True	2	{'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	0.24571040894110485	0.2600010304234618	0.23293011632535254	0.24707636486985507	0.3993406835040543	0.2770117208127657	0.061762163522901106	7
0.0016518115997314453	5.900200412009889e-05	0.0005315303802490235	2.7242637887459357e-05	True	3	{'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	0.2666421843255199	0.27927835026922176	0.25119565048328085	0.2461482622111666	0.3900978663743604	0.2866724627327099	0.053016061916973944	4
0.00175628662109375	4.727729208364821e-05	0.0005193710327148438	6.062072632086431e-05	True	4	{'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	0.2192353902526727	0.27570202730028026	0.24058538163185406	0.24697955549606065	0.39683141146251477	0.2758667532286765	0.06311708536264486	8
0.0018012046813964844	8.891528673019877e-05	0.0005577564239501953	3.9478142856251694e-05	True	5	{'estimator__fit_intercept': True, 'preprocessing_1__k': 5}	0.23185649339939562	0.3022675738595052	0.2803306283092053	0.2519440030755168	0.39868034971485333	0.29301580967169527	0.05803250684450453	3
0.00034780502319335936	1.3034673192612108e-05	0.0	0.0	True	6	{'estimator__fit_intercept': True, 'preprocessing_1__k': 6}								18
0.00032634735107421874	4.5244132852723474e-05	0.0	0.0	True	7	{'estimator__fit_intercept': True, 'preprocessing_1__k': 7}								17
0.0003245830535888672	2.878477576316453e-05	0.0	0.0	True	8	{'estimator__fit_intercept': True, 'preprocessing_1__k': 8}								16
0.00030384063720703127	3.366166390160072e-05	0.0	0.0	True	9	{'estimator__fit_intercept': True, 'preprocessing_1__k': 9}								15
0.00032172203063964846	3.361908250255715e-05	0.0	0.0	True	10	{'estimator__fit_intercept': True, 'preprocessing_1__k': 10}								14
0.0015536308288574218	8.677029233618703e-05	0.0005320072174072266	1.8649515178108368e-05	False	1	{'estimator__fit_intercept': False, 'preprocessing_1__k': 1}	0.2431313772627517	0.1860396696756702	0.2169266404639113	0.20629320385764893	0.31249912375363686	0.2329780030027238	0.04381696368903821	9
0.0015334129333496095	6.760057679917559e-05	0.0005209922790527343	2.5103291346712594e-05	False	2	{'estimator__fit_intercept': False, 'preprocessing_1__k': 2}	0.2485747125406207	0.27583333113152886	0.23682440971584062	0.2512836050267544	0.4065902473502415	0.2838212611529972	0.0626829375479603	5
0.0015458106994628907	8.213768845929998e-05	0.0005225658416748047	5.004982394879232e-05	False	3	{'estimator__fit_intercept': False, 'preprocessing_1__k': 3}	0.26797378796958793	0.2914019092704322	0.25535872440820573	0.24874346098219824	0.4021091696606386	0.29311741045821255	0.056407648478798006	2
0.001714468002319336	0.00014561634056213218	0.0005463123321533203	6.0197287170556154e-05	False	4	{'estimator__fit_intercept': False, 'preprocessing_1__k': 4}	0.22052073535914962	0.2875094937213686	0.24513485292317672	0.24969738489897675	0.407627120564779	0.28209791749349017	0.06632447209805148	6
0.0016752719879150391	6.013568824645607e-05	0.0005190372467041016	5.1172647798527674e-05	False	5	{'estimator__fit_intercept': False, 'preprocessing_1__k': 5}	0.23323390370845776	0.3145691149925435	0.2844846428183496	0.2549407502166444	0.40842924880591314	0.2991315321083816	0.06114599551795885	1
0.00032405853271484376	6.238743199703177e-05	0.0	0.0	False	6	{'estimator__fit_intercept': False, 'preprocessing_1__k': 6}								13
0.0003642559051513672	4.435031622326706e-05	0.0	0.0	False	7	{'estimator__fit_intercept': False, 'preprocessing_1__k': 7}								12
0.0003424167633056641	3.246256102841803e-05	0.0	0.0	False	8	{'estimator__fit_intercept': False, 'preprocessing_1__k': 8}								11
0.00032825469970703124	1.5166420310191567e-05	0.0	0.0	False	9	{'estimator__fit_intercept': False, 'preprocessing_1__k': 9}								19
0.00031538009643554686	3.128080833113848e-05	0.0	0.0	False	10	{'estimator__fit_intercept': False, 'preprocessing_1__k': 10}								20
