mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__max_features	param_estimator__max_samples	param_estimator__n_estimators	param_estimator__random_state	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.002854728698730469	5.0905487759960596e-05	0.0	0.0	0.0	0.5	10	3111696	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}								81
0.002935171127319336	7.316770591122082e-05	0.0	0.0	0.0	0.5	50	3111696	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}								80
0.0029342174530029297	5.666964380801907e-05	0.0	0.0	0.0	0.5	100	3111696	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}								98
0.002893877029418945	4.727411779727889e-05	0.0	0.0	0.0	0.5	200	3111696	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}								97
0.0028813838958740234	7.168570712755734e-05	0.0	0.0	0.0	1.0	10	3111696	{'estimator__max_features': 0.0, 'estimator__max_samples': 1.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}								96
0.0029952526092529297	4.422314390929627e-05	0.0	0.0	0.0	1.0	50	3111696	{'estimator__max_features': 0.0, 'estimator__max_samples': 1.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}								95
0.002950620651245117	8.750921971086759e-05	0.0	0.0	0.0	1.0	100	3111696	{'estimator__max_features': 0.0, 'estimator__max_samples': 1.0, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}								94
0.0029647350311279297	8.395909501394865e-05	0.0	0.0	0.0	1.0	200	3111696	{'estimator__max_features': 0.0, 'estimator__max_samples': 1.0, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}								93
0.0029393672943115235	5.379488227756167e-05	0.0	0.0	0.1	0.0	10	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}								92
0.002945566177368164	6.52597599620929e-05	0.0	0.0	0.1	0.0	50	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}								85
0.002822256088256836	4.404272022700555e-05	0.0	0.0	0.1	0.0	100	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}								84
0.0028594493865966796	2.3114850312667682e-05	0.0	0.0	0.1	0.0	200	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}								83
0.012499523162841798	0.0031349112203252665	0.0014687538146972655	4.9196008536678276e-05	0.1	0.1	10	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.1, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.788328891462185	0.7180385778251605	0.7576902453959107	0.7255135326113962	0.8082996779225335	0.7595741850434372	0.034899543656678474	56
0.04113659858703613	0.00041949421005180935	0.0041253089904785155	0.00010195157585551995	0.1	0.1	50	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.1, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.7946764601438633	0.7756206356460531	0.7327762814748837	0.750568207003548	0.748622254860756	0.7604527678258208	0.021931615565167394	55
0.08074789047241211	0.0024890279826123626	0.007564020156860351	0.00011576987553239423	0.1	0.1	100	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.1, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.7747381777054179	0.753328436561163	0.7172208588671324	0.734301945455596	0.718397701844828	0.7395974240868275	0.021916177844486733	63
0.15733132362365723	0.002025139461460822	0.01443181037902832	0.00019311284420264998	0.1	0.1	200	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.1, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.7642885722681387	0.7400247475310726	0.7016233337511946	0.7472953550215393	0.7149626237528386	0.7336389264649567	0.02254098489098548	64
0.011477804183959961	0.00039942015150889196	0.0014186382293701171	5.181629477346754e-05	0.1	0.25	10	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.25, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.7991443512332331	0.807962265927316	0.7733829213260175	0.7482393414810709	0.789183491056025	0.7835824742047325	0.02107645871821572	48
0.04260234832763672	0.0011750802916681623	0.004170846939086914	0.00014224967549855656	0.1	0.25	50	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.25, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.8106610816833315	0.7841352913882808	0.7408247319197051	0.7915010769519282	0.7544137864413346	0.776307193676916	0.02534028096389481	52
0.08252558708190919	0.002887650250871927	0.0076999664306640625	0.00023635505318917601	0.1	0.25	100	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.25, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.7847268526834692	0.7492776979594548	0.7091398752351346	0.7670206004641329	0.7224745847574621	0.7465279222199307	0.027796037549323624	61
0.16273422241210939	0.0026687205405374233	0.014872503280639649	0.0005756636296837144	0.1	0.25	200	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.25, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.7730235335177299	0.7490578609441185	0.704348175109588	0.7693347120034406	0.7087454204667611	0.7409019404083277	0.029247077859231346	62
0.012194490432739258	0.0004805091757780962	0.0014950752258300782	3.420667721579274e-05	0.1	0.5	10	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.7517294872420915	0.8105690965947948	0.7661333381895341	0.7777362707252151	0.8153371555169004	0.7843010696537073	0.024848818472545994	47
0.0441739559173584	0.0020374434892423375	0.004162120819091797	0.0001645024892722406	0.1	0.5	50	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.8053056663604446	0.7869955476601458	0.7465437450744657	0.8029231801013165	0.7730280934293607	0.7829592465251467	0.021628358226448888	49
0.08801450729370117	0.0026395507005041075	0.008281421661376954	0.0003435515396440792	0.1	0.5	100	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.7902912039212022	0.7445364410789401	0.7171531543132857	0.7799780021843756	0.7325971237296051	0.7529111850454818	0.027897356816281128	58
0.1775752544403076	0.011194575449705995	0.015717458724975587	0.0008525966983755461	0.1	0.5	200	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.790437391928293	0.7536018561072014	0.7116783999230549	0.777613834929664	0.7180640351718206	0.7502791036120069	0.031300930659438675	60
0.01171112060546875	0.00025511563369517716	0.0013904571533203125	2.424049895212441e-05	0.1	1.0	10	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 1.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.7931768843186345	0.7815721269276261	0.7972065375197178	0.7695548623949658	0.7998501621540913	0.7882721146630071	0.011253063840419918	44
0.04541225433349609	0.0003624093028274195	0.004142856597900391	3.3701830267243704e-05	0.1	1.0	50	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 1.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.8115281579948467	0.7712622114106308	0.7525992805178555	0.8093241399730733	0.7690074082822708	0.7827442396357355	0.02351280981108415	50
0.10344138145446777	0.013326286911268066	0.008893108367919922	0.0010851194700077238	0.1	1.0	100	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 1.0, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.7994196949015367	0.7391370237472492	0.7168421439481824	0.7859418080099754	0.7254129151054384	0.7533507171424765	0.03316611431861064	57
0.18839759826660157	0.011987746984536887	0.015706539154052734	0.00041046399054559126	0.1	1.0	200	3111696	{'estimator__max_features': 0.1, 'estimator__max_samples': 1.0, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.8024758031224162	0.7420902554495497	0.7066260369234486	0.7863462734214915	0.7151929185468083	0.750546257492743	0.038022801500781245	59
0.0032358646392822267	0.00015812220702864134	0.0	0.0	0.25	0.0	10	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}								91
0.0029998779296875	2.1511962873773106e-05	0.0	0.0	0.25	0.0	50	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}								90
0.0029790401458740234	6.185517206683976e-05	0.0	0.0	0.25	0.0	100	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}								82
0.0029656410217285155	7.486531686540689e-05	0.0	0.0	0.25	0.0	200	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}								69
0.011100196838378906	0.00031268174800870406	0.0014147281646728516	3.4551253278667315e-05	0.25	0.1	10	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.1, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.8272956442334657	0.7055419095424373	0.759960316542476	0.7938932783624453	0.8246268736623332	0.7822636044686315	0.04547842482254877	51
0.04223542213439942	0.0007389821362296415	0.0041865348815917965	6.919309721369175e-05	0.25	0.1	50	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.1, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.8281755686696077	0.7716648471321763	0.784304975949925	0.8146568895993495	0.7822479773094797	0.7962100517321076	0.02145328655845959	41
0.0841404914855957	0.0032866460456585575	0.00790252685546875	0.0002743720593947988	0.25	0.1	100	3111696	{'estimator__max_features': 0.25, 'estimator__max_samples': 0.1, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.8090184113564287	0.7578004458969275	0.7806543252236573	0.807965120929198	0.7732116257731061	0.7857299858358635	0.019996414010304504	46
