mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__loss	param_estimator__max_features	param_estimator__random_state	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.02231745719909668	0.0013645821622678602	0.0008144855499267578	8.743552737307225e-05	ls		3111696	1	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	0.8457902431660578	0.715342629974661	0.900633021044193	0.6236565050134243	-0.37709688932338903	0.5460610923639768	0.4663354203435332	77
0.023008155822753906	0.0005497145658509992	0.0007762908935546875	9.506930004460488e-05	ls		3111696	2	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	0.8476361406872068	0.8329506345065917	0.8687304689910744	0.7309021151514432	-0.05296715463412349	0.6487921519240489	0.34992121459044156	71
0.024488258361816406	0.00035868657760149163	0.0007870197296142578	4.838452334921841e-05	ls		3111696	3	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	0.9225822013950675	0.8653441622355696	0.9247726057313475	0.886056015288211	0.43412090343494136	0.8083572554839273	0.18624101741960142	23
0.02588047981262207	0.00027136201488221567	0.0007954120635986328	3.9168450253554033e-05	ls		3111696	4	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 4}	0.9052732166781086	0.870404597718571	0.9092536065170943	0.8990958672348702	0.4927943676941978	0.8169077281229911	0.16069608425712995	17
0.02784838676452637	0.0003131312540278231	0.0007786273956298829	4.983858545568859e-05	ls		3111696	5	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 5}	0.9148759841678995	0.806040771850545	0.953821514905434	0.9140441962103406	0.46402748872704846	0.8122200509925656	0.17894659593494655	21
0.028936481475830077	0.000614766281692791	0.00077667236328125	8.0120789651448e-05	ls		3111696	6	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 6}	0.901375070928248	0.8346647629547077	0.9520086337821153	0.8930003828602875	0.44750752042681197	0.8074251677491117	0.18168014925992	27
0.00034661293029785155	5.966477222385065e-05	0.0	0.0	ls		3111696	7	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 7}								135
0.0003716468811035156	2.7944203486979364e-05	0.0	0.0	ls		3111696	8	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 8}								134
0.00035982131958007814	4.1571176494697653e-05	0.0	0.0	ls		3111696	9	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 9}								133
0.00037364959716796876	3.9548863552838166e-05	0.0	0.0	ls		3111696	10	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 10}								132
0.022567319869995116	0.0005892229975265871	0.0013164997100830079	0.0005841337592653059	ls	auto	3111696	1	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	0.8457902431660578	0.715342629974661	0.900633021044193	0.6236565050134243	-0.37709688932338903	0.5460610923639768	0.4663354203435332	77
0.02588052749633789	0.003646996219746766	0.0008357524871826172	0.00012764179911600365	ls	auto	3111696	2	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	0.8476361406872068	0.8329506345065917	0.8687304689910744	0.7309021151514432	-0.05296715463412349	0.6487921519240489	0.34992121459044156	71
0.024341773986816407	0.0006481560230334251	0.0007346630096435547	0.00012589626189719663	ls	auto	3111696	3	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	0.9225822013950675	0.8653441622355696	0.9247726057313475	0.886056015288211	0.43412090343494136	0.8083572554839273	0.18624101741960142	23
0.0247957706451416	0.0003265389772206915	0.0007859706878662109	5.6203628915317526e-05	ls	auto	3111696	4	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'estimator__random_state': 3111696, 'preprocessing_1__k': 4}	0.9052732166781086	0.870404597718571	0.9092536065170943	0.8990958672348702	0.4927943676941978	0.8169077281229911	0.16069608425712995	17
0.027163267135620117	0.00045536383257419933	0.0007761478424072266	6.823014892930718e-05	ls	auto	3111696	5	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'estimator__random_state': 3111696, 'preprocessing_1__k': 5}	0.9148759841678995	0.806040771850545	0.953821514905434	0.9140441962103406	0.46402748872704846	0.8122200509925656	0.17894659593494655	21
0.02765545845031738	0.00041311187269411686	0.0007716178894042969	2.7106252733415343e-05	ls	auto	3111696	6	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'estimator__random_state': 3111696, 'preprocessing_1__k': 6}	0.901375070928248	0.8346647629547077	0.9520086337821153	0.8930003828602875	0.44750752042681197	0.8074251677491117	0.18168014925992	27
0.00033197402954101565	5.6568765903751924e-05	0.0	0.0	ls	auto	3111696	7	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'estimator__random_state': 3111696, 'preprocessing_1__k': 7}								131
0.00032372474670410155	3.6213074545885476e-05	0.0	0.0	ls	auto	3111696	8	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'estimator__random_state': 3111696, 'preprocessing_1__k': 8}								130
0.00036835670471191406	1.640139614230715e-05	0.0	0.0	ls	auto	3111696	9	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'estimator__random_state': 3111696, 'preprocessing_1__k': 9}								129
0.00038356781005859374	5.494860877122172e-05	0.0	0.0	ls	auto	3111696	10	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'estimator__random_state': 3111696, 'preprocessing_1__k': 10}								128
0.02171359062194824	0.00034239619447875506	0.0007359981536865234	1.9638513902197646e-05	ls	log2	3111696	1	{'estimator__loss': 'ls', 'estimator__max_features': 'log2', 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	0.8457902431660578	0.715342629974661	0.900633021044193	0.6236565050134243	-0.37709688932338903	0.5460610923639768	0.4663354203435332	77
0.02243528366088867	0.0004936465195651012	0.0007659912109375	1.9907822865511218e-05	ls	log2	3111696	2	{'estimator__loss': 'ls', 'estimator__max_features': 'log2', 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	0.851041281282058	0.8328461352862523	0.8649306051836982	0.7335974242114942	-0.052955837451943655	0.649235690884868	0.3499509822759053	69
0.022523927688598632	0.00034324616664077763	0.0007619857788085938	2.8273267069013635e-05	ls	log2	3111696	3	{'estimator__loss': 'ls', 'estimator__max_features': 'log2', 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	0.9049554480459702	0.884821481470291	0.9591175142672654	0.9209325858703116	0.6296320723831472	0.8609935416898097	0.11687627024090821	1
0.025672292709350585	0.002743118036401564	0.0008051872253417968	0.00015334325328062834	ls	log2	3111696	4	{'estimator__loss': 'ls', 'estimator__max_features': 'log2', 'estimator__random_state': 3111696, 'preprocessing_1__k': 4}	0.9038603577916907	0.8840911861976645	0.9178129889511241	0.9015377785278387	0.4869774511509517	0.8204438879371214	0.16508627314708543	15
