mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__loss	param_estimator__max_features	param_estimator__random_state	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.018251323699951173	0.0008560968875295273	0.0006684303283691406	5.979271780900475e-05	ls		3111696	1	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	-1.2453807069616163	0.06050090712593292	0.24597569018913212	-0.2686302174039492	0.5344118439036788	-0.13462449662936432	0.6135596046583852	132
0.027104806900024415	0.00934994400296104	0.000975799560546875	0.0004270443056626089	ls		3111696	2	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	-0.2407900852484719	-0.044786707361766265	0.18284401895253788	0.3086266506288847	0.18553675976640982	0.07828612734751884	0.19618784855574176	105
0.02061738967895508	0.0018295807953842365	0.0007311820983886719	0.00010321364716460025	ls		3111696	3	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	-0.09641351049305813	-0.040502145233503706	0.17351081693351755	0.14090794312784416	0.4529740733238884	0.12609543553173766	0.19317466583251006	101
0.022063398361206056	0.004875413689305541	0.0007774829864501953	0.0002590753304925341	ls		3111696	4	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 4}	0.18706311639151663	0.35953176498557204	0.7649800136234048	0.28971179600713726	0.49362367771498006	0.4189820737445222	0.19965845343548763	47
0.02214055061340332	0.003271655320352489	0.0006473541259765625	2.2452094187506503e-05	ls		3111696	5	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 5}	0.33210623582073673	0.3158307167428056	0.7471121818158116	0.29464655772943793	0.5334540328304014	0.4446299449878387	0.17385687501635322	32
0.021373176574707033	0.00021806528068424753	0.000695180892944336	5.02855022799932e-05	ls		3111696	6	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 6}	0.3474974957994633	0.4036960288968485	0.6036598249430367	0.3961288084342238	0.4832752865207315	0.4468514889188608	0.08969052042712235	29
0.021821928024291993	0.00017170808739400904	0.000678110122680664	5.74760688295067e-05	ls		3111696	7	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 7}	0.1853640040832757	0.5648369171358144	0.6935863619876436	0.37010913486399155	0.5865153901240037	0.4800823616389458	0.18058145158486072	7
0.022660112380981444	0.000517172240093036	0.0006874561309814453	0.00010091023478836545	ls		3111696	8	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 8}	0.006517290529730824	0.5080640430941168	0.7010989633391926	0.3089349674802544	0.5013394088215455	0.405190934652968	0.23477429701784377	58
0.03192834854125977	0.008396768701955007	0.001123666763305664	0.0003026965885845265	ls		3111696	9	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 9}	0.03470898673849676	0.4344359725580028	0.6030093819354397	0.38124359680299047	0.5230512555060944	0.3952898387082049	0.19556004488390863	65
0.042241382598876956	0.008701102099447598	0.001247262954711914	0.00020432940158359995	ls		3111696	10	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 10}	0.15826488231841485	0.46280884724497706	0.6488700280231157	0.4517184013471328	0.5674613813522242	0.45782470805717296	0.16632301839120817	23
0.019942188262939455	0.00407513504556307	0.0008057117462158203	0.00012768961918629694	ls	auto	3111696	1	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	-1.2453807069616163	0.06050090712593292	0.24597569018913212	-0.2686302174039492	0.5344118439036788	-0.13462449662936432	0.6135596046583852	132
0.02177462577819824	0.0025512056836096966	0.0008913516998291015	0.00012189963075795998	ls	auto	3111696	2	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	-0.2407900852484719	-0.044786707361766265	0.18284401895253788	0.3086266506288847	0.18553675976640982	0.07828612734751884	0.19618784855574176	105
0.024852991104125977	0.0005305219377562066	0.0009342670440673828	2.570439784401631e-05	ls	auto	3111696	3	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	-0.09641351049305813	-0.040502145233503706	0.17351081693351755	0.14090794312784416	0.4529740733238884	0.12609543553173766	0.19317466583251006	101
0.02616567611694336	0.0006410561832172964	0.0008493423461914063	0.00013232695940806823	ls	auto	3111696	4	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'estimator__random_state': 3111696, 'preprocessing_1__k': 4}	0.18706311639151663	0.35953176498557204	0.7649800136234048	0.28971179600713726	0.49362367771498006	0.4189820737445222	0.19965845343548763	47
0.024777889251708984	0.0029243578930526408	0.0007166862487792969	6.827685391679134e-05	ls	auto	3111696	5	{'estimator__loss': 'ls', 'estimator__max_features': 'auto', 'estimator__random_state': 3111696, 'preprocessing_1__k': 5}	0.33210623582073673	0.3158307167428056	0.7471121818158116	0.29464655772943793	0.5334540328304014	0.4446299449878387	0.17385687501635322	32
