mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__loss	param_estimator__max_features	param_estimator__random_state	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.046939516067504884	0.005824651238530102	0.0013659477233886718	0.000112790928756134	ls		3111696	1	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	0.19204179083652184	-0.008605161349742207	0.1318901828464848	0.19017402760759916	0.05827292496055336	0.1127547529802834	0.07790101606855103	139
0.04748759269714355	0.0009018585012683565	0.0012209415435791016	1.2199019246545822e-05	ls		3111696	2	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	0.4475902887255384	0.3374679402448272	0.36099915613471345	0.46112526126211795	0.4182752042273524	0.4050915701189099	0.04824276136985487	110
0.05634474754333496	0.00046171184454225266	0.0012280464172363282	1.1937511354854967e-05	ls		3111696	3	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	0.5103946772922214	0.32219981617366755	0.38516656065342036	0.48170551414189244	0.42557604133509497	0.42500852191925936	0.06732410918734621	101
0.08163118362426758	0.01644349047907746	0.0024082183837890623	0.002081540690288501	ls		3111696	4	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 4}	0.7749264962962966	0.6996255411234473	0.7482869822408396	0.7635077026185905	0.7821387480305662	0.7536970940619481	0.029355971750388447	75
0.10000376701354981	0.020754620433675135	0.001474142074584961	0.0002992889989885969	ls		3111696	5	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 5}	0.9363506019390515	0.9101851620599997	0.9223751829916418	0.9351919531279062	0.9366869169400852	0.9281579634117367	0.010447980890786343	1
0.089992094039917	0.007660678881783956	0.0013200759887695313	1.5813030254569807e-05	ls		3111696	6	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 6}	0.9362210050075175	0.9106034524514989	0.9252513841506171	0.9341796815133365	0.9342063961538957	0.9280923838553732	0.009533570390678016	3
0.09771780967712403	0.006014453068825056	0.0013015270233154297	4.4497619912331237e-05	ls		3111696	7	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 7}	0.937579082241844	0.908127584082676	0.9247352241697664	0.9342576133493882	0.9323064870072868	0.9274011981701922	0.01051894699317633	5
0.1045712947845459	0.00022631187851483242	0.0012967109680175782	1.0776308783432124e-05	ls		3111696	8	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 8}	0.9358466107500664	0.9047184855375824	0.922794301154191	0.9368256945661971	0.9310011879824376	0.9262372559980949	0.011849567065513758	9
0.11352872848510742	0.0005849681926164538	0.0013042449951171874	2.5009915757501338e-05	ls		3111696	9	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 9}	0.9374909972796207	0.9018556936319505	0.9231301639215479	0.9350778243254546	0.9338857494099404	0.9262880857137028	0.013171207074066247	7
0.1241499900817871	0.001653473047731725	0.0013408660888671875	8.87206758354504e-05	ls		3111696	10	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 10}	0.938712172560206	0.9068585638125529	0.9195512382971258	0.9316891653968435	0.929902603082158	0.9253427486297773	0.011090693891098359	15
