mean_fit_time	mean_score_time	mean_test_score	param_estimator__booster	param_estimator__max_depth	param_estimator__n_estimators	param_estimator__random_state	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.0016936461130777996	0.00039768218994140625	0.4553162758864828	gbtree	1	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	59	0.3305956159208224	0.5285621952497511	0.507537027222243	0.000323766246537469	8.45381315129093e-05	0.08892171748954594
0.003468116124471029	0.0003693898518880208	0.8155816774060031	gbtree	1	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	29	0.8158071989074642	0.869963291596255	0.7601831339506423	2.6788838108105254e-05	5.025048243057644e-06	0.04476304771444255
0.006020466486612956	0.0003772576649983724	0.8241441203602933	gbtree	1	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	27	0.8813693135452833	0.8872956491027715	0.7020228082599633	1.9918378445715004e-05	1.414572254290682e-05	0.08576807796098265
0.01110688845316569	0.0004520416259765625	0.8341964306399129	gbtree	1	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 1, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	26	0.892884726282387	0.891126389013025	0.7169025497545356	3.270556821675736e-05	1.0361383615221445e-05	0.08234788773556287
0.0016021728515625	0.00031757354736328125	0.5728691260479498	gbtree	2	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	58	0.449401991750644	0.6458595762985381	0.6240773562402719	4.2959473138617135e-06	6.743495761743046e-07	0.08806693983688316
0.004216670989990234	0.00036978721618652344	0.8518240975002668	gbtree	2	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	5	0.8566772874693401	0.8971152642410203	0.8009530109830513	2.2499944186027576e-05	1.504243007889981e-05	0.03936103775269423
0.007503827412923177	0.0004429817199707031	0.8577545574865565	gbtree	2	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	3	0.882489938430319	0.887580571938044	0.8024024172305055	1.4958219429698119e-05	1.858135964240905e-05	0.038915096843472434
0.01410222053527832	0.0005677541097005209	0.8610036319011298	gbtree	2	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	1	0.8884921963437471	0.8826575774994491	0.8111489115697453	3.859927336044491e-05	2.1348191227461e-05	0.0350812484208169
0.0017769336700439453	0.000337680180867513	0.61481671089886	gbtree	3	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	56	0.48215886965700505	0.7320066733467758	0.6305087618492331	2.307369630229036e-05	1.1970628346610216e-05	0.10283544484759385
0.005025386810302734	0.00039156277974446613	0.849987632046035	gbtree	3	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	7	0.8441565889382567	0.8946071012828473	0.8106370548136816	2.6054253165956787e-05	1.5522658812701392e-05	0.03448785612334787
0.009208599726359049	0.0004928906758626302	0.8485070972784555	gbtree	3	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	10	0.8646291856165086	0.8806074731780547	0.7995857567475038	2.2356606766404777e-05	1.4324087347744045e-05	0.03496152650719759
0.01760244369506836	0.0006956259409586588	0.8429699844073352	gbtree	3	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	13	0.8648022973449848	0.8773495373286253	0.7859434538258021	0.00011255444586263758	1.081998979258061e-05	0.04036270878464735
0.0019828478495279946	0.0003448327382405599	0.6208007002704053	gbtree	4	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	51	0.48646956946096376	0.7491248278711349	0.6268947614966351	2.7157633250774173e-05	1.1816093626617996e-05	0.10756989278381573
0.005922476450602214	0.0004161993662516276	0.8443317107306664	gbtree	4	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	11	0.8417547558205065	0.885255388092549	0.805429238678194	5.139836160443855e-05	5.458807869299062e-06	0.032600373194339685
0.011094888051350912	0.0005630652109781901	0.8427411741712614	gbtree	4	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	15	0.8622253896436861	0.8706160792426731	0.7946956895615721	2.9369281054611448e-05	1.4280368452209602e-05	0.03390407110085966
0.026497522989908855	0.0008784929911295573	0.8388242405872424	gbtree	4	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	19	0.8630319612335987	0.8668710708823071	0.785812377313337	0.007021940566425076	5.993033543027041e-05	0.037249480115229446
0.002195119857788086	0.00034499168395996094	0.6154411783430505	gbtree	5	10	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 5, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	53	0.48693647481045244	0.7489608353643227	0.6103535443690329	4.260560688337913e-05	1.4670009673037682e-05	0.1072860736049139
0.006890773773193359	0.0004588762919108073	0.8410991450688934	gbtree	5	50	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 5, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	17	0.838618768239879	0.8841458027011873	0.7999449471525228	0.00013185948544048998	2.3143664791686837e-05	0.034377915368357416
0.012945254643758139	0.0006213188171386719	0.8375593627485791	gbtree	5	100	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 5, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	22	0.8560108100986863	0.8667088732379774	0.789268535954878	5.80137722940129e-05	1.3705785330607055e-05	0.03418348769605739
0.02552008628845215	0.0009758472442626953	0.835074179645584	gbtree	5	200	3111696	{'estimator__booster': 'gbtree', 'estimator__max_depth': 5, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	24	0.8550529282231631	0.8640389516817935	0.7854213326460885	7.62768070522039e-05	9.9471324727471e-06	0.03505160575632342
0.0011481444040934246	0.0003204345703125	0.7558822577628939	gblinear	1	10	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 1, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	46	0.7532616235843258	0.7288572315968402	0.7859575653588866	2.3746564950958136e-05	1.5057537980343142e-05	0.023356765784818996
0.002238194147745768	0.00031145413716634113	0.7827793554441586	gblinear	1	50	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 1, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	31	0.8276878038511393	0.7955062863540041	0.7243086807749143	8.836152656729868e-06	5.002373053822904e-06	0.04310944187437674
0.003621260325113932	0.00030620892842610675	0.7744098959609187	gblinear	1	100	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 1, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	36	0.8460537515231288	0.8063681121642725	0.6693063448944048	8.319256002236512e-06	9.602742174144245e-07	0.07555276582003549
0.006365776062011719	0.0003217061360677083	0.7631862065587407	gblinear	1	200	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 1, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	41	0.8524365309544524	0.8050557453162318	0.630166055533752	1.9050624179274868e-05	1.0505458375814605e-05	0.09537682473478483
0.0011209646860758464	0.00031487147013346356	0.7558822577628939	gblinear	2	10	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 2, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	46	0.7532616235843258	0.7288572315968402	0.7859575653588866	2.657294829257407e-06	1.3883433200097555e-05	0.023356765784818996
0.00223390261332194	0.0003151893615722656	0.7827793554441586	gblinear	2	50	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	31	0.8276878038511393	0.7955062863540041	0.7243086807749143	1.641032768779443e-05	9.901310505615249e-06	0.04310944187437674
0.0036414464314778647	0.00030740102132161457	0.7744098959609187	gblinear	2	100	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	36	0.8460537515231288	0.8063681121642725	0.6693063448944048	1.3543537083361882e-05	6.836513890459241e-07	0.07555276582003549
0.006383419036865234	0.0003265539805094401	0.7631862065587407	gblinear	2	200	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	41	0.8524365309544524	0.8050557453162318	0.630166055533752	3.30110017293366e-05	1.4657518874357228e-05	0.09537682473478483
0.0011345545450846355	0.00032099088033040363	0.7558822577628939	gblinear	3	10	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 3, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	46	0.7532616235843258	0.7288572315968402	0.7859575653588866	7.811822329955532e-06	8.535103938314985e-06	0.023356765784818996
0.0022486050923665366	0.0003132025400797526	0.7827793554441586	gblinear	3	50	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	31	0.8276878038511393	0.7955062863540041	0.7243086807749143	2.1524971340260062e-05	7.474674896257717e-06	0.04310944187437674
0.003626108169555664	0.00030652681986490887	0.7744098959609187	gblinear	3	100	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	36	0.8460537515231288	0.8063681121642725	0.6693063448944048	7.764787157741696e-06	2.9736021254650284e-07	0.07555276582003549
0.006373405456542969	0.00031820933024088543	0.7631862065587407	gblinear	3	200	3111696	{'estimator__booster': 'gblinear', 'estimator__max_depth': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	41	0.8524365309544524	0.8050557453162318	0.630166055533752	7.587057104023376e-06	1.117321706981442e-05	0.09537682473478483
