mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__learning_rate	param_estimator__loss	param_estimator__n_estimators	param_estimator__random_state	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.014762639999389648	0.0030266343656051484	0.0015115737915039062	0.0002929858004679774	0.001	linear	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.7365861831929408	0.6794836437293226	-0.13076764397112584	0.3775454417567068	0.5292820428558213	0.4378014414796693	0.31680466873432134	49
0.05624423027038574	0.0005535375113295036	0.0038703441619873046	0.00019209369382677994	0.001	linear	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.5420308357172352	0.5614249937094511	-0.025962373866666555	0.4785598752797524	0.6431627923666257	0.4348008034253667	0.24179506140844598	51
0.10277376174926758	0.009114489555098196	0.006266880035400391	0.0005127349808721943	0.001	linear	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.5553629455502536	0.5416751901196024	0.0006633166442445715	0.4674622111796646	0.5746421252190916	0.4240823656402044	0.22005747405807424	56
0.18720178604125975	0.0037832168340271124	0.01133108139038086	0.00022456569901339676	0.001	linear	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.57026878956689	0.5709105752907961	0.040289411385109775	0.459257770517418	0.6375327265962119	0.4517875465927214	0.21826025401086588	38
0.009557676315307618	0.00014494903746915978	0.0010433197021484375	4.662506808086394e-05	0.001	square	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.7444530425519092	0.6794836437293226	-0.13076764397112584	0.3775454417567068	0.5298339764156642	0.43954385805525825	0.31839192929426524	46
0.04710612297058105	0.0004245105997090265	0.0032077789306640624	5.491098207529371e-05	0.001	square	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.5391997879303416	0.5600850076306654	-0.025023862029869948	0.524674301607396	0.6457317118909229	0.4432554886832551	0.24367117315827305	44
0.0956146240234375	0.004180696237979122	0.005836343765258789	0.0002197564248813058	0.001	square	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.542349636532262	0.5403002304710975	-0.00014857098346765518	0.5505768832206221	0.5822533384449269	0.437926769899768	0.2252140882269764	48
0.18810114860534669	0.005355399739346009	0.011516284942626954	0.00036581451969216273	0.001	square	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.5665902163883478	0.5686600073389478	0.012385450982668522	0.4429526538872731	0.640153308501208	0.4421731335124161	0.22888910771312168	45
0.009849929809570312	0.00036611703572795933	0.0010430335998535157	5.959346666424436e-05	0.001	exponential	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.7365861831929408	0.6794836437293226	-0.1282123429591906	0.3775454417567068	0.4769863038593287	0.4285283447953135	0.3136781373350845	53
0.04658474922180176	0.0008210288285385131	0.0030403614044189455	5.357778466911709e-05	0.001	exponential	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.5701577871450092	0.5585648884385354	-0.03242926722135642	0.4692030882522087	0.6486401669444126	0.4379900704248223	0.2475353044662611	47
