mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__learning_rate	param_estimator__loss	param_estimator__n_estimators	param_estimator__random_state	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.01875476837158203	0.003318475190710692	0.0017816543579101563	0.0003725601496096061	0.001	linear	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.6534666700247285	0.7117914809917905	0.4760459384223835	0.7479936105940472	0.7374804110578179	0.6653556222181535	0.10016667592681476	57
0.07759943008422851	0.0009560656678081067	0.004641389846801758	3.1708989817250545e-05	0.001	linear	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.6306572572969388	0.7133779393045896	0.5749796113276806	0.7373308460153825	0.7276539135563499	0.6767999135001883	0.06337916651488969	53
0.14562716484069824	0.011228893008283723	0.007490921020507813	0.0008172109505383277	0.001	linear	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.6401175762219165	0.7038645745238377	0.5923606277489544	0.7570511048274212	0.723352298056406	0.6833492362757072	0.059331261230351325	45
0.2553106784820557	0.038639894204822244	0.012692403793334962	0.0016056965597732785	0.001	linear	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.6398152577742107	0.7110058530928359	0.5867433141896113	0.7504550246219708	0.7156113923122296	0.6807261683981717	0.05916490688962626	48
0.010942411422729493	0.00019045089802619894	0.0009854793548583984	3.9205932754518976e-05	0.001	square	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.6528426295630747	0.7119310403345724	0.47412661879091145	0.7495651812136201	0.7337159452226565	0.6644362830249672	0.10065240580772201	58
0.05388374328613281	0.0005168593095783922	0.0030745983123779295	8.64430149135594e-05	0.001	square	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.6270977296363431	0.7081865414811979	0.5708806035492243	0.7449378384335577	0.7271811315776472	0.6756567689355941	0.06610421736781744	54
0.11519770622253418	0.005942058679558432	0.005982112884521484	0.00021671555867882374	0.001	square	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.6335906577643193	0.7042817736107332	0.5873393662343496	0.7606699509659851	0.7159789634559862	0.6803721424062746	0.0618560570625906	50
0.2175601005554199	0.002091521619010949	0.011720418930053711	0.000850681192129146	0.001	square	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.6395175615087247	0.7196038948703214	0.5908087657263845	0.7549626433957354	0.7159253122004787	0.684163635540329	0.059976194016234344	43
0.01130986213684082	0.0003836175238091507	0.001011228561401367	2.6672465168171294e-05	0.001	exponential	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.6534666700247285	0.7117914809917905	0.4753333900197003	0.7504715244592279	0.737944767137675	0.6658015665266244	0.10091480697778073	56
0.054752016067504884	0.0006416683308683522	0.0031104087829589844	8.38002472597743e-05	0.001	exponential	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.6308070648381653	0.7154278495155559	0.5744346505833193	0.739677754478926	0.7299890006855624	0.6780672640203057	0.06459222494379853	52
0.14011187553405763	0.01746269374673464	0.0068970203399658205	0.0009474978398715125	0.001	exponential	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.6370793552876413	0.7035333882634591	0.5932874715891823	0.7611423792831553	0.7260217936722787	0.6842128776191434	0.06087432005116106	42
0.21885242462158203	0.002467775523133924	0.011381006240844727	0.0003573279585561813	0.001	exponential	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	0.6359053391411127	0.710001316299413	0.5918827107989175	0.752131429171943	0.7195973715139486	0.681903633385067	0.05892681996677219	47
0.012244796752929688	0.00031386357012120274	0.0010849952697753907	5.694050651831472e-05	0.01	linear	10	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	0.6281014647708704	0.7130114451298601	0.5707982028333181	0.7449478087118595	0.7382737913908886	0.6790265425673594	0.06828991213290495	51
0.05598969459533691	0.0007934769240508272	0.00328211784362793	0.00013137633029406347	0.01	linear	50	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	0.6413154192007516	0.7093888530052467	0.5759994620704836	0.7615943102726415	0.7357808475906775	0.6848157784279602	0.06757142765943723	41
0.10699124336242676	0.0008615282113965472	0.005697298049926758	0.00010225254482845962	0.01	linear	100	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	0.6410555803428476	0.7179236754909237	0.589584531638148	0.7627659971772387	0.7333380362506463	0.6889335641799608	0.06391548084665702	40
