mean_fit_time	mean_score_time	mean_test_score	param_estimator__fit_intercept	param_preprocessing_1__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.018219868342081707	0.0010267893473307292	0.3450658897953863	True	1	{'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	18	0.34182600739768065	0.34386381691307255	0.34950808349489193	0.001075528458152089	4.552997288475806e-05	0.0032493536540066496
0.02487778663635254	0.0010874271392822266	0.49503538598763586	True	2	{'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	17	0.4916512204405318	0.49190403499020663	0.5015511515692983	0.0004349723350451237	4.319172624226278e-05	0.0046084131966963315
0.030013163884480793	0.0011301835378011067	0.6414844200639203	True	3	{'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	15	0.6445513454011036	0.6393315404081972	0.6405701486906992	0.0001917476718359785	2.4158703630804797e-05	0.002226891797145022
0.03436819712320963	0.0012114842732747395	0.7226561093296358	True	4	{'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	4	0.7254167255536026	0.724297584567654	0.7182538147168502	0.00033812004384786357	8.19911136649909e-05	0.003146186747626633
0.03910438219706217	0.0014168421427408855	0.7226327051930532	True	5	{'estimator__fit_intercept': True, 'preprocessing_1__k': 5}	5	0.7253311359043644	0.7242484054389919	0.7183183756611686	0.001216384413939928	2.5366910205525714e-05	0.0030824931204791
0.04491178194681803	0.0014513333638509114	0.7226197939029587	True	6	{'estimator__fit_intercept': True, 'preprocessing_1__k': 6}	7	0.7253038301904425	0.7242369770642834	0.7183183769387859	0.0035782613150589526	8.662906254088435e-06	0.0030725318276144504
0.04846453666687012	0.0015663305918375652	0.7226207662390759	True	7	{'estimator__fit_intercept': True, 'preprocessing_1__k': 7}	6	0.7253252262053808	0.7242192632540587	0.7183176102394668	0.00028151517083602786	2.905534706691704e-05	0.003076052118366461
0.06306020418802898	0.0013632774353027344	0.7227036527557404	True	8	{'estimator__fit_intercept': True, 'preprocessing_1__k': 8}	1	0.7254967952485827	0.7242193379995965	0.7183946194746684	0.01688479931279876	0.00045520611070605255	0.0030912017886648973
0.0455163319905599	0.001138130823771159	0.7226872574458869	True	9	{'estimator__fit_intercept': True, 'preprocessing_1__k': 9}	3	0.725454480376059	0.7242047573440279	0.7184023309805934	0.00030003898051600463	8.824415265175094e-05	0.0030725012779529793
0.056696176528930664	0.001161495844523112	0.7226994257478675	True	10	{'estimator__fit_intercept': True, 'preprocessing_1__k': 10}	2	0.7254273977767346	0.7242493201603618	0.7184213585579571	0.004744274908919583	1.95448306878184e-05	0.003062989835301319
0.010007699330647787	0.0007302761077880859	-0.5255981794381591	False	1	{'estimator__fit_intercept': False, 'preprocessing_1__k': 1}	20	-0.543153612641242	-0.5212507395156536	-0.5123888942719976	6.847923195995009e-05	1.2751865493114518e-05	0.012930442880255568
0.016284863154093426	0.0008054574330647787	0.28877555603904403	False	2	{'estimator__fit_intercept': False, 'preprocessing_1__k': 2}	19	0.2808563230641261	0.28429650704815645	0.30117442077274814	0.0005076918735689928	5.643132679009988e-06	0.008878941211387811
0.020815292994181316	0.0008718967437744141	0.6118763167367945	False	3	{'estimator__fit_intercept': False, 'preprocessing_1__k': 3}	16	0.6153794410102873	0.6100376371591402	0.6102116142497815	0.0005966710103300524	1.645030605763978e-05	0.002478192067340929
0.024706204732259113	0.0009355545043945312	0.7223590629764275	False	4	{'estimator__fit_intercept': False, 'preprocessing_1__k': 4}	13	0.725126351651969	0.7242045829146158	0.717746050720879	0.0005854945563859389	3.936915739854443e-06	0.003283467815559823
0.035128116607666016	0.0012747446695963542	0.7223514137168899	False	5	{'estimator__fit_intercept': False, 'preprocessing_1__k': 5}	14	0.7251595786060581	0.7240854963878385	0.7178089595069175	0.002322396947655458	5.295159214413741e-05	0.003241734616757264
0.03873221079508463	0.0012695789337158203	0.7224184433663323	False	6	{'estimator__fit_intercept': False, 'preprocessing_1__k': 6}	12	0.7252612048694846	0.7240896289098497	0.717904287123879	0.0016448870864589464	6.188083680552522e-05	0.0032275681644915325
0.04446307818094889	0.0013379255930582683	0.7224404258671987	False	7	{'estimator__fit_intercept': False, 'preprocessing_1__k': 7}	11	0.7253037732007219	0.7240954474777762	0.7179218462124252	0.003169425457743934	6.425703848972232e-05	0.003232916680290834
0.06015785535176595	0.0017304420471191406	0.7224691219120708	False	8	{'estimator__fit_intercept': False, 'preprocessing_1__k': 8}	9	0.7253431948655349	0.724163980975369	0.7178999783953486	0.005863229984015636	0.00021026905730331434	0.0032664832129536
0.07989215850830078	0.0020013650258382163	0.7224539941547202	False	9	{'estimator__fit_intercept': False, 'preprocessing_1__k': 9}	10	0.7253629874297195	0.7241816337176421	0.7178171472470903	0.0032158093272268737	6.675445838618173e-05	0.0033139676182176677
0.0704953670501709	0.0017285346984863281	0.7224723028819355	False	10	{'estimator__fit_intercept': False, 'preprocessing_1__k': 10}	8	0.7253466886769652	0.7241986621889789	0.717871346256881	0.0052273344132663085	6.069989064009798e-05	0.0032868944303634517
