mean_fit_time	mean_score_time	mean_test_score	param_estimator__fit_intercept	param_preprocessing_1__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.003925005594889323	0.001024802525838216	0.1862135620232754	True	1	{'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	10	0.15586743077158494	0.22487872118747632	0.17798566363404333	0.0006550876720477129	0.00011048059589013624	0.02877417597754472
0.003532965977986654	0.0009013017018636068	0.2173976421481565	True	2	{'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	8	0.17560780374353013	0.27135713464089917	0.20535348307026424	2.9548731708363884e-05	4.405062398781627e-05	0.0400146443378026
0.0028740564982096353	0.0006976127624511719	0.23304119467900142	True	3	{'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	6	0.18789236249291497	0.2966416152073875	0.2147251884153386	0.0006827689369383565	0.00010897076716090131	0.04625510050839145
0.0025313695271809897	0.0006015300750732422	0.24562810277530012	True	4	{'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	4	0.21867427168661235	0.3041815509147924	0.2141094281601973	3.235492286517615e-05	6.788303535481333e-06	0.0414144629880136
0.0026617844899495444	0.0006056626637776693	0.26190708377428745	True	5	{'estimator__fit_intercept': True, 'preprocessing_1__k': 5}	2	0.21983715617912591	0.301808274093445	0.2642021571691957	5.709659008339089e-05	1.705132755938974e-05	0.03351215472979286
0.00045800209045410156	0.0	0.0	True	6	{'estimator__fit_intercept': True, 'preprocessing_1__k': 6}	11	0.0	0.0	0.0	1.2931872961350076e-05	0.0	0.0
0.00046380360921223957	0.0	0.0	True	7	{'estimator__fit_intercept': True, 'preprocessing_1__k': 7}	11	0.0	0.0	0.0	3.062810189228979e-05	0.0	0.0
0.00044035911560058594	0.0	0.0	True	8	{'estimator__fit_intercept': True, 'preprocessing_1__k': 8}	11	0.0	0.0	0.0	3.6053009739601627e-06	0.0	0.0
0.00045553843180338543	0.0	0.0	True	9	{'estimator__fit_intercept': True, 'preprocessing_1__k': 9}	11	0.0	0.0	0.0	1.124421608727327e-05	0.0	0.0
0.00045220057169596356	0.0	0.0	True	10	{'estimator__fit_intercept': True, 'preprocessing_1__k': 10}	11	0.0	0.0	0.0	2.0635109274023337e-05	0.0	0.0
0.002241929372151693	0.0005665620168050131	0.1864860789290056	False	1	{'estimator__fit_intercept': False, 'preprocessing_1__k': 1}	9	0.15619434817066757	0.22489235638055172	0.1784624983942309	0.001243149258742587	0.000295023914859272	0.02861995051551269
0.003416856129964193	0.000884850819905599	0.21765033721181795	False	2	{'estimator__fit_intercept': False, 'preprocessing_1__k': 2}	7	0.1758464082137433	0.2716442145742446	0.2055859261717845	0.00011012157026650227	2.123784858984268e-05	0.040037030918058415
0.0034081141153971353	0.0008725325266520182	0.23329369277705042	False	3	{'estimator__fit_intercept': False, 'preprocessing_1__k': 3}	5	0.1883917855101196	0.29671893829943985	0.214905195083955	6.814194115913356e-05	2.3870715584824797e-05	0.04610405389669417
0.0035625298817952475	0.0008866786956787109	0.24570522715886353	False	4	{'estimator__fit_intercept': False, 'preprocessing_1__k': 4}	3	0.218691155849847	0.30420656705089855	0.21429908191310942	2.03670814576969e-05	1.2036400079339034e-05	0.04137456362073384
0.002856175104777018	0.0006781419118245443	0.2619508334730126	False	5	{'estimator__fit_intercept': False, 'preprocessing_1__k': 5}	1	0.21987008595808621	0.3018499936373348	0.26425878943477266	0.0005165239090139515	0.00012239341600887879	0.03351618147967203
0.0004245440165201823	0.0	0.0	False	6	{'estimator__fit_intercept': False, 'preprocessing_1__k': 6}	11	0.0	0.0	0.0	8.682569048403207e-06	0.0	0.0
0.0004227956136067708	0.0	0.0	False	7	{'estimator__fit_intercept': False, 'preprocessing_1__k': 7}	11	0.0	0.0	0.0	7.74850193184923e-06	0.0	0.0
0.0004317760467529297	0.0	0.0	False	8	{'estimator__fit_intercept': False, 'preprocessing_1__k': 8}	11	0.0	0.0	0.0	3.951327926208513e-06	0.0	0.0
0.00042931238810221356	0.0	0.0	False	9	{'estimator__fit_intercept': False, 'preprocessing_1__k': 9}	11	0.0	0.0	0.0	6.670988010226349e-06	0.0	0.0
0.0004222393035888672	0.0	0.0	False	10	{'estimator__fit_intercept': False, 'preprocessing_1__k': 10}	11	0.0	0.0	0.0	1.0717350498672984e-05	0.0	0.0
