mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__criterion	param_estimator__max_features	param_estimator__min_weight_fraction_leaf	param_estimator__splitter	param_preprocessing_2__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.024926815032958984	0.009025882523947506	0.0016830015182495118	0.000457519047388406	mse		0.0	best	1	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__splitter': 'best', 'preprocessing_2__k': 1}	0.5321157571482866	0.498162530576173	0.5390912539601498	0.5639962505755324	0.5226024419410222	0.5093009193553695	0.5523750297200192	0.5230415303016914	0.5290498791758791	0.5350277387440421	0.5026880334736004	0.5228766073382836	0.5627612831161695	0.5304821228092292	0.539227465886602	0.48561261043158066	0.5628597174898525	0.5397442955086279	0.5533457391781088	0.5257291709947551	0.5280547644415274	0.483580671661167	0.5542618565850705	0.563508773501199	0.5296368675876121	0.5515622388427087	0.5140595665664724	0.5380994987153938	0.5377950563876928	0.5278345495083254	0.5102920852296589	0.528880372040563	0.5713381481770277	0.5267588802012377	0.5184558469539329	0.5236800454492148	0.5478648216672662	0.5414008650031887	0.5022187136114493	0.5418735817046636	0.5314376620873137	0.5160036473937464	0.5121951221197751	0.5309117102118743	0.5648800134411047	0.5509359989514877	0.5331929624855476	0.522266432821652	0.5314419616696678	0.5208282279962897	0.5317068264147762	0.019760634037622182	9
0.043055028915405275	0.020461665278366056	0.0033086872100830077	0.004430682316944842	mse		0.0	best	2	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__splitter': 'best', 'preprocessing_2__k': 2}	0.4597479777170459	0.43017350661609666	0.4893513151876322	0.5259730592994243	0.481629415294621	0.45500231905439514	0.5304653491063396	0.46650011641183997	0.452215656799278	0.4847174388634553	0.45062372294544095	0.48912378494675257	0.4954817659624784	0.4746086162765104	0.4812072398167643	0.41783768128347876	0.5214888890382567	0.4976859833853744	0.5085337554574942	0.46283571366176823	0.48195368368977787	0.4216329187704074	0.4934045564394536	0.5450984057670154	0.4772160631586877	0.5091686717266166	0.4827222429103475	0.46702658080881954	0.48119759804370577	0.48416180473143533	0.4721210900894618	0.48394128343380227	0.5392134639631527	0.4880663249159001	0.48137202877632546	0.4525926881006874	0.5093750674946645	0.49384474307820314	0.45018416942623507	0.5043730864863047	0.4885720789521577	0.47981388433852823	0.4444405029851637	0.4799825770667858	0.5047367100422098	0.4894214783577522	0.5084872537438996	0.4835752170545924	0.4790019897608764	0.46034801945727977	0.48224498981389397	0.02693949273554627	88
0.05116380214691162	0.03250262837663633	0.0024070644378662107	0.0008885296382764591	mse		0.0	best	3	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__splitter': 'best', 'preprocessing_2__k': 3}	0.3281161259175426	0.284374454041879	0.35814209577692224	0.36535027359281036	0.3394925757152416	0.3069650060900523	0.36093362731736256	0.30640315262946227	0.3174834631575617	0.34279499484007303	0.2978902990138489	0.36015822360301286	0.34077950936764045	0.338822669599675	0.35975888894814256	0.22533961080372478	0.397988976628475	0.34859042583070465	0.3603685128987484	0.2734433046834063	0.306034934462749	0.23014237225715484	0.38928240259568736	0.3943931054320531	0.27248465481381523	0.32841841276072603	0.2825018838373117	0.34105364914200287	0.2914971352302089	0.34831288546812667	0.30927779558208035	0.37252577879428683	0.32977592883213236	0.34493862951517196	0.3349040894768458	0.2648598416752045	0.36245723105423766	0.3651260017939507	0.29134149674491916	0.36652553293238443	0.3563983805588129	0.30085267281951455	0.2561450014489275	0.27901799177513065	0.37584439596721264	0.3674671888014841	0.32923960338837466	0.3518574959615125	0.3278854069064179	0.3361162443966419	0.3283974866976273	0.040174549314311254	245
0.06315523624420166	0.022618405946169252	0.004542779922485351	0.007341557016737105	mse		0.0	best	4	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__splitter': 'best', 'preprocessing_2__k': 4}	0.15413806892476345	0.13014936040541147	0.1785857504855829	0.17307444087939294	0.19648217114121347	0.21326427786535873	0.19946653385818724	0.20151878852555327	0.15888532391601462	0.17749757060235927	0.05166059967584402	0.19800121593995323	0.19670530546775256	0.14238347413465702	0.20563609501222613	0.12889434663941735	0.23343491857748655	0.15679631290549	0.18636284738843223	0.1638030090411028	0.12904438612921032	0.07351936614996402	0.24875097965487447	0.2538018704457492	0.15667544690794666	0.1098944927079486	0.1754192392605537	0.20586391021439565	0.1836849713053309	0.18745181303624914	0.0952323749838222	0.13161109925303893	0.1724324511237052	0.1446919621345819	0.18712994778203906	0.15524945546227253	0.1599483034543383	0.21029213952450032	0.19082084507665875	0.20298495145887385	0.1576724114205823	0.17123881194629498	0.14196042875920167	0.1759904796561399	0.16704086855126166	0.2298305983426433	0.1113461912460526	0.1793746253864107	0.15747382283180678	0.18936139922372375	0.17005060109632744	0.04004117941176196	348
0.07417201519012451	0.02180799059445456	0.003325629234313965	0.0049745706052182915	mse		0.0	best	5	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__splitter': 'best', 'preprocessing_2__k': 5}	0.18562357345400593	0.07143874751125157	0.15407466081592325	0.15128146098098638	0.10701521079066745	0.16542152875055816	0.1765262545641938	0.16709382343961077	0.09000765258441312	0.12349613013588012	0.06788661739482205	0.1736975690945325	0.14347296005830645	0.12653995553494146	0.2005105456019437	0.06900517413454277	0.18987796431982218	0.11771386996185251	0.15456631204914095	0.09798717338621221	0.10858068833524226	-0.03587579885340708	0.19726837029409494	0.1905220491985734	0.07883655960457114	0.09810097671079876	0.09217861647941106	0.18745223598941085	0.1083999308904412	0.1796563187472381	0.07507604665408296	0.13320685073916705	0.1446433016492853	0.14456821247582374	0.16791893024452387	0.14134713450051417	0.2048431683471581	0.1468832900430458	0.060782560317829026	0.20273685847574296	0.1463079580035469	0.1021274219340913	0.11477425307120925	0.08140825869799684	0.16955516071357424	0.10050933893945146	0.09467368610292592	0.14655251646878098	0.14915855060189942	0.11197535294471539	0.13154811965770694	0.047149102208356025	437
0.08757420063018799	0.02428369564812984	0.003478407859802246	0.0031987423874220594	mse		0.0	best	6	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__splitter': 'best', 'preprocessing_2__k': 6}	0.16122593010128683	0.08171826113871727	0.1557752088688985	0.19228357688165476	0.1182412992892734	0.10293886159752885	0.1463462109727719	0.23409282051188984	0.1261333369676958	0.1453002950084703	0.06204221752015471	0.10746238505353778	0.18139350495363515	0.07057125429615208	0.1330390641242426	0.061275504468790376	0.20633492709472334	0.16516556286782913	0.21536261345545205	0.09616741630980996	0.12531320760912878	0.02555674830859822	0.19030532498645558	0.15113391748258398	0.08265638659494479	0.11474383455420645	0.11318176201733332	0.17122473530401783	0.17262096066107158	0.1362091883618748	0.15242845136475602	0.14499166877886582	0.09020712926144658	0.13584247587731013	0.08961853346632609	0.14915756312291906	0.06430058580577602	0.08319573645116962	0.09677325954055505	0.17979334624344268	0.19268229904567513	0.07913813468821829	0.07936642626043022	0.11467214324335961	0.20696502133552663	0.1632306117234098	0.12567209581113548	0.1403792608662231	0.1820980677451296	0.1032590306222061	0.1323917631723322	0.046253585280380184	435
0.101379075050354	0.0418404888957793	0.004076461791992187	0.0038729429669426356	mse		0.0	best	7	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__splitter': 'best', 'preprocessing_2__k': 7}	0.22017615764199783	0.08387291070621883	0.17326338256738316	0.12763614384841337	0.14140749487821536	0.21498141934610715	0.20089088054243798	0.2089708537054239	0.13190944207345567	0.10531827190831144	2.841781628915019e-05	0.1070003523067583	0.2125731152220215	0.08880391823691192	0.11504711420017999	0.11328666345536598	0.18981001339695025	0.1935920884746044	0.19361636676159633	0.12514091976857633	0.17383280410617907	0.005148462960073874	0.11754508265875196	0.14830582439175122	0.08842334873219726	0.0667504915025553	0.1227007635470393	0.2040828972734784	0.1039377031473131	0.19453828458757794	0.10764643546497821	0.14173985488879426	0.11694232683542971	0.12561264262017646	0.11848699074420666	0.1731779917213152	0.05134057685960791	0.14092336740210032	0.1669963660146373	0.12939412668654815	0.1717619937111936	0.0648091367742063	0.12719900748901591	0.08618373420993719	0.2197591171005241	0.19595494785187373	0.12638545102191767	0.15666255074239155	0.12883848208628756	0.18191852610931003	0.13808650432197175	0.051882432405425456	424
0.11725658893585206	0.03431225921583721	0.0027187108993530274	0.00209411281518226	mse		0.0	best	8	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__splitter': 'best', 'preprocessing_2__k': 8}	0.1337821747268011	0.03244679516137117	0.1793192911013598	0.17902591304140336	0.1259532210334624	0.1445118475593613	0.161563765003218	0.17998396892873247	0.1572155073050684	0.14229644364675686	0.08545489006171902	0.1544944154880762	0.1905798942599819	0.14416434248610466	0.16424490675322423	0.12391066255412997	0.1882360089688454	0.22090380403252585	0.17172168450028868	0.11867533509779826	0.19036175105692021	0.09451108967329813	0.13918228311121295	0.1597775259432982	0.13987303438810628	0.05351105266215872	0.17158775240713342	0.20790339361669585	0.18729519603198008	0.0632708949501587	0.12380630664593772	0.1496897252226549	0.1775288205307165	0.08202501106689719	0.12192939769914679	0.1895205968532243	0.1894068438186085	0.1177825544056541	0.17687583192472267	0.20423657649774818	0.15952206721815232	0.07502024285867093	0.14943571461299954	0.12555291517969214	0.19877839171605116	0.1688714063807365	0.07792051951322054	0.11355741531343455	0.18157273893705284	0.17080349861298094	0.14719190841118987	0.04256025212322168	403
0.12831361770629882	0.05461346009269848	0.0031738901138305665	0.0037530833826524804	mse		0.0	best	9	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__splitter': 'best', 'preprocessing_2__k': 9}	0.12735326024316962	0.07473774030015556	0.17739741599636216	0.17354178420400457	0.12470122922831783	0.12385172126969324	0.13311776951567678	0.14365652052513778	0.1571384069032118	0.13259956138488027	0.02562212921746798	0.1280136937673798	0.1906185466694056	0.15864322267435516	0.16440687479455107	0.06715819678021784	0.1922669959188701	0.10990671263691942	0.18337762668002877	0.0972734314090834	0.15426221074319513	0.09132938735955254	0.19596489653053895	0.14328695496294952	0.12347584153517621	0.11594457132386138	0.12100385980148232	0.2520621041035528	0.18618813636258214	0.1583535984226092	0.10451619407399326	0.1732313401248341	0.21482427330504017	0.11188956894404722	0.14025886300372292	0.15383005441607367	0.18737697781815432	0.15655755754636358	0.0989927090002165	0.21284365384143034	0.15091209701157904	0.06265300680417984	0.17040292280356983	0.16468868203302556	0.18675290507623843	0.1891164502193612	0.08985591309372054	0.17982469090913522	0.19612872466084452	0.17080349861298094	0.14685428969125802	0.04375366394634374	404
0.13912493705749512	0.04523536152083039	0.003907856941223145	0.004362134277342687	mse		0.0	best	10	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__splitter': 'best', 'preprocessing_2__k': 10}	0.3619694381976475	0.2473272097575666	0.3560116835670718	0.35396962295442425	0.37384759845208293	0.2899273518289479	0.40058598308653115	0.3074845541982948	0.3187408491947291	0.3332472854871703	0.23092477098186204	0.3156474043939388	0.38063379139591946	0.33145697192403323	0.36168394913070867	0.2466334756729407	0.3290902101082782	0.329051685161285	0.39640272483366223	0.27863717356660567	0.3031427982898217	0.39021300347424437	0.37960182753503424	0.3717650108645918	0.3314921264577797	0.35641148261205746	0.3087945409764552	0.4044064995868907	0.25457982260538814	0.3018391937780698	0.39382875463577316	0.3059642678326838	0.3212700687497274	0.3573863582731621	0.30056058058998214	0.3415655085809962	0.33293031043896093	0.38909274419968065	0.32836097587936464	0.3765346156867313	0.3686558295254785	0.2773303247632243	0.23830063995193995	0.32325467178867884	0.38734103802433717	0.2938961427581973	0.3412627219812905	0.4079914004839058	0.27347025842993544	0.3654346280877442	0.33339903761471656	0.0462853891283776	240
