mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__leaf_size	param_estimator__n_neighbors	param_estimator__weights	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.002946138381958008	0.00026627284569604386	0.0016766071319580078	6.999839552835053e-05	10	1	uniform	1	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 1}	-0.7673362282412017	-0.4748041903089537	-0.6398588096682913	-0.6630073743413201	-0.6297868131616033	-0.6349586831442742	0.09381978957359058	709
0.002919435501098633	9.554548331662803e-05	0.002051639556884766	0.00040258543751047594	10	1	uniform	2	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 2}	-0.04579139615876171	0.13090614429735903	0.015268665326397368	0.14102326457671788	-0.32383644348113694	-0.016485953087884867	0.16903554226855724	661
0.002837467193603516	0.00018509485696945933	0.0018703460693359375	8.477225965061166e-05	10	1	uniform	3	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 3}	-0.13822773926220533	0.09127951535782941	-0.0027540569344950416	0.20292919969998946	-0.0032684503146771515	0.029991693709288263	0.11326065252829669	643
0.0026984214782714844	0.0001680918955950325	0.002196073532104492	0.00012251653177453402	10	1	uniform	4	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 4}	0.6628303197751115	0.6767105298071593	0.7058070229807227	0.6485271900688805	0.5701704179310193	0.6528090961125786	0.0454488053960376	379
0.0027432918548583986	0.00010872142353744756	0.002443838119506836	0.00015087435124829968	10	1	uniform	5	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 5}	0.8648386781981845	0.8585339970613948	0.8700528031161029	0.8702951649353055	0.8253923078287044	0.8578225902279384	0.016772584974914642	91
0.0029237747192382814	0.00017852972969041047	0.0027762889862060548	8.172488113783132e-05	10	1	uniform	6	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 6}	0.7316866935326783	0.7661366640622123	0.8188831329926609	0.7825001234107776	0.7475936207066955	0.7693600469410049	0.030095337602149587	229
0.0030893325805664063	7.959590605198019e-05	0.0034414291381835937	0.0001701494764991902	10	1	uniform	7	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 7}	0.6026002741898001	0.6999614247275197	0.5906823790488642	0.7221623507913675	0.6461352774763399	0.6523083412467784	0.05187900708061351	391
0.0029144763946533205	0.0001687161052181834	0.004118680953979492	0.00016118386741729835	10	1	uniform	8	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 8}	0.546496716504917	0.6304347353692674	0.5550078103459284	0.6156790050750434	0.5737676282200017	0.5842771791030316	0.03319971275832686	457
0.003056764602661133	0.00012208660955718244	0.005222892761230469	7.336982270166757e-05	10	1	uniform	9	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 9}	0.5947172174975149	0.5638626236439779	0.46568076548714266	0.5419803498565587	0.5494087732864372	0.5431299459543263	0.04273221573554665	481
0.003037881851196289	0.00015874040058221742	0.006556797027587891	0.00013694289990912801	10	1	uniform	10	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 10}	0.38803756657238253	0.5353406032864235	0.38515501670920826	0.5225557404302666	0.3736663016462649	0.44095104572890914	0.07212348395673561	493
