mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__leaf_size	param_estimator__n_neighbors	param_estimator__weights	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.002473735809326172	0.0004273610460662574	0.0021591663360595705	0.0001657387738231145	10	1	uniform	1	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 1}	-0.6510520657349097	-0.20040989606207016	0.2511938872970392	-0.1377052699366752	-0.20344082376371886	-0.18828283364006698	0.2864367541629489	653
0.0019901275634765627	7.382424853065572e-05	0.0018117427825927734	8.88593432889844e-05	10	1	uniform	2	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 2}	-0.3976347719244353	-0.29556433904260015	-0.9102196752626552	-0.617115666702444	-0.0763167930844526	-0.4593702492033175	0.2847884889959731	711
0.0017964839935302734	3.470214974969116e-05	0.0017371654510498046	5.983126474616146e-05	10	1	uniform	3	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 3}	-0.28244509291967423	-0.3321622017274193	-0.3982808022922637	0.07695610174948997	-0.09326666384168814	-0.20583973180631107	0.17407210717145088	677
0.0017703056335449218	2.1156421603310425e-05	0.0018251419067382812	3.712213261257783e-05	10	1	uniform	4	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 4}	-0.2440485332514204	-0.2516469038208171	-0.15377268385864373	-0.09477299559944208	-0.11869146997754143	-0.17258651730157293	0.06429765945157633	641
0.001777982711791992	1.7624665115783788e-05	0.001988935470581055	4.406666804629545e-05	10	1	uniform	5	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 5}	-0.26708646905237265	-0.10525545308154016	-0.01623686723973261	0.03402382741225696	0.06775710835204884	-0.05735957072186794	0.11997964244741732	589
0.001802206039428711	8.38881115234336e-06	0.002115488052368164	6.168898174330511e-05	10	1	uniform	6	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 6}	-0.21333128551681746	-0.06865759039672104	-0.0009551098376312517	0.041179206468462404	-0.11021653459892367	-0.0703962627763262	0.0886456505578744	595
0.0018280029296875	1.5566670192011848e-05	0.002250480651855469	6.553994476132799e-05	10	1	uniform	7	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 7}	-0.13653816618031	-0.11989459815546799	0.06781279847182431	0.005402311187434949	-0.11021653459892367	-0.058686837855088485	0.08071196429939957	593
0.0018563270568847656	6.078504936209661e-06	0.002443218231201172	6.407928563311122e-05	10	1	uniform	8	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 8}	-0.15189679004761159	-0.12721417069243168	0.07545367717287488	-0.030374584093592505	-0.3051400483071316	-0.1078343831935785	0.1271543399941028	603
0.0018778324127197265	7.153193127669974e-06	0.0025551319122314453	8.269063024008031e-05	10	1	uniform	9	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 9}	-0.16725541391491294	-0.09061630800761256	0.12129894937917862	0.019713069299845953	-0.28819017754989606	-0.08100997615867939	0.14249787804215475	601
0.0018868446350097656	1.476425218720632e-05	0.002662515640258789	8.937149615785233e-05	10	1	uniform	10	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 10}	-0.13653816618031	-0.09061630800761256	0.006685768863419317	-0.04468534220600362	-0.31361498368574936	-0.11575380624325125	0.10977714252738341	609
0.0017531394958496093	1.0747786845308182e-05	0.0017117977142333985	2.0287389799252444e-05	10	1	distance	1	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'distance', 'preprocessing_1__k': 1}	-0.6510520657349097	-0.20040989606207016	0.2511938872970392	-0.1377052699366752	-0.20344082376371886	-0.18828283364006698	0.2864367541629489	653
0.0017301082611083985	2.338184996222997e-05	0.001690816879272461	4.266704146508467e-05	10	1	distance	2	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'distance', 'preprocessing_1__k': 2}	-0.3976347719244353	-0.29556433904260015	-0.9102196752626552	-0.617115666702444	-0.0763167930844526	-0.4593702492033175	0.2847884889959731	711
0.0017467021942138671	3.812908706990014e-06	0.0017673492431640625	4.024641206454948e-05	10	1	distance	3	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'distance', 'preprocessing_1__k': 3}	-0.28244509291967423	-0.3321622017274193	-0.3982808022922637	0.07695610174948997	-0.09326666384168814	-0.20583973180631107	0.17407210717145088	677
0.0017581939697265624	1.0618168896061178e-05	0.001895570755004883	3.26602474887647e-05	10	1	distance	4	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'distance', 'preprocessing_1__k': 4}	-0.2440485332514204	-0.2516469038208171	-0.15377268385864373	-0.09477299559944208	-0.11869146997754143	-0.17258651730157293	0.06429765945157633	641
