mean_fit_time	mean_score_time	mean_test_score	param_estimator__C	param_estimator__intercept_scaling	param_estimator__loss	param_estimator__random_state	param_preprocessing_2__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
4.253214359283447	0.06585073471069336	0.287989560320861	0.01	0.1	squared_epsilon_insensitive	3111696	4	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'squared_epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 4}	316	0.2883131778673609	0.28943506867689517	0.2862204334474733	0.13825844006333116	0.007980072943320836	0.0013321696098297893
4.4704922040303545	0.072754700978597	0.29563117538980965	0.01	0.1	squared_epsilon_insensitive	3111696	5	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'squared_epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 5}	205	0.2961640374846821	0.29696241025433145	0.29376707683182746	0.590104308962913	0.010065501219412614	0.0013578152833842907
4.576268831888835	0.07453354199727376	0.2970952712824014	0.01	0.1	squared_epsilon_insensitive	3111696	6	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'squared_epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 6}	170	0.2977380896923649	0.29822482119594607	0.295322901030436	0.47815693119637037	0.0023521496749442975	0.0012689091423581575
5.157799641291301	0.07343379656473796	0.3024217332812765	0.01	0.1	squared_epsilon_insensitive	3111696	7	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'squared_epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 7}	130	0.30312782181960773	0.3034712551489578	0.30066612075699617	0.2583033298131205	0.010744371318240692	0.0012492970454839089
5.645721038182576	0.09877173105875652	0.3024233022028086	0.01	0.1	squared_epsilon_insensitive	3111696	8	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'squared_epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 8}	129	0.3031288905517283	0.30347299813048445	0.3006680158094459	0.12529628907347368	0.013195712988187525	0.0012490988210509587
5.875347137451172	0.08658695220947266	0.30659346295394163	0.01	0.1	squared_epsilon_insensitive	3111696	9	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'squared_epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 9}	64	0.30727030838696834	0.3077860322336884	0.30472404621062965	0.13597245498483537	0.00961655513241696	0.0013385385297254883
6.152864058812459	0.10887765884399414	0.3078550886358192	0.01	0.1	squared_epsilon_insensitive	3111696	10	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.1, 'estimator__loss': 'squared_epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 10}	30	0.30849297134864295	0.3091831553589519	0.3058891372862125	0.46952352624979904	0.01337117628066974	0.001418404675506386
1.8059744834899902	0.05557044347127279	-1.9354514362799577	0.01	0.25	epsilon_insensitive	3111696	1	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.25, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 1}	896	-1.9638639578263128	-1.8727556189355963	-1.969734646840314	0.03536853107692475	0.006985399705381623	0.044397341992000974
1.792065143585205	0.0543971061706543	-1.7440176442497268	0.01	0.25	epsilon_insensitive	3111696	2	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.25, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 2}	892	-1.7432597825222427	-1.7418663041010043	-1.7469268483995202	0.10410859378721739	0.0024748366916423356	0.002134328596666186
1.9584108988444011	0.06040279070536295	-1.7616671848213785	0.01	0.25	epsilon_insensitive	3111696	3	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.25, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 3}	893	-1.7614813024727942	-1.7587561514842975	-1.7647641010646908	0.15534416441219284	0.005158964366206825	0.0024562532143695965
2.3507815996805825	0.07242059707641602	-1.0167689955878825	0.01	0.25	epsilon_insensitive	3111696	4	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.25, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 4}	881	-1.0146154068780544	-1.0156238183587423	-1.0200677679876233	0.10588363077640696	0.004382102304298575	0.0023686333362715473
2.380323648452759	0.06868346532185872	-0.9965422276955016	0.01	0.25	epsilon_insensitive	3111696	5	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.25, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 5}	880	-0.9942224707203791	-0.9958384392502808	-0.9995657800751232	0.17501038255559365	0.0063691765128120505	0.0022374435349991955
2.7915426095326743	0.09000746409098308	-0.9959425363209033	0.01	0.25	epsilon_insensitive	3111696	6	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.25, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 6}	879	-0.9937916050205442	-0.9951053905118992	-0.9989306198830668	0.13364599285151676	0.010729275698543376	0.002179905316171899
2.3373217582702637	0.07881935437520345	-0.9481453489262408	0.01	0.25	epsilon_insensitive	3111696	7	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.25, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 7}	878	-0.9454547421118833	-0.9474238541356452	-0.9515574586030222	0.07581387949037888	0.004091238592600246	0.0025431223934625335
2.726215362548828	0.08361315727233887	-0.9473577181306134	0.01	0.25	epsilon_insensitive	3111696	8	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.25, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 8}	877	-0.9446311665897746	-0.9466658687945364	-0.950776127187192	0.02167874720637394	0.012555191792560481	0.0025559252721711377
2.638906478881836	0.09841879208882649	-0.9213754029538153	0.01	0.25	epsilon_insensitive	3111696	9	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.25, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 9}	873	-0.9189662399774603	-0.9206842515176099	-0.924475724593872	0.11702485836840497	0.006479311348120264	0.0023017205408606797
2.6187655925750732	0.08406186103820801	-0.9003476641343022	0.01	0.25	epsilon_insensitive	3111696	10	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.25, 'estimator__loss': 'epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 10}	872	-0.8974151062207905	-0.9002044519626173	-0.903423443017181	0.10405192013774898	0.0034574148783758515	0.0024549833059479055
2.018946965535482	0.061511596043904625	0.12493516149565653	0.01	0.25	squared_epsilon_insensitive	3111696	1	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.25, 'estimator__loss': 'squared_epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 1}	770	0.125630706940552	0.12491335560643291	0.12426141985334627	0.165272947070035	0.0025485811554211814	0.000559221863087822
2.6245636145273843	0.0598453680674235	0.2130266214621846	0.01	0.25	squared_epsilon_insensitive	3111696	2	{'estimator__C': 0.01, 'estimator__intercept_scaling': 0.25, 'estimator__loss': 'squared_epsilon_insensitive', 'estimator__random_state': 3111696, 'preprocessing_2__k': 2}	656	0.21342073031651987	0.21399784446220094	0.21166128842550525	0.3325712708622556	0.005293284354913331	0.0009937685359461094
