mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__alpha	param_estimator__fit_intercept	param_estimator__l1_ratio	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.05648524761199951	0.032984710819211116	0.0012012243270874024	0.00017217987783436063	0.1	True	0.0	1	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 1}	0.3733112116470937	0.3818915786078002	0.3515612666257123	0.3666970121497184	0.3639682855274837	0.35725582314862925	0.3629018677934551	0.3737448072105647	0.37009062407427984	0.3736074827652133	0.3609806698461213	0.36931139063900054	0.376808461924946	0.3659594636910537	0.3653385979071766	0.35826101574519453	0.3686275460075543	0.36743678684657444	0.3881529637957961	0.35515149544953106	0.3807737550280669	0.35560085555595045	0.3794460463952364	0.36265538870103364	0.35768989682584496	0.3681708612563077	0.37640364425317274	0.3530790604706294	0.36098674116095697	0.3799136604161014	0.35527840651915255	0.36630108692862595	0.38435111650657405	0.3712056393382712	0.35966640577454545	0.3724476544732125	0.3603398341810633	0.3828922838255334	0.3620692607214874	0.3595799541981157	0.3679914712758666	0.3682575468288608	0.37256064727070504	0.3671349681699485	0.3619932367238906	0.36616153121348927	0.36279962929630927	0.35838743692325925	0.37421412441266844	0.3757046764726556	0.36750222119941217	0.008692075640966619	74
0.05333621025085449	0.02845724502297213	0.001178593635559082	0.00021091555859994364	0.1	True	0.0	2	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 2}	0.4040288598858812	0.40739763456734013	0.3801006480299758	0.39620038538948177	0.39560673797336043	0.38441335592176384	0.3947997659051917	0.39701077242666283	0.4045650643990888	0.40246902450814914	0.3894781853485004	0.3973532392338779	0.4027720016356684	0.39719523496181663	0.39727579687462455	0.3819445846271038	0.3986787814648787	0.3934725852245	0.4212709333289256	0.38795248178766384	0.4090811922773925	0.38452009401685683	0.40718987686664	0.39400217392977244	0.3874435671593498	0.39439205109232667	0.40840022423738787	0.3833410412294713	0.39046051794506853	0.4078291482666083	0.38095619584034046	0.39705095681059177	0.4112590085094707	0.4001601474491372	0.3933274400269251	0.4007468889515601	0.38433519473871725	0.413755238300734	0.3940408454761085	0.39031108463559583	0.39183358442750005	0.3982237476186684	0.40530013072078297	0.40152219904553177	0.38670774788716267	0.39481114994139166	0.3909525683090471	0.3862824121385464	0.40586582477044786	0.40532765256637626	0.39666811954417874	0.009168797093674335	66
0.0951980447769165	0.005914705196968012	0.0012829828262329102	0.00014521567602419035	0.1	True	0.0	3	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 3}	0.41189363648469246	0.41429968372444637	0.39194326079218766	0.4017850917300517	0.4040874260052302	0.38972178405624514	0.40690063483495686	0.41066204016254293	0.4088477222415955	0.4065364167605965	0.3988719343157612	0.4074006107898147	0.41048935359621885	0.4044739612047422	0.4034851701341101	0.3895642394473152	0.40662933852093774	0.4011241764299813	0.4296231568047696	0.3971257101779395	0.41753102015383514	0.39395626848905263	0.41506580792746917	0.4017123616876068	0.3947330069942997	0.4011369379797589	0.41652112419195175	0.3952958519726574	0.39925086529841347	0.4126365328255498	0.3909078216964442	0.4056612957880821	0.41959621418022996	0.40671027097320445	0.4007308903993877	0.4101407773231952	0.39591060547523127	0.41682324976423046	0.4008888209036242	0.3998425403566669	0.4006047719176429	0.4049352146904883	0.41336655639238806	0.40860055115913574	0.39667568975055467	0.4042232024579647	0.3990311320720572	0.39461827444791975	0.41388376437441476	0.41226391737868806	0.4047742242842112	0.008487955593668554	58
0.12453332424163818	0.009274986898635103	0.0012801122665405274	0.00013842019857448026	0.1	True	0.0	4	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 4}	0.41837871430572393	0.42031479724187004	0.3939614071240721	0.4073739748118067	0.4073584488844514	0.39407589636769136	0.4120923193238356	0.41727232962549854	0.4133800521333313	0.40934229563399693	0.39734958244427176	0.4117352709376314	0.41511776575985815	0.4052012249504211	0.40680633269243716	0.39299931450928993	0.41218052258540616	0.4060636409556079	0.43478691175934825	0.4017420678205753	0.4227579250712302	0.39744047824710127	0.41913624709078	0.40345798795371146	0.4000287731218648	0.40862443948793903	0.4214023517745128	0.39773076430773446	0.40326253206814344	0.4171407095995946	0.3956362412988609	0.4063414744352579	0.42155584573167926	0.4097267373396213	0.40353476257706256	0.41652699213486066	0.3989650821383558	0.4231674594293542	0.40537374215399424	0.4029513183182373	0.4032337316363589	0.4091253304996322	0.417754987713268	0.4133758964521106	0.39613707700014456	0.40681344894352356	0.4033477354589383	0.4006531218965249	0.4157083539116554	0.41676466134532475	0.40870400642274207	0.009121643135193943	48
0.1585625982284546	0.0430064267332352	0.0015929412841796874	0.00109148761601797	0.1	True	0.0	5	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 5}	0.4219392610769238	0.42461265614196186	0.398889622579624	0.4093105048784522	0.4082428700060139	0.3952227263368986	0.4159288032390728	0.42114643282767006	0.4172720925432488	0.41282350534543866	0.4015299168315706	0.41540600042652864	0.4204944854771596	0.41028951408998926	0.41065924285647715	0.3946832534484974	0.4138922823746992	0.4095143509270832	0.4387777725101122	0.4060548718623933	0.4257068651657896	0.3994088166620897	0.42352276092227803	0.40889617178488546	0.4019759737744458	0.4114213245830268	0.42596634033609404	0.4014178427790742	0.4036067841267319	0.42081691860903325	0.40047469265249225	0.4130919672424296	0.4251319158462774	0.41617949635262497	0.40586304454354083	0.4187701649475247	0.39839530075608687	0.4265932935954364	0.4096759358781601	0.40542000254559796	0.4085135362895759	0.4117486979911421	0.41931468888636525	0.4161052627985956	0.4032365752750029	0.4077501124764057	0.4064635860995396	0.4046761532991886	0.4215315893865348	0.418983673129557	0.41214679042640023	0.00940178524693142	44
0.20184572219848632	0.07120193131126279	0.0014122724533081055	0.0002748849889886166	0.1	True	0.0	6	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 6}	0.42658675449970795	0.4268207503311937	0.40406142793117084	0.413002063926564	0.4132322078665005	0.39963726185633075	0.41769364110150553	0.4256312308285536	0.4214511740075151	0.41817914578455806	0.4055404797139174	0.42102409629107984	0.42539210125168625	0.41707810386363164	0.4150346206243648	0.4007798175505809	0.4163580188747328	0.41275501640003687	0.4436820697679804	0.4102783026923924	0.4308563325622635	0.40417529198276547	0.4286976874590567	0.412636200671173	0.4066201699783255	0.41494256328056633	0.4303052702436688	0.4048887088502974	0.40974114688681706	0.4245284258085593	0.4058010510947937	0.41874866870547023	0.42857414236731006	0.41993557711577145	0.4097780944745859	0.42384068347697623	0.4039396033929574	0.4308164833225113	0.41383189306075474	0.41051930339896037	0.41455914170736385	0.41683108248604217	0.4216620120533783	0.4228827356986	0.40703748222917635	0.4136325135185762	0.41061532012870006	0.40995977196714883	0.42506157081518303	0.42427574049629213	0.416678084156596	0.009231505794274826	35
0.2127934455871582	0.030087432012226197	0.001385025978088379	0.00019091571512900224	0.1	True	0.0	7	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 7}	0.42657891526258584	0.4268363404094807	0.40408627163597644	0.4129550546860602	0.41326028542328175	0.39966611820039366	0.41771050464197323	0.4256325810753985	0.4214035078829935	0.4181986382844266	0.40555053236151806	0.4210171803721928	0.4253990125012682	0.4171030098869075	0.4150428688987372	0.40074838121010814	0.41635750210011657	0.4127836754992501	0.4437102099345631	0.41026217367850004	0.4308799059790235	0.4041597615813193	0.4287142372838232	0.41266096099528515	0.40659724033641953	0.41492415180217435	0.43030621725045315	0.4048853826401613	0.40975222683904344	0.4245566877742495	0.4057842486928266	0.4187761624425499	0.42858359691534265	0.41993292588332765	0.4097928354628597	0.4238251782717124	0.4039678864547719	0.4308323402414017	0.41384130258659013	0.41050382595156887	0.41457517823670054	0.41685012856435044	0.42160216973859654	0.42290563042075613	0.4070565329946819	0.4136463569048259	0.4105986852350302	0.4099845297865139	0.42500230968043207	0.42430615948396433	0.4166819752672854	0.009233167992686517	33
0.2589366674423218	0.05540645800484365	0.001434469223022461	0.00023702103138020003	0.1	True	0.0	8	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 8}	0.42666154319522076	0.42687466472752034	0.40408196817246667	0.4128367172674725	0.4132034389149235	0.39975129711066815	0.41779528096039165	0.4248333502087449	0.42148601960668364	0.4181278453232802	0.4052744078818644	0.4209376693734824	0.42506765055970097	0.4169974806327763	0.41505837117533484	0.40082060735230773	0.41637368547531894	0.4125569721720661	0.4435476279548982	0.41009736007569153	0.4308916357529272	0.4042337056662578	0.42852557949854264	0.4126472745056836	0.40662641887721085	0.41487960900523446	0.43039265846303043	0.40492859702803896	0.40981603807855027	0.4239266672685278	0.4058387313695616	0.418688641584659	0.4283006817042	0.4200150226944416	0.40988110248042753	0.4238595205376424	0.4040239877864772	0.43089081214407177	0.41385613764919993	0.41028436549338554	0.4145951199514817	0.41690848187366214	0.42163931481565087	0.42268679780938256	0.4070010863885416	0.4136391207073832	0.41051522572056376	0.40999260381468305	0.4250322498271094	0.4243446046247238	0.4166247433428146	0.00919015732443252	39
0.2875542259216309	0.08259289919833146	0.0014586734771728515	0.00016925739548679335	0.1	True	0.0	9	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 9}	0.4267111990615383	0.4269304536217965	0.4039735215838718	0.41287137262074214	0.4131263911339532	0.3997585683776398	0.417779161783708	0.42490025181533464	0.4215531403506827	0.418194993765848	0.40528444240323214	0.42098114232104544	0.42513687772201003	0.41697453213231817	0.4151048219481748	0.4008325767460229	0.41633121067048284	0.4125296418891673	0.4436101213163991	0.41012307850178076	0.43081393184104844	0.4040377384345467	0.4284528984951681	0.41270938388462663	0.4067062827787784	0.41493311292163804	0.4304027757113138	0.4050127807343601	0.40989860050308347	0.423745391790291	0.4058988516083829	0.4187459231335593	0.42836952637978276	0.41997421764927767	0.4096139026316715	0.42384698509698193	0.40410563112265196	0.43089417379358286	0.41380952127771553	0.4103485369451554	0.41459222047219013	0.4169901686314246	0.42140063030781993	0.4227483480496581	0.4070554038841888	0.41367342770179216	0.4104618175551914	0.4099452649256218	0.42500491590661094	0.42443091164953806	0.41662644449635666	0.009195430801205986	38
0.005874638557434082	0.0007864475127225762	0.0	0.0	0.1	True	0.0	10	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'preprocessing_1__k': 10}																																																					570
