mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__criterion	param_estimator__max_features	param_estimator__min_weight_fraction_leaf	param_estimator__random_state	param_preprocessing_2__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.006603384017944336	0.0005396220057850861	0.0010513782501220704	0.00020193895454192443	mse		0.0	3111696	1	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 1}	-1.181409115946622	-0.12378438656008695	-0.2408134279898595	-0.7077262964243014	-0.00902369301116912	-0.4525513839864079	0.4349678936758472	469
0.006644439697265625	0.0008137536524974682	0.00093231201171875	0.000172161301520205	mse		0.0	3111696	2	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 2}	0.18912804506391767	0.48594226826343623	0.21604356059510876	-0.29249020758240385	0.29181633585188693	0.17808800043838915	0.25718271383987906	390
0.009384489059448243	0.0014907011684132565	0.0011810779571533204	0.00026107282504064	mse		0.0	3111696	3	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 3}	0.18455119162392708	0.397885852756381	0.36721212790333535	0.33113644949265886	0.6401641584561123	0.384189956046483	0.14742382938467835	112
0.010382080078125	0.0015996858376146736	0.0014997005462646484	0.000256431231044925	mse		0.0	3111696	4	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 4}	0.45708897452276154	0.6781531285916051	0.6142628375241581	0.21288630010892706	0.7193957365845396	0.5363573954663983	0.1847134831270694	31
0.008342742919921875	0.0026614291385726693	0.001193666458129883	0.0003325084214063041	mse		0.0	3111696	5	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 5}	0.47803465507467846	0.581922077761029	0.4352168522248132	0.15925238097205918	0.48414449366526313	0.42771409193956855	0.14256551748004845	77
0.00994729995727539	0.0004465596407255745	0.0015966415405273438	0.00026802458042172767	mse		0.0	3111696	6	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 6}	0.3770828054490032	0.5911469212870007	0.4156888811780989	-0.02086877004354437	0.44047967492668905	0.3607059025594495	0.20413597406043182	131
0.010231256484985352	0.0012042187242557738	0.0015222549438476563	0.00013576445736145375	mse		0.0	3111696	7	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 7}	0.317132511079817	0.49633327423274964	0.3379917726137103	-0.006271211498811047	0.4238204439104978	0.3138013580675927	0.17231646595364972	191
0.008461284637451171	0.0009330933246222768	0.0011279582977294922	0.0002925693827903326	mse		0.0	3111696	8	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 8}	0.5115340305552144	0.4574216904489483	0.3238582090914286	0.15065337151488523	0.4110262920128478	0.3708987187246649	0.12617096355484217	118
0.007979440689086913	0.0019154551102208612	0.0010815143585205078	0.00031148349997980597	mse		0.0	3111696	9	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 9}	0.48473236076032244	0.4671864926885082	0.35905004608389635	0.07806209021218224	0.4287921005517059	0.36356461805932305	0.1491347136064873	127
0.007828617095947265	0.0014307081452915181	0.000996541976928711	0.00020158458784589453	mse		0.0	3111696	10	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 10}	0.44258728271069026	0.4420421125325906	0.4088764034168111	0.1958854319948713	0.6315045228034333	0.4241791506916793	0.13855969884639058	81
0.0068928241729736325	0.0009026988562296813	0.0008414268493652343	0.00011321718878313749	mse		0.1	3111696	1	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__random_state': 3111696, 'preprocessing_2__k': 1}	0.25105784764517025	0.3120594461393682	0.2810107685978256	0.0650049311975871	0.37734351440837877	0.257295301597666	0.10486906186466563	281
0.0069790840148925785	0.0007982398815733301	0.0009342193603515625	5.465427548528019e-05	mse		0.1	3111696	2	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__random_state': 3111696, 'preprocessing_2__k': 2}	0.3653124656774479	0.49513826885428003	0.5253337167018954	0.4047639065782357	0.4966861266397764	0.45744689689032714	0.06137300360765824	43
0.006999063491821289	0.0007188890586349079	0.000978851318359375	0.00016560538715077128	mse		0.1	3111696	3	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__random_state': 3111696, 'preprocessing_2__k': 3}	0.339432362524162	0.503096981750994	0.4875098281384047	0.4748070607892153	0.5834662222898926	0.4776624910985337	0.07880867315654917	39
