mean_fit_time	mean_score_time	mean_test_score	param_estimator__learning_rate	param_estimator__loss	param_estimator__n_estimators	param_estimator__random_state	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.030189037322998047	0.0016625722249348958	0.5037776263987113	0.001	linear	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	56	0.2857891252045285	0.4974206690211733	0.7347287971278312	0.0033949297487946345	8.740359930024458e-05	0.1837701753209811
0.0820314089457194	0.003024895985921224	0.5186624837295443	0.001	linear	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	43	0.37698613837314776	0.5239460944501855	0.6593484409518573	0.004103713263401237	2.739797302236271e-05	0.11560836348206466
0.15482735633850098	0.005533456802368164	0.5076962226635392	0.001	linear	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	50	0.36319414110414616	0.5224039030581817	0.641869474784635	0.00040948435497861253	1.8909865156765562e-05	0.11450627097727892
0.3172212441762288	0.011064370473225912	0.5351534627749741	0.001	linear	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	35	0.3294158457633194	0.5989841166761065	0.6832948991282737	0.004208355640856172	0.0003878267573520393	0.15158557710805826
0.01628907521565755	0.0009438991546630859	0.5041041409208273	0.001	square	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	55	0.2900984382133295	0.4971965997027976	0.7315024061405218	0.0002788020510123542	1.3060174278890688e-05	0.18069727714814057
0.07977771759033203	0.003085056940714518	0.5052762460509787	0.001	square	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	54	0.35341059263207986	0.5163694040407631	0.6506507309776357	0.0005756546689110248	6.045884416937076e-05	0.12188610975520611
0.1575481096903483	0.005706787109375	0.5075984021521168	0.001	square	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	51	0.3555172913889535	0.53083905256318	0.6410473810121915	0.0014369676169165306	0.0002616618289546955	0.11797811625947041
0.35440413157145184	0.012142658233642578	0.5282106660976527	0.001	square	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	39	0.32703406736055307	0.5823276007511531	0.6813665907490425	0.03423438383355672	0.0005769696445737558	0.14989217283368383
0.016824801762898762	0.0010077953338623047	0.5037776263987113	0.001	exponential	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	56	0.2857891252045285	0.4974206690211733	0.7347287971278312	2.0305587818986807e-05	3.878731518399693e-06	0.1837701753209811
0.10176277160644531	0.005243221918741862	0.5185030007849707	0.001	exponential	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	44	0.3781959501138199	0.5365149787756485	0.6450498022736604	0.01736684601185081	0.002287106124639134	0.1099316892625758
0.16695070266723633	0.0056763490041097	0.515448718372189	0.001	exponential	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	46	0.3583002268426193	0.5467364664031149	0.6460715373717288	0.012063442985981875	0.00011411483543986828	0.11979203220282855
0.3205424149831136	0.011803388595581055	0.5402468964376633	0.001	exponential	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	33	0.3340938914039645	0.5987869253849063	0.6941069332827162	0.0016502700079693558	0.0010929948825432914	0.1529464941103552
0.016868988672892254	0.0009506543477376302	0.5158215433686546	0.01	linear	10	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	45	0.2901597399400746	0.5298426055053599	0.7343005211280621	0.0008596417487344586	4.9298802754945196e-06	0.1820183799183904
0.08127872149149577	0.003037611643473307	0.5347095247034908	0.01	linear	50	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	37	0.3787335942153005	0.552078886845538	0.6780426363977609	0.002107568404455459	2.4911667615408366e-05	0.12308895916122582
0.15524665514628092	0.005475759506225586	0.5056009434168318	0.01	linear	100	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	52	0.34881455103328785	0.48343507446745104	0.689304307549258	0.003050472623032188	1.4173377940847253e-05	0.14020161853063953
0.35950422286987305	0.013675292332967123	0.5470041492187476	0.01	linear	200	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	30	0.33995565473784506	0.5944664399692586	0.7128645497515907	0.04836424479504391	0.0036224105629216797	0.15619558118084273
