mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__alpha	param_estimator__fit_intercept	param_estimator__l1_ratio	param_estimator__random_state	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.018204927444458008	0.0024832594068832595	0.0007340908050537109	0.00010165414460171454	0.1	True	0.0	3111696	1	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	0.474907399099326	0.4252029510201305	0.4726671627405121	0.4882013549423103	0.42448237016979695	0.4570905295591284	0.026862609749372858	300
0.027393341064453125	0.0002134450635092266	0.0007952213287353516	6.608670573624636e-05	0.1	True	0.0	3111696	2	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	0.5974945617057231	0.5432853543985937	0.6261181235025264	0.6271099201147736	0.5657413463350869	0.5919445975631085	0.033135141239489505	269
0.03867969512939453	0.00045380919772858134	0.0008825302124023437	2.4335799092694053e-05	0.1	True	0.0	3111696	3	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	0.6834756679360026	0.6656510599621678	0.7152333165663682	0.7028439575351789	0.6732027128910283	0.6880780426903003	0.018443278723981438	193
0.04736328125	0.0030897844402990077	0.0009115219116210937	6.023482025674366e-05	0.1	True	0.0	3111696	4	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 4}	0.6861029862090378	0.6737554486685391	0.719657207575916	0.7022250077699421	0.6770127573172269	0.6917477954085062	0.01709548050646638	145
0.055984115600585936	0.002474700317151819	0.0008549690246582031	2.4302795298716967e-05	0.1	True	0.0	3111696	5	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 5}	0.6908234902140233	0.6746656264542423	0.7246525229987129	0.7021993085854319	0.6813347061296431	0.6947322034905361	0.017597151633285905	113
0.0661696434020996	0.0025254886923180976	0.0008680820465087891	6.606819306081745e-05	0.1	True	0.0	3111696	6	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 6}	0.6908100090337833	0.674673012541575	0.7246574770749001	0.7101734040198973	0.681339570312919	0.6963273769247865	0.018537418960123137	83
0.07408003807067871	0.0017936826765971002	0.0008739948272705079	3.314220641837509e-05	0.1	True	0.0	3111696	7	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 7}	0.6908746603129546	0.6761405149673174	0.7247407266455563	0.711294884949391	0.6840173859743621	0.6974102395389276	0.017967362112264275	68
0.08259973526000977	0.0005192589078428937	0.0008742332458496094	1.9875245439856707e-05	0.1	True	0.0	3111696	8	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 8}	0.6941116802414768	0.676277861085824	0.7272556745903973	0.7113791530812255	0.6841806940118503	0.698637729828244	0.018496947602891913	50
0.09655900001525879	0.0014798969379164603	0.000893259048461914	2.53534814749088e-05	0.1	True	0.0	3111696	9	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 9}	0.702729424000482	0.6868225879716038	0.7266307721122198	0.7114846441871886	0.6842945830435471	0.702390542791261	0.01574850100473462	25
0.10959482192993164	0.0040071460712610436	0.0009171962738037109	8.702885593481026e-05	0.1	True	0.0	3111696	10	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 10}	0.7029460356553177	0.6867341914121302	0.7348538779868463	0.7198183907226419	0.6896931275595928	0.7068062025454469	0.018256402150950125	6
