mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__alpha	param_estimator__fit_intercept	param_estimator__l1_ratio	param_estimator__random_state	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.003523445129394531	0.0009863627434967754	0.0008929252624511718	0.0001373557058366786	0.1	True	0.0	3111696	1	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	0.030886919760042986	0.07602576987792042	0.1267038865799872	0.15936240341960428	0.1096974445901776	0.1005352848455465	0.04400223142223593	66
0.0035500526428222656	0.00016634708763327898	0.0007283687591552734	4.564181062406867e-05	0.1	True	0.0	3111696	2	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	0.030320172024500547	0.07918413634358012	0.12411487218759831	0.16329823518962294	0.09121610263443458	0.0976267036759473	0.044555059018977536	70
0.003616189956665039	0.00013200292618970638	0.0006557464599609375	2.1487638953024912e-05	0.1	True	0.0	3111696	3	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	0.1254031681453769	0.06803046728786533	0.18837986285150565	0.13636380387249425	0.14024867902112703	0.13168519623567382	0.038473097675811425	4
0.0031328201293945312	5.776936782314294e-05	0.0005940437316894531	2.974584950947476e-05	0.1	True	0.0	3111696	4	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 4}	0.12541985201331818	0.061362444263567295	0.18744704545711321	0.13542505010457484	0.13605496082035096	0.12914187053178489	0.040235970556345424	9
0.0037362098693847655	0.0002813380208767704	0.0005811214447021485	1.4895800579963214e-05	0.1	True	0.0	3111696	5	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 5}	0.1174405498665505	0.05850882987012673	0.18601966302208595	0.14568601950680615	0.13669913528684474	0.12887083951048284	0.041692887747924276	12
0.003874349594116211	3.1503530768616734e-05	0.0005809307098388672	1.8877934313443943e-05	0.1	True	0.0	3111696	6	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 6}	0.1107251705672726	0.055610950247832136	0.18557141358455154	0.13830779055823839	0.13697780761106793	0.12543862651379253	0.04244316275465289	20
0.004967403411865234	2.2968706901138446e-05	0.0005816936492919922	2.1515556250812894e-05	0.1	True	0.0	3111696	7	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 7}	0.1105280401947154	0.05427330200609004	0.19305850486001408	0.12630055323536638	0.13691105520015368	0.1242142910992679	0.04468588478663875	24
0.0003772258758544922	6.9516905122930024e-06	0.0	0.0	0.1	True	0.0	3111696	8	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 8}								498
0.0003785610198974609	5.6266784667968745e-06	0.0	0.0	0.1	True	0.0	3111696	9	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 9}								499
0.0003665447235107422	1.146156249051942e-05	0.0	0.0	0.1	True	0.0	3111696	10	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 10}								500
0.0015474319458007812	1.929311662539512e-05	0.0005621433258056641	1.684214223495484e-05	0.1	True	0.0001	3111696	1	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0001, 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	0.03088884599515429	0.07602672240498176	0.12670285298474782	0.15936021373294085	0.10969626032611535	0.100534979088788	0.04400075778815491	67
0.0015714168548583984	9.053629658721697e-06	0.0005649566650390625	2.1253033870215024e-05	0.1	True	0.0001	3111696	2	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0001, 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	0.03032028483888649	0.07918293296244272	0.12411414470556359	0.1632976066370352	0.09121540991109911	0.09762607581100542	0.04455487270454785	71
0.0015780925750732422	1.372761094318129e-05	0.0005645751953125	2.0162375711333092e-05	0.1	True	0.0001	3111696	3	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0001, 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	0.12540276168980402	0.0680368691902361	0.18837680931472833	0.13636592949784332	0.14024643012889848	0.13168575996430204	0.03847004419303022	3
0.0015826702117919921	2.441033692544107e-05	0.0005638599395751953	1.7832052184405473e-05	0.1	True	0.0001	3111696	4	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0001, 'estimator__random_state': 3111696, 'preprocessing_1__k': 4}	0.12541911314804632	0.06136854129595326	0.18744532105574085	0.135428166168582	0.13605444081841012	0.1291431164973465	0.04023350980037558	8
