mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__alpha	param_estimator__fit_intercept	param_estimator__l1_ratio	param_estimator__random_state	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.04160327911376953	0.0028869402977929385	0.0009788036346435546	5.589064452240488e-05	0.1	True	0.0	3111696	1	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	0.16012254663256587	0.14083117780899812	0.1549095715761417	0.1562505996884792	0.15428061781060498	0.15327890270335795	0.006546370206084917	361
0.05878801345825195	0.0023164837455424137	0.0009419441223144532	3.10707619176597e-05	0.1	True	0.0	3111696	2	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	0.20131637773903333	0.180928082631179	0.1975045791622283	0.18995589190009865	0.19392186231703	0.19272535874991384	0.006998912004889237	332
0.06097078323364258	0.0016264422056083486	0.0009080410003662109	9.363102849491214e-05	0.1	True	0.0	3111696	3	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	0.21225331421912907	0.18827319548888188	0.20602663236311636	0.1978677984307997	0.20194140013090978	0.20127246812656738	0.00805234615958852	276
0.09054727554321289	0.012010664215428603	0.00116729736328125	0.0002562480474702405	0.1	True	0.0	3111696	4	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 4}	0.21222616115037862	0.18824009324234225	0.20593124127982787	0.19785774848079396	0.20182863392335648	0.20121677561533985	0.008043438016795162	327
0.1233870506286621	0.002302572455942289	0.0016942977905273437	0.0010895490810702557	0.1	True	0.0	3111696	5	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 5}	0.2133171760962883	0.1899123686873816	0.20737832589629535	0.200428547622585	0.20244335727894813	0.20269595511629965	0.0077892227548416485	260
0.12585349082946778	0.008729065415438976	0.0011957645416259765	0.0001786162618948714	0.1	True	0.0	3111696	6	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 6}	0.2148748402335633	0.1900421139027173	0.20843313138741604	0.20119852556184625	0.20370385094272359	0.20365049240565328	0.008246970035201561	215
0.15397176742553711	0.006710446629366707	0.0011173248291015624	8.759300019947081e-05	0.1	True	0.0	3111696	7	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 7}	0.21595509713994165	0.19078584872226334	0.2091201967565478	0.22880650205140385	0.20438349139045808	0.20981022721212295	0.012573547350151443	181
0.18384208679199218	0.004866695983852149	0.0011703968048095703	0.00030500176057707577	0.1	True	0.0	3111696	8	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 8}	0.35439182590243146	0.21654458509775254	0.35309454294663667	0.2289619341723944	0.35729432800795213	0.3020574432254335	0.06488480399523382	117
0.20311203002929687	0.009718644090064326	0.0012363433837890626	0.0001878799277737793	0.1	True	0.0	3111696	9	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 9}	0.41983228366102654	0.41841689495181544	0.41659993411916574	0.42008773811754263	0.42476808212012185	0.4199409865939345	0.0027136576987150628	39
0.2195739269256592	0.01297501688624394	0.0014171600341796875	0.0002814266892419247	0.1	True	0.0	3111696	10	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0, 'estimator__random_state': 3111696, 'preprocessing_1__k': 10}	0.4209674978174086	0.4230775428414355	0.4212887327065443	0.4246300623875324	0.4280166973856443	0.4235961066277131	0.0025734472698117983	5
0.012532711029052734	0.00019821444456979075	0.0009122371673583984	4.191325385589829e-05	0.1	True	0.0001	3111696	1	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0001, 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	0.1601225466382502	0.14083117786381716	0.1549095715586699	0.15625059961307874	0.15428061783891767	0.15327890270254674	0.006546370179576562	362
0.012656497955322265	0.0003890915652551232	0.000975942611694336	6.251271492687122e-05	0.1	True	0.0001	3111696	2	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0001, 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	0.2013163776954373	0.18092808257931337	0.19750457903304197	0.18995589193763307	0.19392186251070187	0.1927253587512255	0.006998911997679765	331
0.013641023635864257	0.00028911870454761544	0.0010172367095947266	9.25127499166832e-05	0.1	True	0.0001	3111696	3	{'estimator__alpha': 0.1, 'estimator__fit_intercept': True, 'estimator__l1_ratio': 0.0001, 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	0.21225331376378054	0.18827319550953392	0.20602663231444018	0.1978677985691476	0.20194140045436504	0.2012724681222535	0.008052346016657571	277
