mean_fit_time	mean_score_time	mean_test_score	param_estimator__leaf_size	param_estimator__n_neighbors	param_estimator__weights	param_preprocessing_1__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.0023473103841145835	0.0011552174886067708	-0.5881528042213006	10	1	uniform	1	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 1}	709	-0.6964924486370101	-0.47539944145377766	-0.5922411782955894	0.0008550801449912841	0.0004112097482593969	0.09032950623792983
0.001706838607788086	0.0009996096293131511	-0.14210555341119352	10	1	uniform	2	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 2}	685	-0.17448043620412856	-0.05761446919841551	-0.19412453296078747	2.005363410043002e-05	8.0882914866714e-06	0.06023593094163146
0.0017209847768147786	0.0011801719665527344	-0.07165806536373615	10	1	uniform	3	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 3}	661	-0.11915556991513743	-0.15611968410347932	0.060443693076211336	2.575901613856366e-05	4.498767587609725e-05	0.09455259550100235
0.0017303625742594402	0.0013909339904785156	0.6483907178154639	10	1	uniform	4	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 4}	109	0.6471219929941172	0.6360814405340935	0.6619725299026293	7.615308208397224e-06	1.327030186660361e-05	0.010602842776532756
0.001783927281697591	0.001684745152791341	0.48663910959529644	10	1	uniform	5	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 5}	301	0.44840148979731853	0.4991370955491108	0.512493571126541	3.005482412494991e-05	2.6046494738607623e-05	0.02762165804876502
0.0018030802408854167	0.0021179517110188804	0.3328055712958558	10	1	uniform	6	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 6}	481	0.4074210169458867	0.2596236662280099	0.3311479603063133	4.782906209100504e-05	2.4723852100500308e-05	0.06036439409580267
0.001805702845255534	0.002741734186808268	0.3396983176240762	10	1	uniform	7	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 7}	463	0.24313872106692713	0.6045877052206325	0.17165849534309874	1.0917615738598123e-05	0.00010983350478673017	0.18942700349793637
0.0017793973286946614	0.003558953603108724	0.21736880339874246	10	1	uniform	8	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 8}	565	0.11347668981367431	0.48674844646358273	0.05219326224805454	1.2364608080883829e-05	0.00023237861458482074	0.19197539907357422
0.0017733573913574219	0.004521369934082031	0.15120843462485165	10	1	uniform	9	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 9}	601	-0.05618828212315363	0.44171722167564176	0.06871917728527399	2.938325613798658e-05	0.00035694157128933517	0.21150891077471123
0.0018207232157389324	0.005792697270711263	0.07049757645307844	10	1	uniform	10	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 10}	625	-0.08784007316728881	0.4397253739128958	-0.13991708294907323	2.62024320411617e-05	0.00044591805869656286	0.2617529654228199
