mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__leaf_size	param_estimator__n_neighbors	param_estimator__weights	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.00541715145111084	0.006394765210017116	0.003622770309448242	0.004559761453761552	10	1	uniform	1	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 1}	0.5828570268027597	0.5254825325807039	0.5272852629371773	0.6037166146150557	0.2439786268902281	0.7017921377183967	0.5134049099014252	0.16137792305758114	0.47336991838499043	0.5594606986703267	0.5852858481724461	0.6326083428014933	0.5151095211587794	0.13897996357012754	0.457458968967415	0.6805713666178782	0.45061968543322406	0.06359389135131344	0.522710897195723	0.5159548874832163	0.6387084784840906	0.2667948133185639	0.5208180609569724	0.5803976470065364	0.43393353577691296	0.3422751147795343	0.5331163172194597	0.491971527892733	0.407836967001301	0.5003536705454847	0.7347997905061181	-0.10384967827041414	0.5985658236503897	0.5525538635371459	0.6470966099846074	0.3649944314130523	0.6258771218823094	0.6636900965259174	0.32017098608348094	0.6820292656227283	0.5846161431341828	0.5020868407407645	0.4134442920863083	0.5572242891763661	0.5479548527290599	0.6197495589362195	0.5756228183426576	0.5380210444397607	0.5190880476393025	0.5635922210878268	0.49380187881453097	0.16582355051973727	141
0.003698740005493164	0.003484211397456303	0.002441196441650391	0.002352196421551971	10	1	uniform	2	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 2}	0.535202195748928	0.6005449626720079	0.5571524527416758	0.5191001334767453	0.5885249527564249	0.5664182939362794	0.5674012682865573	0.45414885592154897	0.5522195790142648	0.7121528599812401	0.6321462043111528	0.6388689220210076	0.411314526394463	0.38743169398907107	0.44488505666022204	0.6161977557326395	0.5189796031790141	0.45527773532218296	0.47531486872063866	0.6294566496121805	0.5295698078025488	0.5745096761582068	0.5817750332368327	0.4928175287219487	0.5721882440157964	0.5351428862124661	0.6215461116522274	0.5873861943386858	0.6210471988559592	0.4321576677161204	0.7334904537447031	0.3631113617368362	0.7113655095668091	0.411153136429837	0.6244318663870945	0.47180863970931364	0.6967416224728469	0.4491502600955337	0.4161162122667492	0.6857922328934652	0.665720765632019	0.4990622019370491	0.6463189748924298	0.5361982455541523	0.3908658499384252	0.6491538109692712	0.667312198154258	0.5601355404594757	0.5740365801786473	0.34237809049668977	0.5504111340275106	0.09813445777645981	127
0.0010245418548583984	0.0017681198556922825	0.0	0.0	10	1	uniform	3	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 3}																																																					502
0.0006641864776611329	0.00010104239014921693	0.0	0.0	10	1	uniform	4	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 4}																																																					503
0.0007995986938476563	0.0008388160574946904	0.0	0.0	10	1	uniform	5	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 5}																																																					504
0.0008191394805908203	0.0015656665586557532	0.0	0.0	10	1	uniform	6	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 6}																																																					505
0.0006959772109985351	0.00010645570849576154	0.0	0.0	10	1	uniform	7	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 7}																																																					506
0.0010216426849365234	0.001830478368178967	0.0	0.0	10	1	uniform	8	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 8}																																																					507
0.0006822919845581054	0.00010940203071318863	0.0	0.0	10	1	uniform	9	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 9}																																																					508
0.0006762981414794922	0.0001382186346267798	0.0	0.0	10	1	uniform	10	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 10}																																																					510
0.003926353454589844	0.006276472175679073	0.004371967315673828	0.004628336909364087	10	1	distance	1	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'distance', 'preprocessing_1__k': 1}	0.5828570268027597	0.5254825325807039	0.5272852629371773	0.6037166146150557	0.2439786268902281	0.7017921377183967	0.5134049099014252	0.16137792305758114	0.47336991838499043	0.5594606986703267	0.5852858481724461	0.6326083428014933	0.5151095211587794	0.13897996357012754	0.4574589689674149	0.6805713666178782	0.45061968543322406	0.06359389135131344	0.522710897195723	0.5159548874832163	0.6387084784840906	0.2667948133185639	0.5208180609569724	0.5803976470065364	0.43393353577691296	0.3422751147795343	0.5331163172194597	0.491971527892733	0.407836967001301	0.5003536705454847	0.7347997905061181	-0.10384967827041414	0.5985658236503897	0.5525538635371459	0.6470966099846074	0.3649944314130523	0.6258771218823094	0.6636900965259174	0.32017098608348094	0.6820292656227283	0.5846161431341828	0.5020868407407645	0.4134442920863083	0.5572242891763661	0.5479548527290599	0.6197495589362195	0.5756228183426576	0.5380210444397607	0.5190880476393025	0.5635922210878268	0.49380187881453097	0.16582355051973727	141
0.003028707504272461	0.00175696776429922	0.002945413589477539	0.002981470644551883	10	1	distance	2	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'distance', 'preprocessing_1__k': 2}	0.535202195748928	0.6005449626720079	0.5571524527416758	0.5191001334767453	0.5885249527564249	0.5664182939362794	0.5674012682865573	0.45414885592154897	0.5522195790142647	0.7121528599812401	0.6321462043111528	0.6388689220210076	0.411314526394463	0.38743169398907107	0.44488505666022204	0.6161977557326395	0.5189796031790141	0.45527773532218296	0.47531486872063866	0.6294566496121805	0.5295698078025488	0.5745096761582068	0.5817750332368327	0.4928175287219487	0.5721882440157964	0.5351428862124661	0.6215461116522274	0.5873861943386858	0.6210471988559592	0.4321576677161204	0.7334904537447031	0.3631113617368362	0.7113655095668091	0.411153136429837	0.6244318663870945	0.47180863970931364	0.6967416224728469	0.4491502600955337	0.41611621226674933	0.6857922328934652	0.665720765632019	0.4990622019370491	0.6463189748924298	0.5361982455541523	0.3908658499384252	0.6491538109692712	0.667312198154258	0.5601355404594757	0.5740365801786473	0.34237809049668977	0.5504111340275106	0.09813445777645981	127
0.000860600471496582	0.001087023388783238	0.0	0.0	10	1	distance	3	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'distance', 'preprocessing_1__k': 3}																																																					518
0.0011353206634521485	0.001381061398931659	0.0	0.0	10	1	distance	4	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'distance', 'preprocessing_1__k': 4}																																																					511
0.000642714500427246	0.00010537135405753168	0.0	0.0	10	1	distance	5	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'distance', 'preprocessing_1__k': 5}																																																					512
0.0009388399124145508	0.0015355696551243114	0.0	0.0	10	1	distance	6	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'distance', 'preprocessing_1__k': 6}																																																					513
0.0009415197372436523	0.001596488708277738	0.0	0.0	10	1	distance	7	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'distance', 'preprocessing_1__k': 7}																																																					514
0.0006252145767211914	9.611253073787553e-05	0.0	0.0	10	1	distance	8	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'distance', 'preprocessing_1__k': 8}																																																					515
0.0006310606002807617	0.0001058804750963236	0.0	0.0	10	1	distance	9	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'distance', 'preprocessing_1__k': 9}																																																					516
0.0008278846740722656	0.001038093130849436	0.0	0.0	10	1	distance	10	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'distance', 'preprocessing_1__k': 10}																																																					517
0.0028037023544311523	0.0016810672249519501	0.0032143545150756835	0.0035253585621558095	10	2	uniform	1	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'uniform', 'preprocessing_1__k': 1}	0.7435452002808516	0.5788529446193065	0.6794750141268538	0.718353700415981	0.5353832065097184	0.7577964414182938	0.6607176492748164	0.4873742770932864	0.6486403700872831	0.792982130174323	0.6831376707936664	0.7387773320657591	0.5902581250413599	0.5447176684881603	0.5593697520497876	0.7559901338971107	0.6651822931139888	0.5126671430872882	0.6336714989768568	0.6081473588218549	0.6992662668590112	0.5460024760539519	0.5973901320775816	0.5933181588746774	0.7025704631966126	0.5121074921466635	0.6985697441943918	0.6641670805054352	0.6773854794255424	0.6976949002094284	0.8095212588677807	0.2911187026090809	0.7313571374713672	0.5714395770891494	0.7724193098767377	0.5944769883588534	0.761353373011278	0.6576483678473728	0.5491175278944949	0.7470658832852985	0.7010961860832028	0.5948064231165622	0.6198275726196668	0.6972044919275011	0.7252185243907491	0.7094659415597917	0.6961220293597283	0.6922161513643217	0.6914946831135687	0.6614636508120284	0.6512376240844021	0.09430097719840858	99
0.0023111343383789063	0.0002693409063730634	0.0028746366500854493	0.0034617408471720222	10	2	uniform	2	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'uniform', 'preprocessing_1__k': 2}	0.6548941584026275	0.6602071573498427	0.6286929728231319	0.6997939533738515	0.709491787184671	0.6796312949640287	0.636073962453695	0.5461151621825497	0.6942371386939881	0.782861989085711	0.7630777388644996	0.7048397755466412	0.579852933734541	0.6217668488160291	0.5900671737627186	0.6943947525342874	0.6847385094203302	0.5861419430525894	0.6212676888491799	0.6254109325050445	0.6526342893859887	0.5854645859125562	0.7442130636283439	0.7216153496950823	0.6812426043938811	0.6673102481272812	0.727790024093915	0.6604342548143244	0.703248259029214	0.6456706564402712	0.7769366281007475	0.5096455939661857	0.7521495745051494	0.5043307274374786	0.7330226526234138	0.650508950181368	0.7814663856788866	0.5965294609573217	0.3755047412674639	0.7366863652301825	0.6630398757546208	0.6448209861922838	0.736646334736079	0.6718776666552889	0.6031348505447575	0.7485268172718795	0.7205386601635346	0.5725125245221225	0.6340757124627818	0.5504706571658124	0.6585104598531734	0.07932823921475993	93
0.000806732177734375	0.0003179604928037728	0.0	0.0	10	2	uniform	3	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'uniform', 'preprocessing_1__k': 3}																																																					501
0.0006863498687744141	9.556438326838439e-05	0.0	0.0	10	2	uniform	4	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'uniform', 'preprocessing_1__k': 4}																																																					509
0.0007088708877563476	9.833143319956548e-05	0.0	0.0	10	2	uniform	5	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'uniform', 'preprocessing_1__k': 5}																																																					500
0.0007060384750366211	0.00010019812018599843	0.0	0.0	10	2	uniform	6	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'uniform', 'preprocessing_1__k': 6}																																																					489
0.0009882164001464844	0.0015470618536338782	0.0	0.0	10	2	uniform	7	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'uniform', 'preprocessing_1__k': 7}																																																					482
0.0011979198455810546	0.0035466554532905953	0.0	0.0	10	2	uniform	8	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'uniform', 'preprocessing_1__k': 8}																																																					483
0.0006948375701904297	0.0005994464049268988	0.0	0.0	10	2	uniform	9	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'uniform', 'preprocessing_1__k': 9}																																																					484
0.0008354902267456055	0.0006759072850599891	0.0	0.0	10	2	uniform	10	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'uniform', 'preprocessing_1__k': 10}																																																					485
0.0025286960601806643	0.0010244939432127397	0.001873946189880371	0.0002703912001031631	10	2	distance	1	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'distance', 'preprocessing_1__k': 1}	0.7435451840163484	0.6026300301745442	0.6668088236862026	0.7044568578090762	0.5353832065097184	0.7598037641315518	0.6076456718570935	0.4768984158913754	0.5965882578587726	0.792982130174323	0.6782050207635741	0.7090395807730655	0.5852910378331666	0.4590163934426229	0.519845533494595	0.7374234292838944	0.6138081476129607	0.4827683347965077	0.6125493558520909	0.6035074081040616	0.6982583504021667	0.47013257891219684	0.5907272343227763	0.6002672990415965	0.634258586031393	0.48866274096002194	0.6992746193674066	0.6415880373006677	0.6773854794255424	0.6976948812039796	0.7958624958339284	0.22093860452938863	0.7313571232199614	0.5513432408735559	0.7723526505614325	0.5828926182693335	0.7128164007318033	0.6628715397372114	0.5516213177218243	0.738442416623193	0.7010961860832028	0.5874248664492216	0.6304380033728939	0.6778509592302066	0.7037182099265246	0.6710399303802357	0.6864390570458566	0.645882697575358	0.6904466203640611	0.6213656926034057	0.6325060397535481	0.10334414743285118	111
0.0028205060958862303	0.002685098219612526	0.0024010133743286133	0.0019049105016460844	10	2	distance	2	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'distance', 'preprocessing_1__k': 2}	0.5938176661531498	0.6401752798096196	0.6357298643372931	0.656502320479305	0.6422423420823232	0.6542071797324509	0.5827034207399924	0.46961409283424904	0.6602004248613875	0.7366098207452279	0.736267533592437	0.667940237074037	0.5028598964306523	0.5867086024553664	0.546017622447617	0.7040632540798872	0.6573296125764596	0.5574603112280442	0.5867093930668035	0.6254730352845495	0.6415855147395544	0.5519899673907149	0.7208680160145535	0.6430299001014178	0.7059020244432858	0.6655725220818542	0.6856175916601309	0.6424281678991932	0.7055908588321687	0.6190786643212909	0.7485859616879329	0.4551692984306499	0.7389554799020466	0.5091435568762255	0.71146446477967	0.6055601037451117	0.742777061714609	0.5232566894912891	0.3869407085628902	0.723163111461409	0.6800323359311498	0.5888958996447509	0.719206106532418	0.6044560949841928	0.5113390340430253	0.6987889209477864	0.7384840226865776	0.5732571613111485	0.5834221398000015	0.485883065049339	0.6272860013548728	0.0852899341002597	113
0.0006789255142211914	0.00018427996711836334	0.0	0.0	10	2	distance	3	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'distance', 'preprocessing_1__k': 3}																																																					486
0.0006800508499145508	0.00013898183301298795	0.0	0.0	10	2	distance	4	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'distance', 'preprocessing_1__k': 4}																																																					487
0.0007199668884277344	0.0003060910928759666	0.0	0.0	10	2	distance	5	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'distance', 'preprocessing_1__k': 5}																																																					488
0.0006079339981079102	8.883725819074334e-05	0.0	0.0	10	2	distance	6	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'distance', 'preprocessing_1__k': 6}																																																					490
0.0006217384338378907	4.033313960514935e-05	0.0	0.0	10	2	distance	7	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'distance', 'preprocessing_1__k': 7}																																																					498
0.0006465387344360352	9.315145744013397e-05	0.0	0.0	10	2	distance	8	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'distance', 'preprocessing_1__k': 8}																																																					491
0.0006381368637084961	5.453677300501338e-05	0.0	0.0	10	2	distance	9	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'distance', 'preprocessing_1__k': 9}																																																					492
0.000644674301147461	5.952402308144426e-05	0.0	0.0	10	2	distance	10	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 2, 'estimator__weights': 'distance', 'preprocessing_1__k': 10}																																																					493
0.0023667192459106445	0.0003843104443794718	0.0017745590209960937	0.0002354238250213444	10	3	uniform	1	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 3, 'estimator__weights': 'uniform', 'preprocessing_1__k': 1}	0.7565904382793778	0.6407668496215174	0.667065101201977	0.7490521999185029	0.6741398392575892	0.7257551101975561	0.7069267421499479	0.579229178889727	0.6950838558519703	0.8239102776054626	0.7593542588116652	0.7700744313307208	0.6958277592009409	0.6729002226269984	0.5974105800244296	0.7588888286562705	0.668111673058041	0.659934815745013	0.6316988660563032	0.6841384881378533	0.7281612417555421	0.5992340160581511	0.6847519213857447	0.7118221449037346	0.7282719270316036	0.627046000839385	0.7413321713572905	0.7246543679915639	0.7288613471631346	0.6842099585612157	0.813492252429547	0.39739897489602927	0.7535033232712187	0.672235123302122	0.7536060913350112	0.6291756624751902	0.7725735856047798	0.7038470200438138	0.65294134606776	0.7887721038692996	0.7213654939685114	0.6559273318524872	0.7184883971398701	0.7322896163050445	0.7490295127708462	0.7504796754245796	0.6635930867031137	0.6999879303418597	0.6687450257573608	0.6170904666731378	0.6957815764491466	0.06969586141848907	49
0.002177290916442871	0.0003923355729646889	0.0016911983489990234	0.0003412202858256685	10	3	uniform	2	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 3, 'estimator__weights': 'uniform', 'preprocessing_1__k': 2}	0.660091218745104	0.6544884634393778	0.6922932336022865	0.7785247867899779	0.7747226285837966	0.6992227646454265	0.6316527490006486	0.5919830693152294	0.7681394519621605	0.8166434082895719	0.7820719402379739	0.7371136411064994	0.637212323947165	0.6572758550900627	0.6640747378670919	0.7281551351318793	0.7167416958446804	0.6266734962802014	0.6794295376161243	0.6873775249694416	0.6703319201476601	0.6265466287294658	0.7536815918337482	0.739851507587053	0.7427135359986821	0.7106824454081826	0.7458319805425973	0.7486091951908871	0.7222029079697774	0.6481201524404809	0.7806265771556444	0.6167188617116619	0.7619181747560811	0.5580420196120872	0.7278453141349623	0.6506567199467408	0.8187281443227346	0.6141089424671513	0.5431752000376326	0.711087735102308	0.736293565316475	0.6847334156973954	0.7367195366911665	0.7642837909076773	0.6989127446512837	0.8092436275936629	0.7438063511797552	0.5647169665166066	0.6743846117491376	0.6408465007018829	0.6986906776138629	0.0666749287865074	40
0.0006174468994140626	9.834617625180674e-05	0.0	0.0	10	3	uniform	3	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 3, 'estimator__weights': 'uniform', 'preprocessing_1__k': 3}																																																					494
0.0006301450729370117	8.992685468374217e-05	0.0	0.0	10	3	uniform	4	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 3, 'estimator__weights': 'uniform', 'preprocessing_1__k': 4}																																																					495
0.0006316280364990234	8.684395431408492e-05	0.0	0.0	10	3	uniform	5	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 3, 'estimator__weights': 'uniform', 'preprocessing_1__k': 5}																																																					496
0.0005977582931518554	8.891234194419551e-05	0.0	0.0	10	3	uniform	6	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 3, 'estimator__weights': 'uniform', 'preprocessing_1__k': 6}																																																					497
0.0006044483184814453	8.547225337265806e-05	0.0	0.0	10	3	uniform	7	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 3, 'estimator__weights': 'uniform', 'preprocessing_1__k': 7}																																																					499
0.0005884313583374023	0.00010082105106740996	0.0	0.0	10	3	uniform	8	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 3, 'estimator__weights': 'uniform', 'preprocessing_1__k': 8}																																																					520
0.0006219673156738281	7.230310682779952e-05	0.0	0.0	10	3	uniform	9	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 3, 'estimator__weights': 'uniform', 'preprocessing_1__k': 9}																																																					539
0.0006119108200073242	0.00012238486385535496	0.0	0.0	10	3	uniform	10	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 3, 'estimator__weights': 'uniform', 'preprocessing_1__k': 10}																																																					521
0.0022003507614135743	0.0002780922744895812	0.0017749929428100585	0.00025385525931212786	10	3	distance	1	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 3, 'estimator__weights': 'distance', 'preprocessing_1__k': 1}	0.7371295612838138	0.6419983807195067	0.6499172898386363	0.7364161174829653	0.6752923108629395	0.7133453951124813	0.6647802292595246	0.5374332970133824	0.6214264598801927	0.8144164644669603	0.7546956182905391	0.7286335848133396	0.6844281989032097	0.5789111515887473	0.5158559123202731	0.7405630545165429	0.6365691092013233	0.6136375505303229	0.5950598514761122	0.6810002874555833	0.7386617062465306	0.5282555987692764	0.681695721507483	0.6811194390741252	0.6482297275248816	0.5670520353578906	0.737206159612219	0.6509892279301319	0.7290190470387666	0.7004156089327803	0.777806212869061	0.26746730017837383	0.7455365355602557	0.6258906942248406	0.7470399831834459	0.5973934983461795	0.7320696602672472	0.6731046312200508	0.6292499303238285	0.7781661109321485	0.7213654939685112	0.6600939711435808	0.6797375937571691	0.7136822799508543	0.726392273093035	0.7195903601575355	0.6510776125429688	0.6576650796495143	0.6649436920038033	0.5610173487134515	0.6662645524067096	0.08833442451869858	87
